analysis,centre_winter,duration,estimate,se,lcl,ucl
29fed7a91d7e7bb10f494f03261735d39cc51262,1999.5,10,0.03482,0.03228,-0.02844,0.09809
29fed7a91d7e7bb10f494f03261735d39cc51262,2000.5,10,0.02467,0.02782,-0.02985,0.07919
29fed7a91d7e7bb10f494f03261735d39cc51262,2001.5,10,0.01375,0.0257,-0.03662,0.06411
29fed7a91d7e7bb10f494f03261735d39cc51262,2002.5,10,0.006559,0.02576,-0.04392,0.05704
29fed7a91d7e7bb10f494f03261735d39cc51262,2003.5,10,0.005685,0.02568,-0.04464,0.05601
29fed7a91d7e7bb10f494f03261735d39cc51262,2004.5,10,0.003902,0.0259,-0.04686,0.05467
29fed7a91d7e7bb10f494f03261735d39cc51262,2005.5,10,0.000942,0.02651,-0.05102,0.05291
29fed7a91d7e7bb10f494f03261735d39cc51262,2006.5,10,-0.00204,0.02777,-0.05646,0.05238
29fed7a91d7e7bb10f494f03261735d39cc51262,2007.5,10,-0.001125,0.02893,-0.05782,0.05557
29fed7a91d7e7bb10f494f03261735d39cc51262,2008.5,10,0.002652,0.03011,-0.05636,0.06166
29fed7a91d7e7bb10f494f03261735d39cc51262,2009.5,10,0.01323,0.02897,-0.04356,0.07002
29fed7a91d7e7bb10f494f03261735d39cc51262,2010.5,10,0.02552,0.02785,-0.02907,0.0801
29fed7a91d7e7bb10f494f03261735d39cc51262,2011.5,10,0.04442,0.02857,-0.01158,0.1004
29fed7a91d7e7bb10f494f03261735d39cc51262,2012.5,10,0.05511,0.02986,-0.003411,0.1136
29fed7a91d7e7bb10f494f03261735d39cc51262,2013.5,10,0.06148,0.03109,0.0005471,0.1224
29fed7a91d7e7bb10f494f03261735d39cc51262,2014.5,10,0.06851,0.03511,-0.0003123,0.1373
29fed7a91d7e7bb10f494f03261735d39cc51262,2015.5,10,0.06029,0.03327,-0.004913,0.1255
29fed7a91d7e7bb10f494f03261735d39cc51262,2016.5,10,0.0441,0.03002,-0.01474,0.1029
29fed7a91d7e7bb10f494f03261735d39cc51262,2017.5,10,0.02676,0.02819,-0.0285,0.08201
29fed7a91d7e7bb10f494f03261735d39cc51262,2018.5,10,0.01161,0.02802,-0.04331,0.06653
29fed7a91d7e7bb10f494f03261735d39cc51262,2019.5,10,0.001676,0.02895,-0.05506,0.05842
29fed7a91d7e7bb10f494f03261735d39cc51262,2000.5,12,0.03024,0.02611,-0.02093,0.08141
29fed7a91d7e7bb10f494f03261735d39cc51262,2001.5,12,0.01946,0.02211,-0.02387,0.0628
29fed7a91d7e7bb10f494f03261735d39cc51262,2002.5,12,0.008411,0.02132,-0.03337,0.0502
29fed7a91d7e7bb10f494f03261735d39cc51262,2003.5,12,0.003287,0.02167,-0.03918,0.04576
29fed7a91d7e7bb10f494f03261735d39cc51262,2004.5,12,0.002463,0.02174,-0.04016,0.04508
29fed7a91d7e7bb10f494f03261735d39cc51262,2005.5,12,0.00144,0.02229,-0.04226,0.04514
29fed7a91d7e7bb10f494f03261735d39cc51262,2006.5,12,0.0009651,0.02338,-0.04486,0.04679
29fed7a91d7e7bb10f494f03261735d39cc51262,2007.5,12,0.003413,0.02432,-0.04426,0.05108
29fed7a91d7e7bb10f494f03261735d39cc51262,2008.5,12,0.0117,0.02339,-0.03415,0.05755
29fed7a91d7e7bb10f494f03261735d39cc51262,2009.5,12,0.01768,0.02311,-0.02761,0.06297
29fed7a91d7e7bb10f494f03261735d39cc51262,2010.5,12,0.0289,0.02227,-0.01476,0.07255
29fed7a91d7e7bb10f494f03261735d39cc51262,2011.5,12,0.03962,0.02253,-0.004531,0.08377
29fed7a91d7e7bb10f494f03261735d39cc51262,2012.5,12,0.0491,0.02384,0.00236,0.09583
29fed7a91d7e7bb10f494f03261735d39cc51262,2013.5,12,0.05724,0.02642,0.00546,0.109
29fed7a91d7e7bb10f494f03261735d39cc51262,2014.5,12,0.05579,0.02617,0.004493,0.1071
29fed7a91d7e7bb10f494f03261735d39cc51262,2015.5,12,0.04899,0.02507,-0.0001542,0.09812
29fed7a91d7e7bb10f494f03261735d39cc51262,2016.5,12,0.04028,0.02443,-0.007596,0.08816
29fed7a91d7e7bb10f494f03261735d39cc51262,2017.5,12,0.02956,0.02392,-0.01733,0.07645
29fed7a91d7e7bb10f494f03261735d39cc51262,2018.5,12,0.01726,0.02388,-0.02955,0.06407
29fed7a91d7e7bb10f494f03261735d39cc51262,2009.5,30,0.02376,0.007954,0.008175,0.03936
7ce3ce4534b3fffc2fe19021f843229207e7940f,1999.5,10,0.1057,0.02957,0.04777,0.1637
7ce3ce4534b3fffc2fe19021f843229207e7940f,2000.5,10,0.09,0.02594,0.03915,0.1409
7ce3ce4534b3fffc2fe19021f843229207e7940f,2001.5,10,0.06587,0.02339,0.02002,0.1117
7ce3ce4534b3fffc2fe19021f843229207e7940f,2002.5,10,0.04227,0.02263,-0.002074,0.08662
7ce3ce4534b3fffc2fe19021f843229207e7940f,2003.5,10,0.02452,0.02272,-0.02001,0.06905
7ce3ce4534b3fffc2fe19021f843229207e7940f,2004.5,10,0.005494,0.02296,-0.0395,0.05049
7ce3ce4534b3fffc2fe19021f843229207e7940f,2005.5,10,-0.01642,0.02351,-0.06249,0.02965
7ce3ce4534b3fffc2fe19021f843229207e7940f,2006.5,10,-0.03275,0.02443,-0.08064,0.01514
7ce3ce4534b3fffc2fe19021f843229207e7940f,2007.5,10,-0.04278,0.02613,-0.094,0.008441
7ce3ce4534b3fffc2fe19021f843229207e7940f,2008.5,10,-0.0495,0.02852,-0.1054,0.006389
7ce3ce4534b3fffc2fe19021f843229207e7940f,2009.5,10,-0.03674,0.02787,-0.09135,0.01788
7ce3ce4534b3fffc2fe19021f843229207e7940f,2010.5,10,-0.01234,0.02582,-0.06295,0.03826
7ce3ce4534b3fffc2fe19021f843229207e7940f,2011.5,10,0.02202,0.02521,-0.02739,0.07142
7ce3ce4534b3fffc2fe19021f843229207e7940f,2012.5,10,0.0443,0.02524,-0.005171,0.09376
7ce3ce4534b3fffc2fe19021f843229207e7940f,2013.5,10,0.06451,0.02599,0.01358,0.1154
7ce3ce4534b3fffc2fe19021f843229207e7940f,2014.5,10,0.07795,0.02764,0.02379,0.1321
7ce3ce4534b3fffc2fe19021f843229207e7940f,2015.5,10,0.06765,0.02677,0.01518,0.1201
7ce3ce4534b3fffc2fe19021f843229207e7940f,2016.5,10,0.04662,0.02607,-0.00447,0.0977
7ce3ce4534b3fffc2fe19021f843229207e7940f,2017.5,10,0.03091,0.02549,-0.01905,0.08088
7ce3ce4534b3fffc2fe19021f843229207e7940f,2018.5,10,0.006611,0.02585,-0.04406,0.05728
7ce3ce4534b3fffc2fe19021f843229207e7940f,2019.5,10,-0.001987,0.02584,-0.05263,0.04865
7ce3ce4534b3fffc2fe19021f843229207e7940f,2000.5,12,0.08985,0.02321,0.04437,0.1353
7ce3ce4534b3fffc2fe19021f843229207e7940f,2001.5,12,0.06876,0.01991,0.02973,0.1078
7ce3ce4534b3fffc2fe19021f843229207e7940f,2002.5,12,0.04317,0.01825,0.007404,0.07894
7ce3ce4534b3fffc2fe19021f843229207e7940f,2003.5,12,0.0202,0.0181,-0.01528,0.05568
7ce3ce4534b3fffc2fe19021f843229207e7940f,2004.5,12,0.003315,0.0184,-0.03274,0.03937
7ce3ce4534b3fffc2fe19021f843229207e7940f,2005.5,12,-0.0114,0.01889,-0.04843,0.02563
7ce3ce4534b3fffc2fe19021f843229207e7940f,2006.5,12,-0.02748,0.0206,-0.06785,0.01289
7ce3ce4534b3fffc2fe19021f843229207e7940f,2007.5,12,-0.03484,0.02212,-0.07819,0.008504
7ce3ce4534b3fffc2fe19021f843229207e7940f,2008.5,12,-0.02851,0.02157,-0.07079,0.01377
7ce3ce4534b3fffc2fe19021f843229207e7940f,2009.5,12,-0.02143,0.02104,-0.06267,0.01981
7ce3ce4534b3fffc2fe19021f843229207e7940f,2010.5,12,-0.00199,0.01974,-0.04069,0.03671
7ce3ce4534b3fffc2fe19021f843229207e7940f,2011.5,12,0.01672,0.01922,-0.02094,0.05439
7ce3ce4534b3fffc2fe19021f843229207e7940f,2012.5,12,0.03643,0.01918,-0.001165,0.07403
7ce3ce4534b3fffc2fe19021f843229207e7940f,2013.5,12,0.053,0.02,0.01381,0.0922
7ce3ce4534b3fffc2fe19021f843229207e7940f,2014.5,12,0.0543,0.01977,0.01556,0.09304
7ce3ce4534b3fffc2fe19021f843229207e7940f,2015.5,12,0.0474,0.01962,0.008952,0.08585
7ce3ce4534b3fffc2fe19021f843229207e7940f,2016.5,12,0.04551,0.02043,0.005466,0.08555
7ce3ce4534b3fffc2fe19021f843229207e7940f,2017.5,12,0.03392,0.02058,-0.006422,0.07427
7ce3ce4534b3fffc2fe19021f843229207e7940f,2018.5,12,0.022,0.02072,-0.01861,0.06261
7ce3ce4534b3fffc2fe19021f843229207e7940f,2009.5,30,0.02399,0.005575,0.01306,0.03492
