analysis,centre_winter,duration,estimate,se,lcl,ucl
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2002,5,4.69,0.1563,4.384,4.997
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2003,5,4.72,0.1497,4.426,5.013
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2004,5,4.675,0.1324,4.416,4.935
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2005,5,4.613,0.1166,4.385,4.842
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2006,5,4.614,0.09705,4.424,4.804
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2007,5,4.603,0.08199,4.443,4.764
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2008,5,4.466,0.07894,4.312,4.621
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2009,5,4.35,0.07777,4.198,4.503
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2010,5,4.097,0.07571,3.949,4.246
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2011,5,3.782,0.08209,3.621,3.943
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2012,5,3.53,0.08838,3.357,3.703
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2013,5,3.396,0.0975,3.205,3.587
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2014,5,3.404,0.09815,3.211,3.596
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2015,5,3.593,0.09149,3.413,3.772
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2016,5,3.846,0.08525,3.679,4.013
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2017,5,3.962,0.08263,3.801,4.124
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2018,5,4.044,0.08273,3.881,4.206
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2019,5,3.989,0.09259,3.808,4.171
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2020,5,3.813,0.1027,3.612,4.014
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2021,5,3.587,0.1104,3.371,3.804
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2022,5,3.38,0.1055,3.173,3.587
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2004.5,10,4.647,0.09102,4.468,4.825
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2005.5,10,4.593,0.08595,4.424,4.761
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2006.5,10,4.513,0.07861,4.359,4.667
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2007.5,10,4.355,0.07111,4.216,4.495
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2008.5,10,4.198,0.06475,4.071,4.325
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2009.5,10,4.067,0.05983,3.949,4.184
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2010.5,10,3.931,0.06171,3.81,4.052
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2011.5,10,3.877,0.06096,3.758,3.997
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2012.5,10,3.845,0.06006,3.727,3.963
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2013.5,10,3.814,0.06007,3.697,3.932
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2014.5,10,3.746,0.06334,3.622,3.87
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2015.5,10,3.72,0.06628,3.59,3.85
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2016.5,10,3.696,0.06861,3.562,3.831
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2017.5,10,3.703,0.06835,3.569,3.837
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2018.5,10,3.717,0.06841,3.583,3.851
a2fd1d0cc744569e1e55cb1f37508e3da52fd4d5,2019.5,10,3.671,0.06878,3.536,3.806
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2002,5,5.109,0.1827,4.751,5.467
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2003,5,5.124,0.1781,4.775,5.473
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2004,5,5.031,0.166,4.706,5.356
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2005,5,4.944,0.1558,4.638,5.249
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2006,5,4.873,0.1316,4.615,5.131
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2007,5,4.812,0.1101,4.596,5.028
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2008,5,4.67,0.09985,4.474,4.866
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2009,5,4.558,0.09687,4.368,4.748
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2010,5,4.314,0.09193,4.134,4.494
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2011,5,4.042,0.1072,3.832,4.252
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2012,5,3.818,0.1255,3.572,4.064
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2013,5,3.702,0.1417,3.424,3.98
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2014,5,3.705,0.1422,3.426,3.984
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2015,5,3.872,0.1214,3.634,4.11
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2016,5,4.078,0.106,3.87,4.286
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2017,5,4.193,0.1049,3.987,4.398
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2018,5,4.255,0.1119,4.035,4.474
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2019,5,4.21,0.1276,3.96,4.46
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2020,5,4.047,0.1392,3.774,4.32
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2021,5,3.863,0.1501,3.569,4.158
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2022,5,3.673,0.1506,3.378,3.968
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2004.5,10,4.96,0.1162,4.732,5.188
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2005.5,10,4.897,0.1089,4.684,5.11
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2006.5,10,4.795,0.1017,4.595,4.994
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2007.5,10,4.629,0.09277,4.447,4.811
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2008.5,10,4.458,0.08635,4.288,4.627
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2009.5,10,4.315,0.08215,4.154,4.476
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2010.5,10,4.186,0.08659,4.016,4.356
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2011.5,10,4.131,0.08447,3.966,4.297
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2012.5,10,4.093,0.08199,3.932,4.254
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2013.5,10,4.06,0.0811,3.901,4.219
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2014.5,10,4.005,0.08523,3.838,4.172
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2015.5,10,3.978,0.08888,3.804,4.152
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2016.5,10,3.957,0.09238,3.776,4.138
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2017.5,10,3.96,0.09298,3.777,4.142
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2018.5,10,3.971,0.0937,3.787,4.154
cdee7ed76d9d9c15180f9059e4d07f7af92392fb,2019.5,10,3.933,0.09574,3.745,4.121
