analysis,winter,estimate,se,lcl,ucl
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,1992,10.6,0.2787,10.06,11.15
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,1993,10.7,0.2238,10.26,11.14
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,1994,10.88,0.16,10.57,11.2
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,1995,11,0.1479,10.71,11.29
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,1996,11.08,0.1462,10.79,11.37
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,1997,11.19,0.1577,10.88,11.5
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,1998,11.12,0.1522,10.82,11.42
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,1999,11.16,0.1471,10.87,11.45
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2000,11.22,0.1468,10.93,11.5
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2001,11.25,0.1511,10.96,11.55
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2002,11.34,0.1631,11.02,11.66
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2003,11.42,0.1905,11.05,11.79
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2004,11.29,0.1511,10.99,11.58
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2005,11.17,0.158,10.86,11.48
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2006,11.16,0.1445,10.88,11.45
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2007,11.11,0.1485,10.82,11.4
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2008,11.09,0.1489,10.8,11.39
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2009,11.1,0.1506,10.8,11.39
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2010,11.18,0.1581,10.87,11.49
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2011,11.11,0.1475,10.82,11.4
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2012,10.99,0.156,10.68,11.3
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2013,11,0.1436,10.71,11.28
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2014,10.92,0.1512,10.62,11.21
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2015,10.9,0.1472,10.61,11.19
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2016,10.9,0.1442,10.61,11.18
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2017,10.85,0.1496,10.55,11.14
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2018,10.88,0.1454,10.59,11.16
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2019,10.74,0.1759,10.39,11.08
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2020,10.73,0.1731,10.39,11.07
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2021,10.83,0.1488,10.54,11.12
454b90689fe0455dc2dee5c9bab86ca8fe9fdfbb,2022,10.78,0.1539,10.48,11.08
