winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1995,7,5,5,6,6,8,9,10.05,14,6e3cd710af70b31edf1858296d2117fa6c9e6de4
1996,9,6,7,8,8,10,10,13,23,6e3cd710af70b31edf1858296d2117fa6c9e6de4
1997,11,7,8,9.8,10,12,14,15.05,21,6e3cd710af70b31edf1858296d2117fa6c9e6de4
1998,13,10,11,12,13,14,16,19.05,22,6e3cd710af70b31edf1858296d2117fa6c9e6de4
1999,17,12,12,15,16,18,19.2,22.05,28,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2000,21,15,16,17,19,22,23.2,28,30,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2001,28,25,25,26,27,29,31,33.05,41,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2002,25,20,20,22,24,26,28,31.05,35,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2003,18,14,14,16,17,20,22,27,35,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2004,30,27,27,29,29,31,32,35.05,39,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2005,16,13,13,14,15,17,19,21,23,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2006,23,22,22,22,22,23.35,24.2,27,30,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2007,24,20,20,22,23,25,26,29,30,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2008,32,31,31,31,31,32,33,34,35,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2009,28,27,27,27,28,28,29,32.1,35,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2010,20,19,19,19,20,21,23,25,36,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2011,24,19,20,21,23,26,28,33.05,56,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2012,27,23,24,25,26,29,31,35.05,44,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2013,28,22,23,25,27,29,31,37,48,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2014,22,16,17,19,20,23,25.2,30.05,39,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2015,21,16,17,18.8,19,22.35,25,30,34,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2016,20,16,17,18,19,20,21,23,28,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2017,14,11,12,13,13,15,17,19,22,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2018,11.5,9,9,10,11,12,14,16,17,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2019,28,24,24.95,26,27,29,31,34,37,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2020,15,11,12,13.8,14,16,17,20,22,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2021,19,14,15,16,17,20,21,24,29,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2022,31,29,29,30,31,32,34,35.05,40,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2023,23,23,23,23,23,23,23,23,23,6e3cd710af70b31edf1858296d2117fa6c9e6de4
2024,15,15,15,15,15,15,15,15,15,6e3cd710af70b31edf1858296d2117fa6c9e6de4
