winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,January,227,227,227,227,227,227,227,227,227,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1992,November,6,6,6,6,6,6,6,6,6,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1992,December,12,12,12,12,12,12,12,12,12,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1992,NA,46,46,46,46,46,46,46,46,46,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1993,January,157,157,157,157,157,157,157,157,157,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1993,November,37,37,37,37,37,37,37,37,37,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1993,December,57,57,57,57,57,57,57,57,57,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1993,NA,75,75,75,75,75,75,75,75,75,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1994,January,197,197,197,197,197,197,197,197,197,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1994,November,12,12,12,12,12,12,12,12,12,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1994,December,79,79,79,79,79,79,79,79,79,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1994,NA,258,258,258,258,258,258,258,258,258,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1995,January,380,380,380,380,380,380,380,380,380,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1995,November,40,40,40,40,40,40,40,40,40,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1995,December,242,242,242,242,242,242,242,242,242,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1995,NA,404,404,404,404,404,404,404,404,404,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1996,January,1213,1213,1213,1213,1213,1213,1213,1213,1213,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1996,November,48,48,48,48,48,48,48,48,48,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1996,December,255,255,255,255,255,255,255,255,255,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1996,NA,1844,1844,1844,1844,1844,1844,1844,1844,1844,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1997,January,3248,3248,3248,3248,3248,3248,3248,3248,3248,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1997,November,22,22,22,22,22,22,22,22,22,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1997,December,239,239,239,239,239,239,239,239,239,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1997,NA,718,718,718,718,718,718,718,718,718,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1998,January,491,491,491,491,491,491,491,491,491,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1998,November,7,7,7,7,7,7,7,7,7,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1998,December,281,281,281,281,281,281,281,281,281,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1998,NA,480,480,480,480,480,480,480,480,480,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1999,January,478,478,478,478,478,478,478,478,478,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1999,November,26,26,26,26,26,26,26,26,26,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1999,December,386,386,386,386,386,386,386,386,386,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1999,NA,281,281,281,281,281,281,281,281,281,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2000,January,341,341,341,341,341,341,341,341,341,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2000,November,16,16,16,16,16,16,16,16,16,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2000,December,269,269,269,269,269,269,269,269,269,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2000,NA,339,339,339,339,339,339,339,339,339,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2001,January,276,276,276,276,276,276,276,276,276,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2001,November,3,3,3,3,3,3,3,3,3,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2001,December,65,65,65,65,65,65,65,65,65,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2001,NA,192,192,192,192,192,192,192,192,192,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2002,January,258,258,258,258,258,258,258,258,258,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2002,November,52,52,52,52,52,52,52,52,52,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2002,December,130,130,130,130,130,130,130,130,130,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2002,NA,229,229,229,229,229,229,229,229,229,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2003,January,617,617,617,617,617,617,617,617,617,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2003,November,74,74,74,74,74,74,74,74,74,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2003,December,339,339,339,339,339,339,339,339,339,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2003,NA,257,257,257,257,257,257,257,257,257,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2004,January,440,440,440,440,440,440,440,440,440,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2004,November,22,22,22,22,22,22,22,22,22,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2004,December,212,212,212,212,212,212,212,212,212,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2004,NA,317,317,317,317,317,317,317,317,317,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2005,January,420,420,420,420,420,420,420,420,420,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2005,November,10,10,10,10,10,10,10,10,10,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2005,December,277,277,277,277,277,277,277,277,277,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2005,NA,320,320,320,320,320,320,320,320,320,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2006,January,327,327,327,327,327,327,327,327,327,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2006,November,8,8,8,8,8,8,8,8,8,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2006,December,210,210,210,210,210,210,210,210,210,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2006,NA,433,433,433,433,433,433,433,433,433,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2007,January,335,335,335,335,335,335,335,335,335,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2007,November,49,49,49,49,49,49,49,49,49,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2007,December,173,173,173,173,173,173,173,173,173,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2007,NA,241,241,241,241,241,241,241,241,241,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2008,January,323,323,323,323,323,323,323,323,323,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2008,November,56,56,56,56,56,56,56,56,56,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2008,December,214,214,214,214,214,214,214,214,214,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2008,NA,244,244,244,244,244,244,244,244,244,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2009,January,347,347,347,347,347,347,347,347,347,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2009,November,21,21,21,21,21,21,21,21,21,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2009,December,292,292,292,292,292,292,292,292,292,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2009,NA,284,284,284,284,284,284,284,284,284,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2010,January,486,486,486,486,486,486,486,486,486,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2010,November,15,15,15,15,15,15,15,15,15,560d7641c989bfa18468a669ba73c6d02e3b3f4f
