analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,1993,1,0.1157,0.1207,-0.1208,0.3523
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,1994,1,0.2369,0.1397,-0.03686,0.5106
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,1995,1,0.4862,0.1396,0.2126,0.7597
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,1996,1,0.6686,0.1394,0.3954,0.9417
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,1997,1,0.2082,0.1423,-0.0706,0.4871
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,1998,1,0.06742,0.1295,-0.1864,0.3213
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,1999,1,0.2774,0.1289,0.02466,0.5301
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,2000,1,0.5596,0.1312,0.3024,0.8168
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,2001,1,0.5811,0.1298,0.3267,0.8354
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,2002,1,0.8238,0.1305,0.568,1.08
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,2003,1,0.9713,0.1332,0.7102,1.232
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,2004,1,0.8771,0.1296,0.6232,1.131
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,2005,1,0.9206,0.1295,0.6667,1.174
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,2006,1,0.9234,0.1275,0.6735,1.173
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,2007,1,0.8787,0.129,0.6259,1.132
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,2008,1,1.033,0.1335,0.7715,1.295
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,2009,1,0.7975,0.1314,0.5399,1.055
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,2010,1,0.5985,0.1344,0.3351,0.8619
3e560b924b9bccd8792c15eff0576ef6dcd6b73a,1992,2011,1,0.5521,0.1321,0.2932,0.811
