analysis,centre_winter,duration,estimate,se,lcl,ucl
b16c25e479502a3a393006e6abd099e6f0b33b4c,1997,5,2.651,0.1564,2.344,2.957
b16c25e479502a3a393006e6abd099e6f0b33b4c,1998,5,2.685,0.1418,2.407,2.963
b16c25e479502a3a393006e6abd099e6f0b33b4c,1999,5,2.711,0.1395,2.437,2.984
b16c25e479502a3a393006e6abd099e6f0b33b4c,2000,5,2.723,0.1391,2.451,2.996
b16c25e479502a3a393006e6abd099e6f0b33b4c,2001,5,2.721,0.1353,2.456,2.986
b16c25e479502a3a393006e6abd099e6f0b33b4c,2002,5,2.72,0.1335,2.458,2.981
b16c25e479502a3a393006e6abd099e6f0b33b4c,2003,5,2.724,0.1332,2.463,2.985
b16c25e479502a3a393006e6abd099e6f0b33b4c,2004,5,2.728,0.1343,2.465,2.991
b16c25e479502a3a393006e6abd099e6f0b33b4c,2005,5,2.721,0.1324,2.461,2.98
b16c25e479502a3a393006e6abd099e6f0b33b4c,2006,5,2.716,0.1321,2.457,2.975
b16c25e479502a3a393006e6abd099e6f0b33b4c,2007,5,2.707,0.1317,2.448,2.965
b16c25e479502a3a393006e6abd099e6f0b33b4c,2008,5,2.689,0.131,2.432,2.946
b16c25e479502a3a393006e6abd099e6f0b33b4c,2009,5,2.668,0.1342,2.405,2.931
b16c25e479502a3a393006e6abd099e6f0b33b4c,2010,5,2.651,0.1423,2.372,2.93
b16c25e479502a3a393006e6abd099e6f0b33b4c,2011,5,2.642,0.1523,2.343,2.94
b16c25e479502a3a393006e6abd099e6f0b33b4c,2012,5,2.644,0.1588,2.332,2.955
b16c25e479502a3a393006e6abd099e6f0b33b4c,2013,5,2.644,0.1642,2.322,2.966
b16c25e479502a3a393006e6abd099e6f0b33b4c,2014,5,2.656,0.1662,2.331,2.982
b16c25e479502a3a393006e6abd099e6f0b33b4c,2015,5,2.661,0.1656,2.337,2.986
b16c25e479502a3a393006e6abd099e6f0b33b4c,2016,5,2.656,0.1621,2.338,2.974
b16c25e479502a3a393006e6abd099e6f0b33b4c,2017,5,2.648,0.1568,2.34,2.955
b16c25e479502a3a393006e6abd099e6f0b33b4c,2018,5,2.629,0.1515,2.332,2.926
b16c25e479502a3a393006e6abd099e6f0b33b4c,2019,5,2.59,0.1506,2.295,2.885
b16c25e479502a3a393006e6abd099e6f0b33b4c,2020,5,2.557,0.1614,2.24,2.873
b16c25e479502a3a393006e6abd099e6f0b33b4c,2021,5,2.53,0.1757,2.185,2.874
b16c25e479502a3a393006e6abd099e6f0b33b4c,2022,5,2.506,0.1935,2.127,2.885
b16c25e479502a3a393006e6abd099e6f0b33b4c,1999.5,10,2.685,0.1237,2.443,2.928
b16c25e479502a3a393006e6abd099e6f0b33b4c,2000.5,10,2.704,0.1197,2.47,2.939
b16c25e479502a3a393006e6abd099e6f0b33b4c,2001.5,10,2.719,0.1208,2.483,2.956
b16c25e479502a3a393006e6abd099e6f0b33b4c,2002.5,10,2.722,0.1198,2.487,2.957
b16c25e479502a3a393006e6abd099e6f0b33b4c,2003.5,10,2.718,0.1176,2.488,2.949
b16c25e479502a3a393006e6abd099e6f0b33b4c,2004.5,10,2.713,0.1162,2.485,2.941
b16c25e479502a3a393006e6abd099e6f0b33b4c,2005.5,10,2.706,0.1151,2.481,2.932
b16c25e479502a3a393006e6abd099e6f0b33b4c,2006.5,10,2.698,0.1149,2.473,2.923
b16c25e479502a3a393006e6abd099e6f0b33b4c,2007.5,10,2.686,0.1165,2.458,2.914
b16c25e479502a3a393006e6abd099e6f0b33b4c,2008.5,10,2.679,0.1199,2.444,2.914
b16c25e479502a3a393006e6abd099e6f0b33b4c,2009.5,10,2.675,0.1238,2.432,2.918
b16c25e479502a3a393006e6abd099e6f0b33b4c,2010.5,10,2.666,0.128,2.416,2.917
b16c25e479502a3a393006e6abd099e6f0b33b4c,2011.5,10,2.662,0.132,2.403,2.921
b16c25e479502a3a393006e6abd099e6f0b33b4c,2012.5,10,2.656,0.1351,2.391,2.921
b16c25e479502a3a393006e6abd099e6f0b33b4c,2013.5,10,2.649,0.1373,2.38,2.918
b16c25e479502a3a393006e6abd099e6f0b33b4c,2014.5,10,2.646,0.1379,2.375,2.916
b16c25e479502a3a393006e6abd099e6f0b33b4c,2015.5,10,2.636,0.1383,2.365,2.907
b16c25e479502a3a393006e6abd099e6f0b33b4c,2016.5,10,2.623,0.1388,2.351,2.895
b16c25e479502a3a393006e6abd099e6f0b33b4c,2017.5,10,2.609,0.1393,2.336,2.882
b16c25e479502a3a393006e6abd099e6f0b33b4c,2018.5,10,2.593,0.1415,2.315,2.87
b16c25e479502a3a393006e6abd099e6f0b33b4c,2019.5,10,2.577,0.1456,2.291,2.862
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,1997,5,1.799,0.1647,1.476,2.122
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,1998,5,1.956,0.1428,1.676,2.236
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,1999,5,2.115,0.1354,1.85,2.381
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2000,5,2.222,0.1355,1.956,2.487
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2001,5,2.254,0.1345,1.99,2.518
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2002,5,2.3,0.1347,2.036,2.564
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2003,5,2.355,0.1347,2.091,2.619
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2004,5,2.38,0.1345,2.117,2.644
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2005,5,2.387,0.1345,2.124,2.651
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2006,5,2.396,0.1367,2.128,2.664
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2007,5,2.337,0.1356,2.072,2.603
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2008,5,2.23,0.134,1.968,2.493
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2009,5,2.103,0.1376,1.834,2.373
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2010,5,1.971,0.1533,1.671,2.271
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2011,5,1.871,0.1719,1.534,2.208
