winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,January,1594,1474,1498,1536,1572,1625,1689,1797,2009,1bc0798663495e5afe48953c5babb6343e23a37e
1992,November,1644,1535,1564,1595,1619,1667,1710,1776,1909,1bc0798663495e5afe48953c5babb6343e23a37e
1992,December,1507,1355,1379,1445,1471,1540,1584,1699,1860,1bc0798663495e5afe48953c5babb6343e23a37e
1992,NA,2448,2126,2202,2283,2339,2518,2640,2894,3343,1bc0798663495e5afe48953c5babb6343e23a37e
1993,January,3510,3179,3245,3317,3427,3600,3760,4326,4546,1bc0798663495e5afe48953c5babb6343e23a37e
1993,November,2554,2289,2359,2404,2471,2643,2807,3141,3947,1bc0798663495e5afe48953c5babb6343e23a37e
1993,December,3286,2988,3049,3147,3210,3383,3540,3818,4309,1bc0798663495e5afe48953c5babb6343e23a37e
1993,NA,3540,3161,3198,3352,3468,3708,3873,4394,4523,1bc0798663495e5afe48953c5babb6343e23a37e
1994,January,3076,2853,2887,2933,3013,3193,3299,3677,4315,1bc0798663495e5afe48953c5babb6343e23a37e
1994,November,2632,2492,2520,2551,2588,2719,2832,2971,3214,1bc0798663495e5afe48953c5babb6343e23a37e
1994,December,3368,3194,3240,3304,3341,3425,3498,3655,3795,1bc0798663495e5afe48953c5babb6343e23a37e
1994,NA,3266,2904,3001,3089,3212,3331,3530,4051,5370,1bc0798663495e5afe48953c5babb6343e23a37e
1995,January,2612,2388,2434,2479,2540,2678,2812,3074,3523,1bc0798663495e5afe48953c5babb6343e23a37e
1995,November,1552,1410,1430,1477,1500,1601,1672,1863,2371,1bc0798663495e5afe48953c5babb6343e23a37e
1995,December,1833,1638,1669,1729,1788,1885,1981,2119,2595,1bc0798663495e5afe48953c5babb6343e23a37e
1995,NA,2852,2585,2650,2692,2766,2953,3072,3434,3736,1bc0798663495e5afe48953c5babb6343e23a37e
1996,January,3446,3116,3187,3284,3370,3574,3812,4098,4301,1bc0798663495e5afe48953c5babb6343e23a37e
1996,November,2319,2136,2171,2238,2275,2372,2460,2604,2967,1bc0798663495e5afe48953c5babb6343e23a37e
1996,December,3397,3182,3230,3307,3348,3511,3666,4069,4781,1bc0798663495e5afe48953c5babb6343e23a37e
1996,NA,2035,1729,1783,1873,1957,2158,2335,2775,3830,1bc0798663495e5afe48953c5babb6343e23a37e
1997,January,1772,1602,1612,1674,1729,1792,1854,1964,2036,1bc0798663495e5afe48953c5babb6343e23a37e
1997,November,1060,990,1001,1022,1045,1091,1123,1189,1283,1bc0798663495e5afe48953c5babb6343e23a37e
1997,December,1208,1115,1146,1169,1189,1226,1267,1371,1508,1bc0798663495e5afe48953c5babb6343e23a37e
1997,NA,2340,2052,2120,2201,2267,2453,2578,2866,3054,1bc0798663495e5afe48953c5babb6343e23a37e
1998,January,3180,3029,3068,3117,3157,3215,3282,3395,3594,1bc0798663495e5afe48953c5babb6343e23a37e
1998,November,1791,1711,1736,1757,1768,1815,1854,1940,1989,1bc0798663495e5afe48953c5babb6343e23a37e
1998,December,2406,2280,2305,2339,2379,2431,2486,2624,3033,1bc0798663495e5afe48953c5babb6343e23a37e
1998,NA,3666,3491,3531,3576,3624,3697,3764,3888,4082,1bc0798663495e5afe48953c5babb6343e23a37e
1999,January,2538,2292,2405,2455,2510,2584,2615,2724,2831,1bc0798663495e5afe48953c5babb6343e23a37e
1999,November,4088,3901,3942,3988,4033,4178,4233,4392,4666,1bc0798663495e5afe48953c5babb6343e23a37e
1999,December,3852,3696,3729,3785,3829,3893,3957,4071,4239,1bc0798663495e5afe48953c5babb6343e23a37e
1999,NA,2540,2246,2322,2410,2459,2617,2748,2883,3025,1bc0798663495e5afe48953c5babb6343e23a37e
2000,January,3467,3332,3375,3416,3437,3504,3543,3611,3710,1bc0798663495e5afe48953c5babb6343e23a37e
2000,November,2979,2866,2912,2938,2962,3002,3046,3104,3265,1bc0798663495e5afe48953c5babb6343e23a37e
2000,December,3110,2992,3019,3054,3090,3147,3178,3253,3349,1bc0798663495e5afe48953c5babb6343e23a37e
2000,NA,3590,3351,3384,3491,3539,3670,3745,4013,4335,1bc0798663495e5afe48953c5babb6343e23a37e
2001,January,3358,3183,3226,3297,3333,3382,3420,3537,3761,1bc0798663495e5afe48953c5babb6343e23a37e
2001,November,1930,1794,1829,1864,1905,1950,2003,2111,2479,1bc0798663495e5afe48953c5babb6343e23a37e
2001,December,3172,3014,3066,3090,3141,3207,3246,3350,3587,1bc0798663495e5afe48953c5babb6343e23a37e
2001,NA,4574,4317,4389,4451,4505,4625,4665,4830,5033,1bc0798663495e5afe48953c5babb6343e23a37e
2002,January,2550,2360,2410,2478,2513,2601,2672,2805,2899,1bc0798663495e5afe48953c5babb6343e23a37e
2002,November,2780,2722,2731,2748,2760,2798,2823,2884,3010,1bc0798663495e5afe48953c5babb6343e23a37e
2002,December,2953,2836,2867,2914,2931,2976,3018,3107,3166,1bc0798663495e5afe48953c5babb6343e23a37e
2002,NA,3776,3590,3631,3692,3737,3855,3922,4026,4311,1bc0798663495e5afe48953c5babb6343e23a37e
