analysis,centre_winter,duration,estimate,se,lcl,ucl
405002f3b32f7836f28cb5d612029277ec5ac379,1996.5,10,0.1366,0.02488,0.08787,0.1854
405002f3b32f7836f28cb5d612029277ec5ac379,1997.5,10,0.1113,0.0209,0.0703,0.1522
405002f3b32f7836f28cb5d612029277ec5ac379,1998.5,10,0.08834,0.02017,0.04881,0.1279
405002f3b32f7836f28cb5d612029277ec5ac379,1999.5,10,0.05374,0.01954,0.01544,0.09205
405002f3b32f7836f28cb5d612029277ec5ac379,2000.5,10,0.03598,0.01956,-0.002362,0.07432
405002f3b32f7836f28cb5d612029277ec5ac379,2001.5,10,0.01887,0.01934,-0.01903,0.05677
405002f3b32f7836f28cb5d612029277ec5ac379,2002.5,10,-0.01432,0.01882,-0.05121,0.02257
405002f3b32f7836f28cb5d612029277ec5ac379,2003.5,10,-0.04673,0.01882,-0.08361,-0.009855
405002f3b32f7836f28cb5d612029277ec5ac379,2004.5,10,-0.0668,0.01902,-0.1041,-0.02952
405002f3b32f7836f28cb5d612029277ec5ac379,2005.5,10,-0.09113,0.01853,-0.1275,-0.05481
405002f3b32f7836f28cb5d612029277ec5ac379,2006.5,10,-0.09592,0.0187,-0.1326,-0.05927
405002f3b32f7836f28cb5d612029277ec5ac379,2007.5,10,-0.1009,0.01858,-0.1373,-0.06452
405002f3b32f7836f28cb5d612029277ec5ac379,2008.5,10,-0.09914,0.01887,-0.1361,-0.06217
405002f3b32f7836f28cb5d612029277ec5ac379,2009.5,10,-0.1128,0.01878,-0.1496,-0.07597
405002f3b32f7836f28cb5d612029277ec5ac379,2010.5,10,-0.119,0.01863,-0.1555,-0.08243
405002f3b32f7836f28cb5d612029277ec5ac379,2011.5,10,-0.1238,0.01845,-0.16,-0.08764
405002f3b32f7836f28cb5d612029277ec5ac379,2012.5,10,-0.1201,0.01896,-0.1572,-0.08291
405002f3b32f7836f28cb5d612029277ec5ac379,2013.5,10,-0.1021,0.01884,-0.139,-0.06519
405002f3b32f7836f28cb5d612029277ec5ac379,2014.5,10,-0.0879,0.01876,-0.1247,-0.05113
405002f3b32f7836f28cb5d612029277ec5ac379,2015.5,10,-0.07544,0.01899,-0.1127,-0.03822
