analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2001,1,-0.02713,0.1264,-0.275,0.2207
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2002,1,-0.04596,0.1719,-0.3828,0.2909
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2003,1,-0.08023,0.2156,-0.5028,0.3424
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2004,1,-0.0645,0.2184,-0.4926,0.3636
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2005,1,-0.05358,0.2282,-0.5008,0.3936
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2006,1,-0.08178,0.2454,-0.5627,0.3992
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2007,1,-0.1097,0.2618,-0.6228,0.4035
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2008,1,-0.1428,0.2783,-0.6883,0.4026
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2009,1,-0.1799,0.3003,-0.7686,0.4087
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2010,1,-0.2297,0.341,-0.8981,0.4386
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2011,1,-0.2442,0.3573,-0.9445,0.456
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2012,1,-0.2268,0.3492,-0.9111,0.4576
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2013,1,-0.1686,0.3121,-0.7802,0.4431
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2014,1,-0.112,0.2896,-0.6796,0.4555
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2015,1,-0.07125,0.2822,-0.6244,0.4819
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2016,1,-0.035,0.2791,-0.582,0.512
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2017,1,-0.03761,0.2871,-0.6003,0.5251
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2018,1,-0.01394,0.2841,-0.5707,0.5428
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2019,1,-0.01763,0.2933,-0.5925,0.5572
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2020,1,0.01691,0.2903,-0.552,0.5858
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2021,1,0.03223,0.2937,-0.5435,0.6079
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2022,1,0.06237,0.2938,-0.5134,0.6381
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2023,1,0.04907,0.3062,-0.551,0.6491
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2000,2024,1,0.04833,0.3217,-0.5821,0.6788
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2001,2002,1,-0.01867,0.1261,-0.2658,0.2285
6e0226d8a77ff09a98b46ed6c3ad1a7c526efcce,2001,2003,1,-0.04778,0.1717,-0.3844,0.2888
