winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2005,14.5,11,11,11,12,17,25,46.05,85,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2006,12,8,8,8,9,15.35,21,31.1,45,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2007,9.5,8,8,8,8,11,14,21.1,37,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2008,7,6,6,6,6,8,10,18,45,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2009,26,25,25,25,25,27,30,39.05,43,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2010,7,3,3,3,4,9,11,19.15,40,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2011,9,5,5,7,8,11,12.2,19.1,32,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2012,6,6,6,6,6,7.35,9.2,14,18,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2013,7,4,5,5,6,8,10,14.05,17,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2014,9.5,7,7,8,9,11,12,15.05,21,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2015,12,9,9,10,11,13,15,18.05,48,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2016,22.5,20,20,21,22,24,27,33.1,56,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2017,8,3,4,5,6,10,12,18,35,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2018,15,9,10,12,13,17,21,27.05,32,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2019,14,7,7.95,10,12,17,22,33.1,71,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2020,72,66,66,68,70,76.35,86.2,114.3,170,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2021,23,23,23,23,23,23,23,23,23,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2022,43,43,43,43,43,43,43,43,43,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2023,18,18,18,18,18,18,18,18,18,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
2024,39,39,39,39,39,39,39,39,39,97b123f2c2fd6b8fe9c138f5a970c101f0a957a7
