analysis,winter,estimate,se,lcl,ucl
77dfa6a75b31011384dc7be77455fd1778a2af1b,1992,6.896,0.1689,6.565,7.227
77dfa6a75b31011384dc7be77455fd1778a2af1b,1993,7.081,0.1125,6.861,7.302
77dfa6a75b31011384dc7be77455fd1778a2af1b,1994,7.252,0.0859,7.083,7.42
77dfa6a75b31011384dc7be77455fd1778a2af1b,1995,7.406,0.08301,7.243,7.569
77dfa6a75b31011384dc7be77455fd1778a2af1b,1996,7.524,0.09905,7.33,7.718
77dfa6a75b31011384dc7be77455fd1778a2af1b,1997,7.54,0.09513,7.353,7.726
77dfa6a75b31011384dc7be77455fd1778a2af1b,1998,7.484,0.08241,7.322,7.645
77dfa6a75b31011384dc7be77455fd1778a2af1b,1999,7.402,0.07968,7.246,7.558
77dfa6a75b31011384dc7be77455fd1778a2af1b,2000,7.328,0.08047,7.17,7.486
77dfa6a75b31011384dc7be77455fd1778a2af1b,2001,7.27,0.07877,7.116,7.425
77dfa6a75b31011384dc7be77455fd1778a2af1b,2002,7.222,0.07692,7.071,7.373
77dfa6a75b31011384dc7be77455fd1778a2af1b,2003,7.175,0.07701,7.024,7.325
77dfa6a75b31011384dc7be77455fd1778a2af1b,2004,7.141,0.07568,6.993,7.29
77dfa6a75b31011384dc7be77455fd1778a2af1b,2005,7.112,0.07521,6.965,7.26
77dfa6a75b31011384dc7be77455fd1778a2af1b,2006,7.074,0.0756,6.926,7.222
77dfa6a75b31011384dc7be77455fd1778a2af1b,2007,7.031,0.07599,6.882,7.18
77dfa6a75b31011384dc7be77455fd1778a2af1b,2008,6.988,0.07692,6.837,7.139
77dfa6a75b31011384dc7be77455fd1778a2af1b,2009,6.946,0.07997,6.789,7.103
77dfa6a75b31011384dc7be77455fd1778a2af1b,2010,6.915,0.08611,6.746,7.084
77dfa6a75b31011384dc7be77455fd1778a2af1b,2011,6.919,0.087,6.748,7.089
77dfa6a75b31011384dc7be77455fd1778a2af1b,2012,6.956,0.08345,6.792,7.119
77dfa6a75b31011384dc7be77455fd1778a2af1b,2013,6.998,0.08334,6.835,7.162
77dfa6a75b31011384dc7be77455fd1778a2af1b,2014,7.043,0.08626,6.874,7.212
77dfa6a75b31011384dc7be77455fd1778a2af1b,2015,7.077,0.09307,6.894,7.259
