analysis,winter,estimate,se,lcl,ucl
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2001,0.4352,0.3332,-0.2179,1.088
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2002,0.587,0.2432,0.1102,1.064
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2003,0.7358,0.1846,0.3739,1.098
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2004,0.8704,0.1663,0.5444,1.196
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2005,0.9742,0.1683,0.6444,1.304
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2006,1.041,0.1636,0.7204,1.362
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2007,1.088,0.1546,0.7854,1.391
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2008,1.115,0.1434,0.834,1.396
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2009,1.123,0.1433,0.8418,1.404
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2010,1.133,0.1602,0.8185,1.447
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2011,1.166,0.1699,0.8331,1.499
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2012,1.231,0.1584,0.9201,1.541
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2013,1.309,0.1438,1.027,1.591
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2014,1.398,0.1335,1.136,1.659
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2015,1.479,0.1342,1.216,1.742
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2016,1.539,0.1346,1.275,1.802
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2017,1.581,0.1323,1.321,1.84
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2018,1.612,0.1336,1.35,1.874
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2019,1.648,0.1403,1.373,1.923
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2020,1.696,0.1466,1.409,1.983
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2021,1.759,0.1503,1.465,2.054
ad7956e403ea7712cf975d55c792d2aa2578ce8e,2022,1.845,0.1514,1.549,2.142
