analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,1993,1,0.1769,0.1923,-0.2,0.5538
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,1994,1,0.2419,0.225,-0.1991,0.6829
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,1995,1,0.4842,0.2711,-0.04709,1.016
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,1996,1,0.6158,0.2927,0.0421,1.19
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,1997,1,0.5566,0.285,-0.002058,1.115
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,1998,1,0.4293,0.2674,-0.09481,0.9535
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,1999,1,0.7436,0.2712,0.2122,1.275
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2000,1,0.6761,0.2527,0.1808,1.171
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2001,1,0.8832,0.2599,0.3738,1.393
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2002,1,1.273,0.2877,0.7091,1.837
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2003,1,1.488,0.3028,0.894,2.081
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2004,1,1.533,0.2899,0.9645,2.101
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2005,1,1.533,0.2806,0.983,2.083
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2006,1,1.496,0.2701,0.9663,2.025
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2007,1,1.489,0.2657,0.968,2.009
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2008,1,1.611,0.2881,1.047,2.176
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2009,1,1.469,0.2711,0.9374,2
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2010,1,1.568,0.3229,0.9349,2.201
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2011,1,1.623,0.2821,1.07,2.176
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2012,1,1.653,0.2761,1.112,2.194
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2013,1,1.685,0.2799,1.136,2.234
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2014,1,1.683,0.2827,1.129,2.238
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2015,1,1.606,0.2733,1.07,2.142
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2016,1,1.561,0.2747,1.023,2.1
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2017,1,1.521,0.2814,0.9697,2.073
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2018,1,1.383,0.2705,0.8525,1.913
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2019,1,1.192,0.2553,0.6917,1.693
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2020,1,1.131,0.2549,0.631,1.63
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2021,1,1.15,0.2593,0.6417,1.658
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2022,1,1.189,0.264,0.6715,1.706
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2023,1,1.268,0.2782,0.7225,1.813
67f024099c103a483ed72f70aa03a12fcd0cd908,1992,2024,1,1.264,0.2876,0.7003,1.828
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,1994,1,0.06508,0.1763,-0.2805,0.4107
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,1995,1,0.3075,0.2178,-0.1195,0.7345
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,1996,1,0.4391,0.2415,-0.03434,0.9125
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,1997,1,0.3798,0.2605,-0.1307,0.8904
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,1998,1,0.2524,0.2742,-0.2849,0.7898
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,1999,1,0.5669,0.2274,0.1211,1.013
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2000,1,0.4993,0.2468,0.01556,0.983
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2001,1,0.7064,0.245,0.2262,1.187
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2002,1,1.096,0.2393,0.6273,1.565
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2003,1,1.311,0.2497,0.8214,1.8
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2004,1,1.356,0.2429,0.88,1.832
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2005,1,1.356,0.238,0.8897,1.823
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2006,1,1.319,0.2357,0.8572,1.781
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2007,1,1.312,0.2366,0.8483,1.776
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2008,1,1.434,0.2422,0.9597,1.909
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2009,1,1.292,0.2574,0.7876,1.797
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2010,1,1.391,0.3046,0.794,1.988
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2011,1,1.446,0.2484,0.9595,1.933
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2012,1,1.476,0.2386,1.009,1.944
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2013,1,1.508,0.2381,1.042,1.975
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2014,1,1.507,0.2385,1.039,1.974
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2015,1,1.429,0.2354,0.9677,1.891
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2016,1,1.385,0.2351,0.9238,1.845
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2017,1,1.345,0.2364,0.8811,1.808
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2018,1,1.206,0.2316,0.752,1.66
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2019,1,1.015,0.2338,0.5571,1.474
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2020,1,0.9539,0.2327,0.4979,1.41
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2021,1,0.9732,0.2303,0.5219,1.425
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2022,1,1.012,0.2316,0.5583,1.466
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2023,1,1.091,0.237,0.6264,1.556
67f024099c103a483ed72f70aa03a12fcd0cd908,1993,2024,1,1.087,0.2519,0.5937,1.581
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,1995,1,0.2425,0.197,-0.1436,0.6285
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,1996,1,0.3741,0.2409,-0.09799,0.8462
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,1997,1,0.3147,0.254,-0.1832,0.8127
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,1998,1,0.1874,0.2581,-0.3186,0.6933
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,1999,1,0.5018,0.2355,0.04016,0.9635
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2000,1,0.4342,0.2375,-0.03129,0.8996
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2001,1,0.6413,0.2398,0.1713,1.111
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2002,1,1.031,0.248,0.5453,1.517
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2003,1,1.246,0.2599,0.7363,1.755
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2004,1,1.291,0.2496,0.8017,1.78
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2005,1,1.291,0.2429,0.8151,1.767
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2006,1,1.254,0.237,0.7895,1.718
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2007,1,1.247,0.236,0.7844,1.709
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2008,1,1.369,0.2507,0.8779,1.861
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2009,1,1.227,0.2511,0.7347,1.719
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2010,1,1.326,0.3024,0.7332,1.919
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2011,1,1.381,0.2506,0.8901,1.872
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2012,1,1.411,0.2416,0.9377,1.885
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2013,1,1.443,0.243,0.967,1.919
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2014,1,1.442,0.2444,0.9626,1.921
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2015,1,1.364,0.2382,0.8973,1.831
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2016,1,1.319,0.2388,0.8514,1.788
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2017,1,1.279,0.2433,0.8026,1.756
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2018,1,1.141,0.236,0.6781,1.603
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2019,1,0.9503,0.2308,0.4978,1.403
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2020,1,0.8887,0.2305,0.437,1.34
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2021,1,0.9081,0.231,0.4554,1.361
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2022,1,0.9471,0.2332,0.49,1.404
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2023,1,1.026,0.2427,0.5502,1.501
67f024099c103a483ed72f70aa03a12fcd0cd908,1994,2024,1,1.022,0.2553,0.5219,1.523
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,1996,1,0.1317,0.178,-0.2172,0.4805
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,1997,1,0.07235,0.2437,-0.4053,0.55
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,1998,1,-0.05517,0.2904,-0.6243,0.514
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,1999,1,0.2594,0.2197,-0.1712,0.6901
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2000,1,0.1917,0.2646,-0.3268,0.7103
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2001,1,0.3989,0.2555,-0.1019,0.8997
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2002,1,0.7889,0.225,0.348,1.23
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2003,1,1.003,0.2295,0.5536,1.453
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2004,1,1.049,0.2284,0.601,1.496
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2005,1,1.049,0.2281,0.6019,1.496
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2006,1,1.012,0.2317,0.5574,1.466
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2007,1,1.005,0.2382,0.5377,1.471
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2008,1,1.127,0.2308,0.6747,1.579
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2009,1,0.9845,0.2695,0.4564,1.513
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2010,1,1.084,0.3095,0.4769,1.69
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2011,1,1.139,0.2462,0.6563,1.621
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2012,1,1.169,0.234,0.7104,1.628
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2013,1,1.201,0.2295,0.7511,1.651
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2014,1,1.199,0.2279,0.7527,1.646
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2015,1,1.122,0.2304,0.6703,1.573
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2016,1,1.077,0.2289,0.6286,1.526
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2017,1,1.037,0.2262,0.5938,1.48
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2018,1,0.8984,0.2276,0.4522,1.345
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2019,1,0.7079,0.2436,0.2305,1.185
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2020,1,0.6464,0.2425,0.1711,1.122
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2021,1,0.6658,0.2352,0.2048,1.127
67f024099c103a483ed72f70aa03a12fcd0cd908,1995,2022,1,0.7048,0.2332,0.2478,1.162
