analysis,centre_winter,duration,estimate,se,lcl,ucl
06ec072eec21997ae264fa7191243e84e55310dc,1999.5,10,0.8839,0.2201,0.4525,1.315
06ec072eec21997ae264fa7191243e84e55310dc,2000.5,10,0.8176,0.1835,0.4579,1.177
06ec072eec21997ae264fa7191243e84e55310dc,2001.5,10,0.691,0.1424,0.4118,0.9702
06ec072eec21997ae264fa7191243e84e55310dc,2002.5,10,0.5185,0.07154,0.3783,0.6587
06ec072eec21997ae264fa7191243e84e55310dc,2003.5,10,0.2599,0.04352,0.1746,0.3452
06ec072eec21997ae264fa7191243e84e55310dc,2004.5,10,-0.0009417,0.01939,-0.03894,0.03705
06ec072eec21997ae264fa7191243e84e55310dc,2005.5,10,-0.03193,0.02118,-0.07344,0.009577
06ec072eec21997ae264fa7191243e84e55310dc,2006.5,10,-0.09421,0.02271,-0.1387,-0.0497
06ec072eec21997ae264fa7191243e84e55310dc,2007.5,10,-0.115,0.02413,-0.1623,-0.06769
06ec072eec21997ae264fa7191243e84e55310dc,2008.5,10,-0.1492,0.0246,-0.1974,-0.1009
06ec072eec21997ae264fa7191243e84e55310dc,2009.5,10,-0.1687,0.02399,-0.2157,-0.1216
06ec072eec21997ae264fa7191243e84e55310dc,2010.5,10,-0.1245,0.0219,-0.1674,-0.08157
06ec072eec21997ae264fa7191243e84e55310dc,2011.5,10,-0.0693,0.02074,-0.1099,-0.02866
06ec072eec21997ae264fa7191243e84e55310dc,2012.5,10,-0.01446,0.02057,-0.05477,0.02586
06ec072eec21997ae264fa7191243e84e55310dc,2013.5,10,0.02625,0.02199,-0.01684,0.06934
06ec072eec21997ae264fa7191243e84e55310dc,2014.5,10,0.07065,0.02428,0.02307,0.1182
06ec072eec21997ae264fa7191243e84e55310dc,2015.5,10,0.06034,0.02491,0.01152,0.1092
06ec072eec21997ae264fa7191243e84e55310dc,2016.5,10,0.01735,0.02455,-0.03077,0.06548
06ec072eec21997ae264fa7191243e84e55310dc,2017.5,10,0.01494,0.02327,-0.03067,0.06055
06ec072eec21997ae264fa7191243e84e55310dc,2018.5,10,0.02211,0.02117,-0.01939,0.0636
06ec072eec21997ae264fa7191243e84e55310dc,2019.5,10,0.001481,0.01982,-0.03737,0.04033
06ec072eec21997ae264fa7191243e84e55310dc,2000.5,12,0.712,0.1659,0.3868,1.037
06ec072eec21997ae264fa7191243e84e55310dc,2001.5,12,0.6225,0.1354,0.3571,0.8879
06ec072eec21997ae264fa7191243e84e55310dc,2002.5,12,0.5071,0.1027,0.3058,0.7084
06ec072eec21997ae264fa7191243e84e55310dc,2003.5,12,0.3704,0.05172,0.2691,0.4718
06ec072eec21997ae264fa7191243e84e55310dc,2004.5,12,0.1546,0.03119,0.09344,0.2157
06ec072eec21997ae264fa7191243e84e55310dc,2005.5,12,-0.05882,0.01703,-0.09221,-0.02543
06ec072eec21997ae264fa7191243e84e55310dc,2006.5,12,-0.08151,0.01821,-0.1172,-0.04581
06ec072eec21997ae264fa7191243e84e55310dc,2007.5,12,-0.1153,0.01862,-0.1518,-0.07876
06ec072eec21997ae264fa7191243e84e55310dc,2008.5,12,-0.1292,0.01841,-0.1653,-0.09313
06ec072eec21997ae264fa7191243e84e55310dc,2009.5,12,-0.1134,0.01703,-0.1468,-0.08001
06ec072eec21997ae264fa7191243e84e55310dc,2010.5,12,-0.08605,0.016,-0.1174,-0.05468
06ec072eec21997ae264fa7191243e84e55310dc,2011.5,12,-0.04844,0.01539,-0.07861,-0.01827
06ec072eec21997ae264fa7191243e84e55310dc,2012.5,12,-0.02661,0.01549,-0.05696,0.003752
06ec072eec21997ae264fa7191243e84e55310dc,2013.5,12,-0.005392,0.01597,-0.0367,0.02592
06ec072eec21997ae264fa7191243e84e55310dc,2014.5,12,0.009618,0.01718,-0.02406,0.04329
06ec072eec21997ae264fa7191243e84e55310dc,2015.5,12,0.01609,0.01878,-0.02073,0.05291
06ec072eec21997ae264fa7191243e84e55310dc,2016.5,12,0.0306,0.01889,-0.00642,0.06763
06ec072eec21997ae264fa7191243e84e55310dc,2017.5,12,0.04392,0.01819,0.008263,0.07957
06ec072eec21997ae264fa7191243e84e55310dc,2018.5,12,0.04956,0.01728,0.01569,0.08343
06ec072eec21997ae264fa7191243e84e55310dc,2009.5,30,0.1308,0.03334,0.06546,0.1961
c238f173109ad2c59a513494e82bf7d76ca3e9fb,1999.5,10,0.5547,0.2811,0.003701,1.106
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2000.5,10,0.5063,0.2479,0.02032,0.9922
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2001.5,10,0.4177,0.1999,0.02587,0.8094
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2002.5,10,0.2998,0.1352,0.03484,0.5649
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2003.5,10,0.15,0.06859,0.01553,0.2844
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2004.5,10,0.005609,0.0391,-0.07103,0.08225
