winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2006,0,0,0,0,0,0,0,0,0,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2007,0,0,0,0,0,0,0,0,0,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2008,0,0,0,0,0,0,0,0,0,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2009,1,1,1,1,1,1,1,1,1,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2010,0,0,0,0,0,0,0,0,0,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2011,0,0,0,0,0,0,0,0,0,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2012,0,0,0,0,0,0,0,0,0,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2013,0,0,0,0,0,0,0,0,0,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2014,0,0,0,0,0,0,0,0,0,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2015,1.5,1,1,1,1,2,2.2,4,6,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2016,1,1,1,1,1,1,1,1,1,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2017,1,1,1,1,1,1,1,1,1,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2018,1,1,1,1,1,1,1,1,1,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2019,1,1,1,1,1,1,1,1,1,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2020,2,2,2,2,2,2,2,2,2,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2021,2,2,2,2,2,2,2,2,2,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2022,7,7,7,7,7,7,7,7,7,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2023,4,4,4,4,4,4,4,4,4,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
2024,9,9,9,9,9,9,9,9,9,1b73b7e9a2a5c2525c927225a96cbf18f979e95d
