analysis,centre_winter,duration,estimate,se,lcl,ucl
735aed7949dbeed69a9168c865d91f5724a1b06f,1994,5,1.637,0.2663,1.115,2.159
735aed7949dbeed69a9168c865d91f5724a1b06f,1995,5,1.672,0.2669,1.149,2.195
735aed7949dbeed69a9168c865d91f5724a1b06f,1996,5,1.675,0.2799,1.127,2.224
735aed7949dbeed69a9168c865d91f5724a1b06f,1997,5,1.718,0.2843,1.161,2.276
735aed7949dbeed69a9168c865d91f5724a1b06f,1998,5,1.852,0.2818,1.3,2.405
735aed7949dbeed69a9168c865d91f5724a1b06f,1999,5,2.091,0.2662,1.57,2.613
735aed7949dbeed69a9168c865d91f5724a1b06f,2000,5,2.527,0.2041,2.127,2.927
735aed7949dbeed69a9168c865d91f5724a1b06f,2001,5,2.937,0.1709,2.602,3.272
735aed7949dbeed69a9168c865d91f5724a1b06f,2002,5,3.359,0.1496,3.066,3.653
735aed7949dbeed69a9168c865d91f5724a1b06f,2003,5,3.66,0.1434,3.379,3.941
735aed7949dbeed69a9168c865d91f5724a1b06f,2004,5,3.811,0.1415,3.534,4.089
735aed7949dbeed69a9168c865d91f5724a1b06f,2005,5,3.884,0.1513,3.588,4.181
735aed7949dbeed69a9168c865d91f5724a1b06f,2006,5,4.105,0.1402,3.83,4.379
735aed7949dbeed69a9168c865d91f5724a1b06f,2007,5,4.211,0.1396,3.938,4.485
735aed7949dbeed69a9168c865d91f5724a1b06f,2008,5,4.267,0.145,3.982,4.551
735aed7949dbeed69a9168c865d91f5724a1b06f,2009,5,4.415,0.1369,4.147,4.683
735aed7949dbeed69a9168c865d91f5724a1b06f,2010,5,4.534,0.1361,4.267,4.8
735aed7949dbeed69a9168c865d91f5724a1b06f,2011,5,4.505,0.1438,4.224,4.787
735aed7949dbeed69a9168c865d91f5724a1b06f,2012,5,4.586,0.1396,4.312,4.859
735aed7949dbeed69a9168c865d91f5724a1b06f,2013,5,4.707,0.1337,4.445,4.969
735aed7949dbeed69a9168c865d91f5724a1b06f,2014,5,4.754,0.1337,4.492,5.016
735aed7949dbeed69a9168c865d91f5724a1b06f,2015,5,4.758,0.1334,4.497,5.02
735aed7949dbeed69a9168c865d91f5724a1b06f,2016,5,4.729,0.1331,4.468,4.99
735aed7949dbeed69a9168c865d91f5724a1b06f,2017,5,4.621,0.1348,4.357,4.885
735aed7949dbeed69a9168c865d91f5724a1b06f,2018,5,4.513,0.1358,4.247,4.779
735aed7949dbeed69a9168c865d91f5724a1b06f,2019,5,4.403,0.1367,4.135,4.671
735aed7949dbeed69a9168c865d91f5724a1b06f,2020,5,4.248,0.1435,3.966,4.529
735aed7949dbeed69a9168c865d91f5724a1b06f,2021,5,4.179,0.1423,3.9,4.458
735aed7949dbeed69a9168c865d91f5724a1b06f,2022,5,4.113,0.149,3.821,4.405
735aed7949dbeed69a9168c865d91f5724a1b06f,1996.5,10,1.864,0.2155,1.442,2.286
735aed7949dbeed69a9168c865d91f5724a1b06f,1997.5,10,2.1,0.1933,1.721,2.479
735aed7949dbeed69a9168c865d91f5724a1b06f,1998.5,10,2.306,0.1839,1.946,2.666
735aed7949dbeed69a9168c865d91f5724a1b06f,1999.5,10,2.539,0.1684,2.209,2.869
735aed7949dbeed69a9168c865d91f5724a1b06f,2000.5,10,2.756,0.1591,2.444,3.068
735aed7949dbeed69a9168c865d91f5724a1b06f,2001.5,10,2.951,0.1554,2.647,3.256
735aed7949dbeed69a9168c865d91f5724a1b06f,2002.5,10,3.206,0.1368,2.938,3.474
735aed7949dbeed69a9168c865d91f5724a1b06f,2003.5,10,3.521,0.1154,3.295,3.747
735aed7949dbeed69a9168c865d91f5724a1b06f,2004.5,10,3.785,0.1069,3.576,3.995
735aed7949dbeed69a9168c865d91f5724a1b06f,2005.5,10,3.963,0.1052,3.757,4.169
735aed7949dbeed69a9168c865d91f5724a1b06f,2006.5,10,4.113,0.1041,3.909,4.317
735aed7949dbeed69a9168c865d91f5724a1b06f,2007.5,10,4.209,0.1053,4.002,4.415
735aed7949dbeed69a9168c865d91f5724a1b06f,2008.5,10,4.305,0.1051,4.099,4.511
735aed7949dbeed69a9168c865d91f5724a1b06f,2009.5,10,4.398,0.1046,4.193,4.603
735aed7949dbeed69a9168c865d91f5724a1b06f,2010.5,10,4.487,0.1034,4.284,4.69
735aed7949dbeed69a9168c865d91f5724a1b06f,2011.5,10,4.585,0.1004,4.388,4.781
735aed7949dbeed69a9168c865d91f5724a1b06f,2012.5,10,4.646,0.1003,4.449,4.842
735aed7949dbeed69a9168c865d91f5724a1b06f,2013.5,10,4.617,0.1015,4.418,4.816
735aed7949dbeed69a9168c865d91f5724a1b06f,2014.5,10,4.603,0.1017,4.404,4.803
735aed7949dbeed69a9168c865d91f5724a1b06f,2015.5,10,4.61,0.09981,4.415,4.806
735aed7949dbeed69a9168c865d91f5724a1b06f,2016.5,10,4.578,0.1,4.382,4.774
735aed7949dbeed69a9168c865d91f5724a1b06f,2017.5,10,4.503,0.102,4.303,4.703
735aed7949dbeed69a9168c865d91f5724a1b06f,2018.5,10,4.454,0.1016,4.255,4.653
735aed7949dbeed69a9168c865d91f5724a1b06f,2019.5,10,4.367,0.1054,4.16,4.574
b95dee3f1731c3a10ff4a38c0adbb2a2620c79c6,1994,5,0.9532,0.1492,0.6608,1.246
b95dee3f1731c3a10ff4a38c0adbb2a2620c79c6,1995,5,0.9506,0.1603,0.6364,1.265
b95dee3f1731c3a10ff4a38c0adbb2a2620c79c6,1996,5,0.8208,0.1831,0.462,1.18
b95dee3f1731c3a10ff4a38c0adbb2a2620c79c6,1997,5,0.7908,0.1915,0.4154,1.166
b95dee3f1731c3a10ff4a38c0adbb2a2620c79c6,1998,5,0.8898,0.1905,0.5164,1.263
b95dee3f1731c3a10ff4a38c0adbb2a2620c79c6,1999,5,1.126,0.1784,0.7763,1.476
b95dee3f1731c3a10ff4a38c0adbb2a2620c79c6,2000,5,1.591,0.1351,1.326,1.856
b95dee3f1731c3a10ff4a38c0adbb2a2620c79c6,2001,5,2.131,0.1103,1.915,2.347
b95dee3f1731c3a10ff4a38c0adbb2a2620c79c6,2002,5,2.655,0.09909,2.461,2.849
b95dee3f1731c3a10ff4a38c0adbb2a2620c79c6,2003,5,3.014,0.0951,2.828,3.201
