winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,January,14,14,14,14,14,14,14,14,14,1e92fb7791497eb6060dd23d62c2bba9729194a0
1992,December,2,2,2,2,2,2,2,2,2,1e92fb7791497eb6060dd23d62c2bba9729194a0
1992,NA,16,16,16,16,16,16,16,16,16,1e92fb7791497eb6060dd23d62c2bba9729194a0
1993,January,13,13,13,13,13,13,13,13,13,1e92fb7791497eb6060dd23d62c2bba9729194a0
1993,March,7,7,7,7,7,7,7,7,7,1e92fb7791497eb6060dd23d62c2bba9729194a0
1993,October,8,8,8,8,8,8,8,8,8,1e92fb7791497eb6060dd23d62c2bba9729194a0
1993,November,1,1,1,1,1,1,1,1,1,1e92fb7791497eb6060dd23d62c2bba9729194a0
1993,December,1,1,1,1,1,1,1,1,1,1e92fb7791497eb6060dd23d62c2bba9729194a0
1993,NA,3,3,3,3,3,3,3,3,3,1e92fb7791497eb6060dd23d62c2bba9729194a0
1994,March,80,80,80,80,80,80,80,80,80,1e92fb7791497eb6060dd23d62c2bba9729194a0
1994,October,2,2,2,2,2,2,2,2,2,1e92fb7791497eb6060dd23d62c2bba9729194a0
1994,December,2,2,2,2,2,2,2,2,2,1e92fb7791497eb6060dd23d62c2bba9729194a0
1994,NA,4,4,4,4,4,4,4,4,4,1e92fb7791497eb6060dd23d62c2bba9729194a0
1995,January,1,1,1,1,1,1,1,1,1,1e92fb7791497eb6060dd23d62c2bba9729194a0
1995,March,1,1,1,1,1,1,1,1,1,1e92fb7791497eb6060dd23d62c2bba9729194a0
1995,December,8,8,8,8,8,8,8,8,8,1e92fb7791497eb6060dd23d62c2bba9729194a0
1995,NA,2,2,2,2,2,2,2,2,2,1e92fb7791497eb6060dd23d62c2bba9729194a0
1996,January,15,15,15,15,15,15,15,15,15,1e92fb7791497eb6060dd23d62c2bba9729194a0
1996,March,16,16,16,16,16,16,16,16,16,1e92fb7791497eb6060dd23d62c2bba9729194a0
1996,October,49,49,49,49,49,49,49,49,49,1e92fb7791497eb6060dd23d62c2bba9729194a0
1996,November,1,1,1,1,1,1,1,1,1,1e92fb7791497eb6060dd23d62c2bba9729194a0
1996,December,13,13,13,13,13,13,13,13,13,1e92fb7791497eb6060dd23d62c2bba9729194a0
1996,NA,2,2,2,2,2,2,2,2,2,1e92fb7791497eb6060dd23d62c2bba9729194a0
1997,March,22,22,22,22,22,22,22,22,22,1e92fb7791497eb6060dd23d62c2bba9729194a0
1997,October,10,10,10,10,10,10,10,10,10,1e92fb7791497eb6060dd23d62c2bba9729194a0
1997,November,11,11,11,11,11,11,11,11,11,1e92fb7791497eb6060dd23d62c2bba9729194a0
1997,December,3,3,3,3,3,3,3,3,3,1e92fb7791497eb6060dd23d62c2bba9729194a0
1997,NA,1,1,1,1,1,1,1,1,1,1e92fb7791497eb6060dd23d62c2bba9729194a0
1998,January,6,6,6,6,6,6,6,6,6,1e92fb7791497eb6060dd23d62c2bba9729194a0
1998,March,2,2,2,2,2,2,2,2,2,1e92fb7791497eb6060dd23d62c2bba9729194a0
1998,October,4,4,4,4,4,4,4,4,4,1e92fb7791497eb6060dd23d62c2bba9729194a0
1998,November,1,1,1,1,1,1,1,1,1,1e92fb7791497eb6060dd23d62c2bba9729194a0
1998,December,121,121,121,121,121,121,121,121,121,1e92fb7791497eb6060dd23d62c2bba9729194a0
1999,January,2,2,2,2,2,2,2,2,2,1e92fb7791497eb6060dd23d62c2bba9729194a0
1999,March,3,3,3,3,3,3,3,3,3,1e92fb7791497eb6060dd23d62c2bba9729194a0
1999,October,25,25,25,25,25,25,25,25,25,1e92fb7791497eb6060dd23d62c2bba9729194a0
1999,November,4,4,4,4,4,4,4,4,4,1e92fb7791497eb6060dd23d62c2bba9729194a0
1999,December,4,4,4,4,4,4,4,4,4,1e92fb7791497eb6060dd23d62c2bba9729194a0
1999,NA,3,3,3,3,3,3,3,3,3,1e92fb7791497eb6060dd23d62c2bba9729194a0
2000,January,3,3,3,3,3,3,3,3,3,1e92fb7791497eb6060dd23d62c2bba9729194a0
2000,March,25,25,25,25,25,25,25,25,25,1e92fb7791497eb6060dd23d62c2bba9729194a0
2000,October,33,33,33,33,33,33,33,33,33,1e92fb7791497eb6060dd23d62c2bba9729194a0
2000,December,3,3,3,3,3,3,3,3,3,1e92fb7791497eb6060dd23d62c2bba9729194a0
