analysis,centre_winter,duration,estimate,se,lcl,ucl
7e19e69ead1f34554700969b1e5329a82e4e190e,1994,5,1.305,0.34,0.639,1.972
7e19e69ead1f34554700969b1e5329a82e4e190e,1995,5,1.11,0.3333,0.4563,1.763
7e19e69ead1f34554700969b1e5329a82e4e190e,1996,5,0.8286,0.3866,0.0709,1.586
7e19e69ead1f34554700969b1e5329a82e4e190e,1997,5,0.626,0.436,-0.2286,1.481
7e19e69ead1f34554700969b1e5329a82e4e190e,1998,5,0.4981,0.4593,-0.4022,1.398
7e19e69ead1f34554700969b1e5329a82e4e190e,1999,5,0.4248,0.4642,-0.4851,1.335
7e19e69ead1f34554700969b1e5329a82e4e190e,2000,5,0.4416,0.4275,-0.3963,1.279
7e19e69ead1f34554700969b1e5329a82e4e190e,2001,5,0.5098,0.3791,-0.2332,1.253
7e19e69ead1f34554700969b1e5329a82e4e190e,2002,5,0.5368,0.3617,-0.1722,1.246
7e19e69ead1f34554700969b1e5329a82e4e190e,2003,5,0.5287,0.3645,-0.1858,1.243
7e19e69ead1f34554700969b1e5329a82e4e190e,2004,5,0.5577,0.3581,-0.1443,1.26
7e19e69ead1f34554700969b1e5329a82e4e190e,2005,5,0.6057,0.3479,-0.07611,1.288
7e19e69ead1f34554700969b1e5329a82e4e190e,2006,5,0.6286,0.3426,-0.04283,1.3
7e19e69ead1f34554700969b1e5329a82e4e190e,2007,5,0.7,0.3278,0.05743,1.343
7e19e69ead1f34554700969b1e5329a82e4e190e,2008,5,0.7368,0.3258,0.09828,1.375
7e19e69ead1f34554700969b1e5329a82e4e190e,2009,5,0.7487,0.3322,0.09767,1.4
7e19e69ead1f34554700969b1e5329a82e4e190e,2010,5,0.678,0.3339,0.02355,1.332
7e19e69ead1f34554700969b1e5329a82e4e190e,2011,5,0.5906,0.3381,-0.07211,1.253
7e19e69ead1f34554700969b1e5329a82e4e190e,2012,5,0.4652,0.3443,-0.2097,1.14
7e19e69ead1f34554700969b1e5329a82e4e190e,2013,5,0.3296,0.3564,-0.3688,1.028
7e19e69ead1f34554700969b1e5329a82e4e190e,2014,5,0.1657,0.3794,-0.5779,0.9092
7e19e69ead1f34554700969b1e5329a82e4e190e,2015,5,0.03805,0.3982,-0.7425,0.8186
7e19e69ead1f34554700969b1e5329a82e4e190e,2016,5,-0.1313,0.4322,-0.9784,0.7158
7e19e69ead1f34554700969b1e5329a82e4e190e,2017,5,-0.3129,0.4806,-1.255,0.6291
7e19e69ead1f34554700969b1e5329a82e4e190e,2018,5,-0.4736,0.5316,-1.515,0.5683
7e19e69ead1f34554700969b1e5329a82e4e190e,2019,5,-0.6271,0.5902,-1.784,0.5298
7e19e69ead1f34554700969b1e5329a82e4e190e,2020,5,-0.7857,0.663,-2.085,0.5138
7e19e69ead1f34554700969b1e5329a82e4e190e,2021,5,-0.8758,0.7085,-2.264,0.5129
7e19e69ead1f34554700969b1e5329a82e4e190e,2022,5,-0.9025,0.7333,-2.34,0.5348
7e19e69ead1f34554700969b1e5329a82e4e190e,1996.5,10,0.8653,0.315,0.2478,1.483
7e19e69ead1f34554700969b1e5329a82e4e190e,1997.5,10,0.7757,0.3161,0.1561,1.395
7e19e69ead1f34554700969b1e5329a82e4e190e,1998.5,10,0.6693,0.3295,0.02339,1.315
7e19e69ead1f34554700969b1e5329a82e4e190e,1999.5,10,0.5815,0.3413,-0.08741,1.25
7e19e69ead1f34554700969b1e5329a82e4e190e,2000.5,10,0.5135,0.3524,-0.1771,1.204
7e19e69ead1f34554700969b1e5329a82e4e190e,2001.5,10,0.4914,0.3471,-0.1889,1.172
7e19e69ead1f34554700969b1e5329a82e4e190e,2002.5,10,0.5238,0.3209,-0.1052,1.153
7e19e69ead1f34554700969b1e5329a82e4e190e,2003.5,10,0.5693,0.2976,-0.01407,1.153
7e19e69ead1f34554700969b1e5329a82e4e190e,2004.5,10,0.6184,0.2811,0.06752,1.169
7e19e69ead1f34554700969b1e5329a82e4e190e,2005.5,10,0.6328,0.2762,0.09147,1.174
7e19e69ead1f34554700969b1e5329a82e4e190e,2006.5,10,0.6532,0.272,0.1202,1.186
