analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2001,1,-0.4741,0.4193,-1.296,0.3477
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2002,1,-1.025,0.5382,-2.08,0.02992
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2003,1,-1.304,0.5921,-2.465,-0.1439
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2004,1,-0.9129,0.5116,-1.916,0.0898
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2005,1,-1.692,0.6762,-3.017,-0.3665
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2006,1,-1.743,0.7099,-3.134,-0.3512
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2007,1,-1.107,0.5851,-2.253,0.0403
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2008,1,0.04167,0.4619,-0.8636,0.9469
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2009,1,-0.5612,0.5152,-1.571,0.4486
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2010,1,-0.8248,0.5603,-1.923,0.2735
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2011,1,-0.5703,0.5105,-1.571,0.4302
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2012,1,-0.6036,0.5276,-1.638,0.4304
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2013,1,-0.7103,0.5905,-1.868,0.4472
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2014,1,-0.1901,0.5414,-1.251,0.871
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2015,1,0.9804,0.4285,0.1406,1.82
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2016,1,1.054,0.448,0.176,1.932
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2017,1,1.452,0.4235,0.6214,2.282
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2018,1,1.349,0.4368,0.4933,2.206
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2019,1,1.157,0.4684,0.2388,2.075
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2020,1,1.434,0.432,0.5875,2.281
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2021,1,1.203,0.4897,0.2428,2.162
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2022,1,1.688,0.4361,0.8336,2.543
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2023,1,1.941,0.4428,1.073,2.808
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2000,2024,1,2.484,0.4247,1.651,3.316
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2001,2002,1,-0.551,0.4541,-1.441,0.3391
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2001,2003,1,-0.8305,0.5435,-1.896,0.2348
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2001,2004,1,-0.4388,0.5086,-1.436,0.558
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2001,2005,1,-1.218,0.6374,-2.467,0.03133
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2001,2006,1,-1.269,0.6684,-2.579,0.04122
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2001,2007,1,-0.6326,0.561,-1.732,0.4669
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2001,2008,1,0.5157,0.4946,-0.4537,1.485
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2001,2009,1,-0.08723,0.5056,-1.078,0.9037
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2001,2010,1,-0.3509,0.5382,-1.406,0.704
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2001,2011,1,-0.09642,0.5034,-1.083,0.8902
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2001,2012,1,-0.1297,0.5127,-1.135,0.8752
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2001,2013,1,-0.2365,0.5578,-1.33,0.8567
52d98233ea011d2f3f9c72ad3ef31f7d08d2c3fe,2001,2014,1,0.2837,0.5144,-0.7245,1.292
