winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,0,0,0,0,0,0,0,0,0,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2001,0,0,0,0,0,0,0,0,0,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2002,2,2,2,2,2,2,2,2,2,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2003,0,0,0,0,0,0,0,0,0,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2004,56,56,56,56,56,56,56,56,56,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2005,115,115,115,115,115,115,115,115,115,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2006,33,33,33,33,33,33,33,33,33,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2007,0,0,0,0,0,0,0,0,0,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2008,186,186,186,186,186,186,186,186,186,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2009,50,50,50,50,50,50,50,172.1,584,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2010,178,178,178,178,178,178,178,178,178,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2011,190,190,190,190,190,190,190,190,190,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2012,607,607,607,607,607,607,607,607,607,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2013,92,92,92,92,92,92,92,92,92,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2014,98,98,98,98,98,98,98,98,98,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2015,19,19,19,19,19,19,19,19,19,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2016,395,395,395,395,395,395,395,395,395,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2017,240,240,240,240,240,240,240,240,240,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2018,177,177,177,177,177,177,177,177,177,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2019,186,186,186,186,186,186,186,186,186,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2020,65,65,65,65,65,65,65,65,65,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2021,144,144,144,144,144,144,144,144,144,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2022,48,48,48,48,48,48,48,48,48,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2023,130,130,130,130,130,130,130,130,130,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
2024,340,340,340,340,340,340,340,340,340,0bc716c5d180c4deb4b6ff82f1abda0a5948054c
