winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,January,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2000,March,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2000,October,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2000,November,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2000,December,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2000,NA,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2001,January,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2001,March,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2001,October,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2001,November,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2001,December,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2001,NA,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2002,January,1,1,1,1,1,1,1,1,1,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2002,March,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2002,October,2,2,2,2,2,2,2,2,2,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2002,November,1,1,1,1,1,1,1,1,1,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2002,December,1,1,1,1,1,1,1,1,1,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2002,NA,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2003,January,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2003,March,3,3,3,3,3,3,3,3,3,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2003,October,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2003,November,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2003,December,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2003,NA,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2004,January,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2004,March,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2004,October,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2004,November,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2004,December,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2004,NA,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2005,January,1,1,1,1,1,1,1,1,1,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2005,March,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2005,October,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2005,November,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2005,December,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2005,NA,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2006,January,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2006,March,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2006,October,1,1,1,1,1,1,1,1,1,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2006,November,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2006,December,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2006,NA,0,0,0,0,0,0,0,0,0,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2007,January,1,1,1,1,1,1,1,1,1,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
2007,March,2,2,2,2,2,2,2,2,2,91c4f62a0b53d9fccb99c23d334d4c959fbb3171
