analysis,centre_winter,duration,estimate,se,lcl,ucl
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,1996.5,10,0.1844,0.03428,0.1172,0.2516
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,1997.5,10,0.1919,0.03107,0.131,0.2528
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,1998.5,10,0.1997,0.03121,0.1385,0.2609
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,1999.5,10,0.1931,0.03158,0.1312,0.255
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2000.5,10,0.1794,0.0318,0.117,0.2417
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2001.5,10,0.1653,0.03079,0.105,0.2257
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2002.5,10,0.1292,0.02874,0.0729,0.1856
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2003.5,10,0.109,0.02742,0.05521,0.1627
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2004.5,10,0.1074,0.02718,0.0541,0.1607
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2005.5,10,0.1124,0.02787,0.0578,0.1671
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2006.5,10,0.09575,0.02767,0.04152,0.15
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2007.5,10,0.07959,0.02801,0.0247,0.1345
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2008.5,10,0.05644,0.02832,0.0009387,0.1119
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2009.5,10,0.03695,0.02767,-0.01728,0.09118
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2010.5,10,0.01997,0.02721,-0.03337,0.0733
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2011.5,10,0.01569,0.02711,-0.03745,0.06884
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2012.5,10,0.004582,0.02671,-0.04778,0.05694
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2013.5,10,0.004757,0.02721,-0.04858,0.05809
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2014.5,10,0.01352,0.02714,-0.03967,0.06671
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2015.5,10,0.02746,0.027,-0.02546,0.08038
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2016.5,10,0.03159,0.0273,-0.02191,0.08508
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2017.5,10,0.04661,0.02712,-0.006535,0.09976
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2018.5,10,0.05134,0.02701,-0.001602,0.1043
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2019.5,10,0.06467,0.02804,0.009704,0.1196
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,1997.5,12,0.1795,0.02665,0.1273,0.2317
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,1998.5,12,0.1752,0.02458,0.1271,0.2234
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,1999.5,12,0.1734,0.02469,0.125,0.2218
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2000.5,12,0.1753,0.02466,0.1269,0.2236
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2001.5,12,0.1663,0.02447,0.1184,0.2143
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2002.5,12,0.1539,0.02369,0.1075,0.2003
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2003.5,12,0.1281,0.02205,0.08488,0.1713
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2004.5,12,0.1045,0.02133,0.06272,0.1463
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2005.5,12,0.09268,0.02145,0.05065,0.1347
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2006.5,12,0.08719,0.02181,0.04444,0.1299
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2007.5,12,0.06922,0.02184,0.02641,0.112
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2008.5,12,0.05886,0.022,0.01574,0.102
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2009.5,12,0.04959,0.02207,0.006326,0.09285
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2010.5,12,0.03437,0.02148,-0.007742,0.07648
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2011.5,12,0.01743,0.02114,-0.02401,0.05886
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2012.5,12,0.01035,0.02135,-0.03149,0.05219
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2013.5,12,0.00669,0.02114,-0.03474,0.04812
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2014.5,12,0.01628,0.02094,-0.02477,0.05733
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2015.5,12,0.02319,0.02122,-0.0184,0.06478
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2016.5,12,0.03898,0.02113,-0.002429,0.08039
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2017.5,12,0.04811,0.02125,0.006458,0.08975
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2018.5,12,0.0577,0.02197,0.01465,0.1007
5e4f8cd03ba72370bb2d582095e26e81fbc6d047,2008,33,0.08648,0.006044,0.07464,0.09833
dc3dd4e371612e89ac369958895a67d9337a84aa,1996.5,10,0.1233,0.04196,0.04104,0.2055
dc3dd4e371612e89ac369958895a67d9337a84aa,1997.5,10,0.1445,0.03914,0.06783,0.2213
dc3dd4e371612e89ac369958895a67d9337a84aa,1998.5,10,0.1663,0.03986,0.08813,0.2444
dc3dd4e371612e89ac369958895a67d9337a84aa,1999.5,10,0.174,0.04096,0.09373,0.2543
dc3dd4e371612e89ac369958895a67d9337a84aa,2000.5,10,0.1663,0.03983,0.08821,0.2443
dc3dd4e371612e89ac369958895a67d9337a84aa,2001.5,10,0.1574,0.03778,0.08333,0.2314
dc3dd4e371612e89ac369958895a67d9337a84aa,2002.5,10,0.1413,0.03676,0.06922,0.2133
dc3dd4e371612e89ac369958895a67d9337a84aa,2003.5,10,0.1461,0.03414,0.07919,0.213
dc3dd4e371612e89ac369958895a67d9337a84aa,2004.5,10,0.1557,0.03341,0.0902,0.2212
dc3dd4e371612e89ac369958895a67d9337a84aa,2005.5,10,0.17,0.03426,0.1029,0.2372
dc3dd4e371612e89ac369958895a67d9337a84aa,2006.5,10,0.1612,0.03433,0.09393,0.2285
dc3dd4e371612e89ac369958895a67d9337a84aa,2007.5,10,0.1522,0.03547,0.08269,0.2217
dc3dd4e371612e89ac369958895a67d9337a84aa,2008.5,10,0.1309,0.0359,0.06059,0.2013
dc3dd4e371612e89ac369958895a67d9337a84aa,2009.5,10,0.1091,0.03452,0.04143,0.1768
dc3dd4e371612e89ac369958895a67d9337a84aa,2010.5,10,0.07984,0.03297,0.01521,0.1445
dc3dd4e371612e89ac369958895a67d9337a84aa,2011.5,10,0.05384,0.03235,-0.009569,0.1172
dc3dd4e371612e89ac369958895a67d9337a84aa,2012.5,10,0.01791,0.03224,-0.04528,0.0811
dc3dd4e371612e89ac369958895a67d9337a84aa,2013.5,10,0.003971,0.03331,-0.06131,0.06925
dc3dd4e371612e89ac369958895a67d9337a84aa,2014.5,10,-0.00522,0.03363,-0.07114,0.0607
dc3dd4e371612e89ac369958895a67d9337a84aa,2015.5,10,-0.001235,0.03334,-0.06658,0.06411
dc3dd4e371612e89ac369958895a67d9337a84aa,2016.5,10,-0.003198,0.03313,-0.06814,0.06174
dc3dd4e371612e89ac369958895a67d9337a84aa,2017.5,10,0.002145,0.03283,-0.0622,0.06649
dc3dd4e371612e89ac369958895a67d9337a84aa,2018.5,10,-0.002259,0.0332,-0.06733,0.06281
dc3dd4e371612e89ac369958895a67d9337a84aa,2019.5,10,0.014,0.03437,-0.05336,0.08137
dc3dd4e371612e89ac369958895a67d9337a84aa,1997.5,12,0.1366,0.03353,0.0709,0.2023
dc3dd4e371612e89ac369958895a67d9337a84aa,1998.5,12,0.1435,0.03161,0.08154,0.2054
dc3dd4e371612e89ac369958895a67d9337a84aa,1999.5,12,0.151,0.03161,0.08901,0.2129
dc3dd4e371612e89ac369958895a67d9337a84aa,2000.5,12,0.1615,0.03167,0.09946,0.2236
dc3dd4e371612e89ac369958895a67d9337a84aa,2001.5,12,0.1605,0.03065,0.1004,0.2206
dc3dd4e371612e89ac369958895a67d9337a84aa,2002.5,12,0.1665,0.02915,0.1094,0.2236
dc3dd4e371612e89ac369958895a67d9337a84aa,2003.5,12,0.162,0.02749,0.1081,0.2159
dc3dd4e371612e89ac369958895a67d9337a84aa,2004.5,12,0.156,0.02628,0.1045,0.2075
dc3dd4e371612e89ac369958895a67d9337a84aa,2005.5,12,0.151,0.02651,0.09901,0.2029
dc3dd4e371612e89ac369958895a67d9337a84aa,2006.5,12,0.1481,0.02728,0.09466,0.2016
dc3dd4e371612e89ac369958895a67d9337a84aa,2007.5,12,0.1313,0.02746,0.07752,0.1852
dc3dd4e371612e89ac369958895a67d9337a84aa,2008.5,12,0.1231,0.02792,0.06837,0.1778
dc3dd4e371612e89ac369958895a67d9337a84aa,2009.5,12,0.1114,0.02821,0.05615,0.1667
dc3dd4e371612e89ac369958895a67d9337a84aa,2010.5,12,0.08893,0.02694,0.03614,0.1417
dc3dd4e371612e89ac369958895a67d9337a84aa,2011.5,12,0.0577,0.02586,0.007026,0.1084
dc3dd4e371612e89ac369958895a67d9337a84aa,2012.5,12,0.02931,0.02609,-0.02183,0.08044
dc3dd4e371612e89ac369958895a67d9337a84aa,2013.5,12,0.00409,0.02685,-0.04853,0.05671
dc3dd4e371612e89ac369958895a67d9337a84aa,2014.5,12,0.001917,0.0263,-0.04964,0.05347
dc3dd4e371612e89ac369958895a67d9337a84aa,2015.5,12,-0.0006704,0.02626,-0.05214,0.0508
dc3dd4e371612e89ac369958895a67d9337a84aa,2016.5,12,0.005218,0.02614,-0.04601,0.05645
dc3dd4e371612e89ac369958895a67d9337a84aa,2017.5,12,0.005038,0.02639,-0.04668,0.05675
dc3dd4e371612e89ac369958895a67d9337a84aa,2018.5,12,0.01197,0.0272,-0.04133,0.06527
dc3dd4e371612e89ac369958895a67d9337a84aa,2008,33,0.09432,0.00798,0.07868,0.11
