analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
aafb986b35f6dc6baee6e900116250c60f46487a,1992,1993,1,0.09466,0.3371,-0.5661,0.7554
aafb986b35f6dc6baee6e900116250c60f46487a,1992,1994,1,0.2086,0.4494,-0.6721,1.089
aafb986b35f6dc6baee6e900116250c60f46487a,1992,1995,1,0.3859,0.5207,-0.6346,1.406
aafb986b35f6dc6baee6e900116250c60f46487a,1992,1996,1,0.6461,0.5443,-0.4207,1.713
aafb986b35f6dc6baee6e900116250c60f46487a,1992,1997,1,0.6557,0.5377,-0.3981,1.709
aafb986b35f6dc6baee6e900116250c60f46487a,1992,1998,1,0.4792,0.5389,-0.5771,1.535
aafb986b35f6dc6baee6e900116250c60f46487a,1992,1999,1,0.6981,0.5355,-0.3515,1.748
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2000,1,1.069,0.5351,0.02063,2.118
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2001,1,1.36,0.5392,0.3027,2.417
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2002,1,1.671,0.5426,0.6073,2.734
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2003,1,1.951,0.5465,0.8802,3.022
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2004,1,2.212,0.5461,1.142,3.283
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2005,1,2.361,0.5421,1.298,3.423
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2006,1,2.488,0.5415,1.427,3.549
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2007,1,2.66,0.5424,1.597,3.723
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2008,1,3.046,0.5445,1.979,4.113
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2009,1,3.059,0.5462,1.988,4.13
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2010,1,3.262,0.5475,2.189,4.336
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2011,1,3.425,0.549,2.349,4.501
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2012,1,3.546,0.5476,2.472,4.619
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2013,1,3.606,0.5459,2.536,4.676
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2014,1,3.646,0.5457,2.576,4.715
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2015,1,3.754,0.5461,2.683,4.824
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2016,1,3.851,0.5478,2.777,4.925
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2017,1,3.787,0.5468,2.716,4.859
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2018,1,3.813,0.546,2.742,4.883
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2019,1,3.77,0.5464,2.699,4.841
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2020,1,3.828,0.5454,2.759,4.897
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2021,1,3.839,0.5472,2.767,4.912
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2022,1,3.922,0.5485,2.847,4.997
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2023,1,3.913,0.5555,2.824,5.002
aafb986b35f6dc6baee6e900116250c60f46487a,1992,2024,1,4.021,0.573,2.898,5.145
aafb986b35f6dc6baee6e900116250c60f46487a,1993,1994,1,-0.09242,0.5406,-1.152,0.9671
aafb986b35f6dc6baee6e900116250c60f46487a,1993,1995,1,0.06364,0.7324,-1.372,1.499
aafb986b35f6dc6baee6e900116250c60f46487a,1993,1996,1,0.4178,0.8369,-1.222,2.058
aafb986b35f6dc6baee6e900116250c60f46487a,1993,1997,1,0.3439,0.8943,-1.409,2.097
aafb986b35f6dc6baee6e900116250c60f46487a,1993,1998,1,0.2419,0.7669,-1.261,1.745
aafb986b35f6dc6baee6e900116250c60f46487a,1993,1999,1,0.1751,0.8093,-1.411,1.761
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2000,1,0.6673,0.788,-0.8772,2.212
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2001,1,0.5495,0.8277,-1.073,2.172
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2002,1,0.929,0.7873,-0.6141,2.472
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2003,1,0.9925,0.8273,-0.629,2.614
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2004,1,1.498,0.7957,-0.062,3.057
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2005,1,2.032,0.7825,0.4986,3.566
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2006,1,2.327,0.8027,0.7534,3.9
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2007,1,2.588,0.8162,0.988,4.187
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2008,1,3.204,0.8241,1.589,4.819
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2009,1,2.928,0.828,1.305,4.551
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2010,1,3.131,0.8104,1.543,4.72
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2011,1,3.286,0.8125,1.694,4.879
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2012,1,3.459,0.809,1.873,5.044
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2013,1,3.533,0.8242,1.917,5.148
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2014,1,3.766,0.8202,2.158,5.373
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2015,1,3.881,0.8183,2.277,5.485
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2016,1,3.908,0.8207,2.299,5.516
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2017,1,3.577,0.8209,1.968,5.186
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2018,1,3.43,0.8241,1.815,5.046
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2019,1,3.456,0.8339,1.822,5.091
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2020,1,3.731,0.8266,2.111,5.351
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2021,1,4.015,0.8297,2.388,5.641
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2022,1,4.327,0.8511,2.659,5.995
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2023,1,4,0.8482,2.338,5.663
aafb986b35f6dc6baee6e900116250c60f46487a,1993,2024,1,3.997,0.8533,2.324,5.669
aafb986b35f6dc6baee6e900116250c60f46487a,1994,1995,1,0.1561,0.4907,-0.8057,1.118
aafb986b35f6dc6baee6e900116250c60f46487a,1994,1996,1,0.5102,0.7514,-0.9625,1.983
aafb986b35f6dc6baee6e900116250c60f46487a,1994,1997,1,0.4363,0.8162,-1.163,2.036
aafb986b35f6dc6baee6e900116250c60f46487a,1994,1998,1,0.3342,0.7516,-1.139,1.807
aafb986b35f6dc6baee6e900116250c60f46487a,1994,1999,1,0.2674,0.7575,-1.217,1.752
aafb986b35f6dc6baee6e900116250c60f46487a,1994,2000,1,0.7597,0.7973,-0.8031,2.322
aafb986b35f6dc6baee6e900116250c60f46487a,1994,2001,1,0.6419,0.7848,-0.8963,2.18
aafb986b35f6dc6baee6e900116250c60f46487a,1994,2002,1,1.021,0.7906,-0.5282,2.571
aafb986b35f6dc6baee6e900116250c60f46487a,1994,2003,1,1.085,0.7848,-0.4533,2.623
aafb986b35f6dc6baee6e900116250c60f46487a,1994,2004,1,1.59,0.7866,0.04814,3.132
aafb986b35f6dc6baee6e900116250c60f46487a,1994,2005,1,2.125,0.8039,0.5491,3.7
aafb986b35f6dc6baee6e900116250c60f46487a,1994,2006,1,2.419,0.8198,0.8125,4.026
