winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,January,342,342,342,342,342,342,342,342,342,28fd10abd7b76ca68290a66e65025964a8c3aa91
1992,March,276,276,276,276,276,276,276,276,276,28fd10abd7b76ca68290a66e65025964a8c3aa91
1992,October,1423,1423,1423,1423,1423,1423,1423,1423,1423,28fd10abd7b76ca68290a66e65025964a8c3aa91
1992,November,350,350,350,350,350,350,350,350,350,28fd10abd7b76ca68290a66e65025964a8c3aa91
1992,December,387,387,387,387,387,387,387,387,387,28fd10abd7b76ca68290a66e65025964a8c3aa91
1992,NA,69,69,69,69,69,69,69,69,69,28fd10abd7b76ca68290a66e65025964a8c3aa91
1993,January,37,37,37,37,37,37,37,37,37,28fd10abd7b76ca68290a66e65025964a8c3aa91
1993,March,79,79,79,79,79,79,79,79,79,28fd10abd7b76ca68290a66e65025964a8c3aa91
1993,October,283,283,283,283,283,283,283,283,283,28fd10abd7b76ca68290a66e65025964a8c3aa91
1993,November,130,130,130,130,130,130,130,130,130,28fd10abd7b76ca68290a66e65025964a8c3aa91
1993,December,275,275,275,275,275,275,275,275,275,28fd10abd7b76ca68290a66e65025964a8c3aa91
1993,NA,52,52,52,52,52,52,52,52,52,28fd10abd7b76ca68290a66e65025964a8c3aa91
1994,January,67,67,67,67,67,67,67,67,67,28fd10abd7b76ca68290a66e65025964a8c3aa91
1994,March,108,108,108,108,108,108,108,108,108,28fd10abd7b76ca68290a66e65025964a8c3aa91
1994,October,308,308,308,308,308,308,308,308,308,28fd10abd7b76ca68290a66e65025964a8c3aa91
1994,November,236,236,236,236,236,236,236,236,236,28fd10abd7b76ca68290a66e65025964a8c3aa91
1994,December,85,85,85,85,85,85,85,85,85,28fd10abd7b76ca68290a66e65025964a8c3aa91
1994,NA,80,80,80,80,80,80,80,80,80,28fd10abd7b76ca68290a66e65025964a8c3aa91
1995,January,105,105,105,105,105,105,105,105,105,28fd10abd7b76ca68290a66e65025964a8c3aa91
1995,March,119,119,119,119,119,119,119,119,119,28fd10abd7b76ca68290a66e65025964a8c3aa91
1995,October,225,225,225,225,225,225,225,225,225,28fd10abd7b76ca68290a66e65025964a8c3aa91
1995,November,389,389,389,389,389,389,389,389,389,28fd10abd7b76ca68290a66e65025964a8c3aa91
1995,December,130,130,130,130,130,130,130,130,130,28fd10abd7b76ca68290a66e65025964a8c3aa91
1995,NA,105,105,105,105,105,105,105,105,105,28fd10abd7b76ca68290a66e65025964a8c3aa91
1996,January,68,68,68,68,68,68,68,68.05,71,28fd10abd7b76ca68290a66e65025964a8c3aa91
1996,March,100,100,100,100,100,100,100,103,110,28fd10abd7b76ca68290a66e65025964a8c3aa91
1996,October,384,384,384,384,384,384,384,385,391,28fd10abd7b76ca68290a66e65025964a8c3aa91
1996,November,398,398,398,398,398,398,398,399,404,28fd10abd7b76ca68290a66e65025964a8c3aa91
1996,December,150,150,150,150,150,150,150,152,164,28fd10abd7b76ca68290a66e65025964a8c3aa91
1996,NA,157,157,157,157,157,157,157,157,159,28fd10abd7b76ca68290a66e65025964a8c3aa91
1997,January,71,71,71,71,71,71,71,72,76,28fd10abd7b76ca68290a66e65025964a8c3aa91
1997,March,145,145,145,145,145,145,145,147,148,28fd10abd7b76ca68290a66e65025964a8c3aa91
1997,October,381,381,381,381,381,381,381,382,384,28fd10abd7b76ca68290a66e65025964a8c3aa91
1997,November,162,162,162,162,162,162,162,164,172,28fd10abd7b76ca68290a66e65025964a8c3aa91
1997,December,201,201,201,201,201,201,201,202,210,28fd10abd7b76ca68290a66e65025964a8c3aa91
1997,NA,43,43,43,43,43,43,43,43.05,45,28fd10abd7b76ca68290a66e65025964a8c3aa91
1998,January,65,65,65,65,65,65,65,65,70,28fd10abd7b76ca68290a66e65025964a8c3aa91
1998,March,153,153,153,153,153,153,153,155,157,28fd10abd7b76ca68290a66e65025964a8c3aa91
1998,October,391,391,391,391,391,391,391,392,397,28fd10abd7b76ca68290a66e65025964a8c3aa91
1998,November,341,341,341,341,341,341,341,341,343,28fd10abd7b76ca68290a66e65025964a8c3aa91
