analysis,centre_winter,duration,estimate,se,lcl,ucl
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,1996.5,10,0.1861,0.02409,0.1388,0.2333
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,1997.5,10,0.1855,0.02345,0.1395,0.2315
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,1998.5,10,0.1768,0.02439,0.129,0.2246
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,1999.5,10,0.127,0.02604,0.07594,0.178
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2000.5,10,0.07885,0.02876,0.02247,0.1352
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2001.5,10,0.04202,0.02618,-0.009284,0.09332
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2002.5,10,0.007523,0.02384,-0.0392,0.05425
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2003.5,10,-0.001762,0.02076,-0.04244,0.03892
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2004.5,10,0.008619,0.01978,-0.03015,0.04739
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2005.5,10,0.02058,0.0222,-0.02293,0.06409
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2006.5,10,0.01193,0.0244,-0.03589,0.05975
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2007.5,10,-0.01935,0.02621,-0.07072,0.03202
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2008.5,10,-0.02124,0.0286,-0.07729,0.03481
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2009.5,10,-0.03995,0.02379,-0.08657,0.006674
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2010.5,10,-0.07187,0.02045,-0.1119,-0.03179
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2011.5,10,-0.08279,0.02003,-0.1221,-0.04353
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2012.5,10,-0.1029,0.02117,-0.1444,-0.06146
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2013.5,10,-0.09769,0.0207,-0.1383,-0.05712
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2014.5,10,-0.09922,0.02066,-0.1397,-0.05872
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2015.5,10,-0.106,0.02145,-0.148,-0.06394
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2016.5,10,-0.1029,0.02202,-0.146,-0.05971
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2017.5,10,-0.08092,0.02114,-0.1223,-0.03949
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2018.5,10,-0.04235,0.02035,-0.08224,-0.002464
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2019.5,10,-0.01796,0.02134,-0.05979,0.02387
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,1997.5,12,0.1499,0.01796,0.1147,0.1851
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,1998.5,12,0.1481,0.0215,0.1059,0.1902
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,1999.5,12,0.1226,0.02232,0.07882,0.1663
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2000.5,12,0.09143,0.02047,0.05131,0.1316
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2001.5,12,0.06453,0.01863,0.02802,0.101
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2002.5,12,0.04319,0.01673,0.0104,0.07598
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2003.5,12,0.01919,0.0157,-0.01157,0.04995
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2004.5,12,-0.00172,0.01552,-0.03214,0.0287
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2005.5,12,-0.006705,0.01584,-0.03776,0.02435
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2006.5,12,-0.004978,0.01741,-0.0391,0.02914
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2007.5,12,-0.009732,0.01928,-0.04753,0.02806
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2008.5,12,-0.03007,0.0203,-0.06985,0.009713
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2009.5,12,-0.03933,0.02163,-0.08172,0.003074
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2010.5,12,-0.0546,0.0182,-0.09028,-0.01893
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2011.5,12,-0.0816,0.0162,-0.1134,-0.04985
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2012.5,12,-0.09167,0.01595,-0.1229,-0.06042
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2013.5,12,-0.1042,0.01662,-0.1368,-0.07166
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2014.5,12,-0.1049,0.01701,-0.1382,-0.07157
4da889dcc4d203ffc5adb0538888bb845b7eb9bf,2015.5,12,-0.09753,0.01689,-0.1306,-0.06442
