analysis,centre_winter,duration,estimate,se,lcl,ucl
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2002,5,1.382,0.2718,0.8494,1.915
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2003,5,1.473,0.2455,0.9921,1.954
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2004,5,1.494,0.2419,1.02,1.968
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2005,5,1.514,0.2445,1.035,1.994
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2006,5,1.503,0.245,1.023,1.983
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2007,5,1.404,0.2456,0.9226,1.885
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2008,5,1.29,0.2546,0.7905,1.789
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2009,5,1.221,0.2574,0.7161,1.725
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2010,5,1.156,0.2621,0.6424,1.67
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2011,5,0.8954,0.3016,0.3042,1.486
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2012,5,0.6615,0.3571,-0.03832,1.361
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2013,5,0.4426,0.4275,-0.3952,1.28
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2014,5,0.2123,0.5203,-0.8075,1.232
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2015,5,-0.009879,0.6242,-1.233,1.213
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2016,5,-0.06118,0.6492,-1.334,1.211
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2017,5,0.09979,0.571,-1.019,1.219
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2018,5,0.3184,0.4816,-0.6254,1.262
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2019,5,0.6283,0.3691,-0.09515,1.352
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2020,5,0.98,0.2808,0.4297,1.53
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2021,5,1.198,0.2598,0.6888,1.707
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2022,5,1.284,0.266,0.7632,1.806
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2004.5,10,1.393,0.2003,1,1.786
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2005.5,10,1.381,0.1947,0.9999,1.763
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2006.5,10,1.357,0.1937,0.9777,1.737
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2007.5,10,1.335,0.1919,0.9591,1.711
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2008.5,10,1.199,0.2024,0.8024,1.596
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2009.5,10,1.033,0.2307,0.5806,1.485
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2010.5,10,0.8661,0.2723,0.3323,1.4
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2011.5,10,0.7166,0.315,0.09932,1.334
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2012.5,10,0.5737,0.3584,-0.1287,1.276
3a9e998d84dc482f38c43a4af5917f8ddd4835fe,2013.5,10,0.4178,0.4118,-0.3892,1.225
