winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,2,2,2,2,2,2,2,2,2,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2001,3,3,3,3,3,3,3,3,3,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2002,1,1,1,1,1,1,1,1,1,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2003,13,13,13,13,13,13,13,13,13,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2004,6,6,6,6,6,6,6,6,6,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2005,4,4,4,4,4,4,4,4,4,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2006,2,2,2,2,2,2,2,2,2,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2007,2,2,2,2,2,2,2,2,2,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2008,14,14,14,14,14,14,14,14,14,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2009,2,2,2,2,2,2,2,2,2,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2010,1,1,1,1,1,1,1,1,1,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2011,2,2,2,2,2,2,2,2,2,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2012,5,5,5,5,5,5,5,5,5,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2013,2,2,2,2,2,2,2,3,6,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2014,0,0,0,0,0,0,0,0,0,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2015,0,0,0,0,0,0,0,0,0,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2016,0,0,0,0,0,0,0,0,0,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2017,0,0,0,0,0,0,0,0,0,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2018,1,1,1,1,1,1,1,1,1,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2019,4,4,4,4,4,4,4,4,4,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2020,1,1,1,1,1,1,1,1,1,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2021,4,4,4,4,4,4,4,4,4,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2022,9,9,9,9,9,9,9,9,9,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2023,4,4,4,4,4,4,4,4,4,4cf7c0351bb94ef8ee06524c5d0989405886cefc
2024,3,3,3,3,3,3,3,3,3,4cf7c0351bb94ef8ee06524c5d0989405886cefc
