analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
010e10c0785b37e5a300a92354de46bd36b8f667,1992,1993,1,0.09455,0.173,-0.2444,0.4335
010e10c0785b37e5a300a92354de46bd36b8f667,1992,1994,1,0.2334,0.2101,-0.1784,0.6452
010e10c0785b37e5a300a92354de46bd36b8f667,1992,1995,1,0.2903,0.2135,-0.1281,0.7088
010e10c0785b37e5a300a92354de46bd36b8f667,1992,1996,1,0.2721,0.2288,-0.1764,0.7206
010e10c0785b37e5a300a92354de46bd36b8f667,1992,1997,1,0.1862,0.2187,-0.2424,0.6149
010e10c0785b37e5a300a92354de46bd36b8f667,1992,1998,1,0.3805,0.2141,-0.03901,0.8001
010e10c0785b37e5a300a92354de46bd36b8f667,1992,1999,1,0.6078,0.2154,0.1855,1.03
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2000,1,0.5919,0.215,0.1706,1.013
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2001,1,0.5807,0.2147,0.1598,1.002
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2002,1,0.4948,0.2154,0.07264,0.917
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2003,1,0.4657,0.2148,0.0446,0.8867
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2004,1,0.5119,0.2133,0.09398,0.9299
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2005,1,0.6393,0.2126,0.2226,1.056
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2006,1,0.6091,0.212,0.1935,1.025
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2007,1,0.6789,0.216,0.2556,1.102
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2008,1,0.7231,0.217,0.2977,1.148
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2009,1,0.4312,0.2207,-0.001392,0.8637
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2010,1,0.2735,0.2282,-0.1738,0.7208
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2011,1,0.3359,0.2239,-0.103,0.7748
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2012,1,0.583,0.2163,0.1591,1.007
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2013,1,1.159,0.2068,0.7533,1.564
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2014,1,1.405,0.2035,1.006,1.803
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2015,1,1.534,0.1996,1.143,1.925
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2016,1,1.595,0.1982,1.206,1.983
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2017,1,1.658,0.1965,1.273,2.043
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2018,1,1.801,0.1977,1.414,2.189
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2019,1,1.718,0.197,1.332,2.104
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2020,1,1.658,0.1972,1.272,2.045
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2021,1,1.658,0.1971,1.272,2.045
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2022,1,1.794,0.1983,1.405,2.183
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2023,1,1.771,0.1968,1.386,2.157
010e10c0785b37e5a300a92354de46bd36b8f667,1992,2024,1,1.838,0.1991,1.448,2.228
010e10c0785b37e5a300a92354de46bd36b8f667,1993,1994,1,0.1389,0.1656,-0.1857,0.4634
010e10c0785b37e5a300a92354de46bd36b8f667,1993,1995,1,0.1958,0.1876,-0.172,0.5636
010e10c0785b37e5a300a92354de46bd36b8f667,1993,1996,1,0.1776,0.2111,-0.2363,0.5914
010e10c0785b37e5a300a92354de46bd36b8f667,1993,1997,1,0.0917,0.2027,-0.3055,0.4889
010e10c0785b37e5a300a92354de46bd36b8f667,1993,1998,1,0.286,0.1963,-0.09868,0.6707
010e10c0785b37e5a300a92354de46bd36b8f667,1993,1999,1,0.5132,0.196,0.1291,0.8973
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2000,1,0.4973,0.1944,0.1164,0.8783
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2001,1,0.4861,0.1956,0.1028,0.8695
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2002,1,0.4003,0.1969,0.0143,0.7863
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2003,1,0.3711,0.1965,-0.01407,0.7563
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2004,1,0.4174,0.1955,0.0342,0.8006
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2005,1,0.5447,0.1934,0.1656,0.9239
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2006,1,0.5146,0.1945,0.1333,0.8958
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2007,1,0.5843,0.2004,0.1915,0.9771
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2008,1,0.6285,0.1994,0.2377,1.019
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2009,1,0.3366,0.205,-0.06511,0.7384
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2010,1,0.179,0.2129,-0.2383,0.5962
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2011,1,0.2414,0.2072,-0.1648,0.6475
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2012,1,0.4885,0.2003,0.09583,0.8811
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2013,1,1.064,0.1867,0.6981,1.43
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2014,1,1.31,0.1854,0.9468,1.673
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2015,1,1.439,0.1796,1.087,1.791
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2016,1,1.5,0.1783,1.151,1.849
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2017,1,1.564,0.1767,1.217,1.91
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2018,1,1.707,0.1768,1.36,2.053
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2019,1,1.624,0.1764,1.278,1.969
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2020,1,1.564,0.1775,1.216,1.912
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2021,1,1.564,0.1771,1.217,1.911
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2022,1,1.699,0.1779,1.351,2.048
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2023,1,1.677,0.1766,1.331,2.023
010e10c0785b37e5a300a92354de46bd36b8f667,1993,2024,1,1.744,0.1785,1.394,2.094
010e10c0785b37e5a300a92354de46bd36b8f667,1994,1995,1,0.05694,0.1581,-0.2528,0.3667
010e10c0785b37e5a300a92354de46bd36b8f667,1994,1996,1,0.0387,0.1988,-0.3509,0.4283
010e10c0785b37e5a300a92354de46bd36b8f667,1994,1997,1,-0.04715,0.2,-0.4392,0.3449
010e10c0785b37e5a300a92354de46bd36b8f667,1994,1998,1,0.1472,0.1923,-0.2297,0.524
010e10c0785b37e5a300a92354de46bd36b8f667,1994,1999,1,0.3744,0.1888,0.004362,0.7444
010e10c0785b37e5a300a92354de46bd36b8f667,1994,2000,1,0.3585,0.1899,-0.01367,0.7307
010e10c0785b37e5a300a92354de46bd36b8f667,1994,2001,1,0.3473,0.1895,-0.02417,0.7188
010e10c0785b37e5a300a92354de46bd36b8f667,1994,2002,1,0.2615,0.1939,-0.1186,0.6415
010e10c0785b37e5a300a92354de46bd36b8f667,1994,2003,1,0.2323,0.1929,-0.1458,0.6104
010e10c0785b37e5a300a92354de46bd36b8f667,1994,2004,1,0.2786,0.1904,-0.09456,0.6517
010e10c0785b37e5a300a92354de46bd36b8f667,1994,2005,1,0.4059,0.1868,0.03981,0.772
010e10c0785b37e5a300a92354de46bd36b8f667,1994,2006,1,0.3757,0.1904,0.002462,0.749
