analysis,winter,estimate,se,lcl,ucl
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2000,-1.229,0.739,-2.677,0.2198
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2001,-0.9298,0.5358,-1.98,0.1204
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2002,-0.6514,0.4671,-1.567,0.2641
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2003,-0.3745,0.4323,-1.222,0.4729
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2004,-0.2113,0.3995,-0.9943,0.5717
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2005,-0.3754,0.3791,-1.118,0.3676
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2006,-0.8384,0.4632,-1.746,0.06938
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2007,-1.27,0.6385,-2.522,-0.01903
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2008,-1.417,0.7767,-2.939,0.1055
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2009,-1.134,0.8069,-2.715,0.4478
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2010,-0.3773,0.7097,-1.768,1.014
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2011,0.7832,0.5176,-0.2312,1.798
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2012,2.118,0.3555,1.421,2.815
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2013,3.319,0.3288,2.675,3.964
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2014,4.204,0.3499,3.518,4.889
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2015,4.714,0.3556,4.017,5.411
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2016,4.996,0.3448,4.32,5.672
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2017,5.107,0.3475,4.426,5.788
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2018,5.147,0.3695,4.423,5.872
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2019,5.256,0.3642,4.542,5.97
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2020,5.409,0.3492,4.725,6.093
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2021,5.557,0.3452,4.88,6.234
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2022,5.703,0.3447,5.028,6.379
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2023,5.849,0.3718,5.12,6.578
8152c9a1bb3149ed3de0be6d1a4f923c07754945,2024,5.981,0.5265,4.949,7.013
98c9508cc8e6be667ad6e008f02d5d582f960347,2000,-0.2131,0.8022,-1.785,1.359
98c9508cc8e6be667ad6e008f02d5d582f960347,2001,-0.1222,0.6971,-1.488,1.244
98c9508cc8e6be667ad6e008f02d5d582f960347,2002,0.07968,0.6553,-1.205,1.364
98c9508cc8e6be667ad6e008f02d5d582f960347,2003,0.6292,0.5685,-0.4849,1.743
98c9508cc8e6be667ad6e008f02d5d582f960347,2004,2.479,0.3088,1.874,3.084
98c9508cc8e6be667ad6e008f02d5d582f960347,2005,1.889,0.3697,1.164,2.613
98c9508cc8e6be667ad6e008f02d5d582f960347,2006,0.2366,0.6377,-1.013,1.486
98c9508cc8e6be667ad6e008f02d5d582f960347,2007,-0.8432,0.8593,-2.527,0.8409
98c9508cc8e6be667ad6e008f02d5d582f960347,2008,-1.221,0.9465,-3.076,0.6341
98c9508cc8e6be667ad6e008f02d5d582f960347,2009,-1.085,0.9238,-2.896,0.7258
98c9508cc8e6be667ad6e008f02d5d582f960347,2010,-0.375,0.7849,-1.913,1.163
98c9508cc8e6be667ad6e008f02d5d582f960347,2011,1.372,0.4674,0.4557,2.288
98c9508cc8e6be667ad6e008f02d5d582f960347,2012,4.411,0.1922,4.034,4.788
98c9508cc8e6be667ad6e008f02d5d582f960347,2013,4.757,0.1916,4.381,5.132
98c9508cc8e6be667ad6e008f02d5d582f960347,2014,6.462,0.1593,6.15,6.775
98c9508cc8e6be667ad6e008f02d5d582f960347,2015,6.603,0.1597,6.29,6.917
98c9508cc8e6be667ad6e008f02d5d582f960347,2016,6.706,0.1576,6.398,7.015
98c9508cc8e6be667ad6e008f02d5d582f960347,2017,5.89,0.169,5.559,6.221
98c9508cc8e6be667ad6e008f02d5d582f960347,2018,5.418,0.1874,5.05,5.785
98c9508cc8e6be667ad6e008f02d5d582f960347,2019,6.405,0.1587,6.094,6.716
98c9508cc8e6be667ad6e008f02d5d582f960347,2020,6.228,0.1645,5.906,6.551
98c9508cc8e6be667ad6e008f02d5d582f960347,2021,6.336,0.1627,6.017,6.655
98c9508cc8e6be667ad6e008f02d5d582f960347,2022,6.442,0.1637,6.121,6.763
98c9508cc8e6be667ad6e008f02d5d582f960347,2023,6.77,0.2981,6.186,7.354
98c9508cc8e6be667ad6e008f02d5d582f960347,2024,6.831,0.1644,6.508,7.153
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2000,-0.131,0.8766,-1.849,1.587
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2001,0.3036,0.6397,-0.9502,1.557
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2002,0.7544,0.5233,-0.2712,1.78
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2003,1.214,0.4866,0.26,2.167
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2004,1.582,0.4766,0.6481,2.516
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2005,1.591,0.4325,0.7429,2.438
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2006,1.341,0.7969,-0.2214,2.903
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2007,1.103,1.324,-1.491,3.697
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2008,1.076,1.692,-2.24,4.393
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2009,1.373,1.777,-2.109,4.856
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2010,2.035,1.535,-0.9737,5.044
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2011,3.011,1.01,1.032,4.989
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2012,4.11,0.4392,3.249,4.971
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2013,4.992,0.3868,4.234,5.75
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2014,5.687,0.5627,4.584,6.79
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2015,6.08,0.5837,4.936,7.224
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2016,6.232,0.4685,5.314,7.151
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2017,6.232,0.3748,5.497,6.966
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2018,6.263,0.4042,5.47,7.055
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2019,6.402,0.4118,5.595,7.209
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2020,6.532,0.4515,5.648,7.417
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2021,6.672,0.5002,5.691,7.652
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2022,6.829,0.5516,5.748,7.91
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2023,7.007,0.6105,5.811,8.204
d95602ae1490c0c7758570f6b94fd5e3a5016da5,2024,7.187,0.7286,5.759,8.616
e55b36cb7a831eeae421afaa4637898fda85ea24,2000,-1.23,0.7689,-2.737,0.2771
e55b36cb7a831eeae421afaa4637898fda85ea24,2001,-1.023,0.6489,-2.295,0.2491
e55b36cb7a831eeae421afaa4637898fda85ea24,2002,-1.249,0.7123,-2.645,0.1474
e55b36cb7a831eeae421afaa4637898fda85ea24,2003,-0.7911,0.6951,-2.153,0.5713
e55b36cb7a831eeae421afaa4637898fda85ea24,2004,0.2379,0.5187,-0.7787,1.255
e55b36cb7a831eeae421afaa4637898fda85ea24,2005,0.1577,0.5114,-0.8447,1.16
e55b36cb7a831eeae421afaa4637898fda85ea24,2006,-1.223,0.7185,-2.631,0.1856
e55b36cb7a831eeae421afaa4637898fda85ea24,2007,-2.183,0.8874,-3.922,-0.444
e55b36cb7a831eeae421afaa4637898fda85ea24,2008,-2.497,0.9553,-4.369,-0.6243
e55b36cb7a831eeae421afaa4637898fda85ea24,2009,-2.28,0.9436,-4.13,-0.4307
e55b36cb7a831eeae421afaa4637898fda85ea24,2010,-1.458,0.8501,-3.125,0.2076
e55b36cb7a831eeae421afaa4637898fda85ea24,2011,0.3251,0.6038,-0.8584,1.509
e55b36cb7a831eeae421afaa4637898fda85ea24,2012,2.276,0.4932,1.31,3.243
e55b36cb7a831eeae421afaa4637898fda85ea24,2013,3.653,0.4797,2.712,4.593
e55b36cb7a831eeae421afaa4637898fda85ea24,2014,4.558,0.4693,3.638,5.478
e55b36cb7a831eeae421afaa4637898fda85ea24,2015,4.629,0.5317,3.587,5.671
e55b36cb7a831eeae421afaa4637898fda85ea24,2016,5.053,0.489,4.095,6.012
e55b36cb7a831eeae421afaa4637898fda85ea24,2017,5.105,0.4839,4.157,6.053
