analysis,centre_winter,duration,estimate,se,lcl,ucl
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2002,5,0.8743,0.2279,0.4276,1.321
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2003,5,0.7839,0.2155,0.3616,1.206
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2004,5,0.6676,0.2162,0.2438,1.091
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2005,5,0.5635,0.2236,0.1253,1.002
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2006,5,0.4781,0.2365,0.01452,0.9416
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2007,5,0.4508,0.2394,-0.01848,0.9201
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2008,5,0.4503,0.2438,-0.02751,0.9281
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2009,5,0.5649,0.2245,0.1249,1.005
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2010,5,0.6127,0.2193,0.1829,1.042
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2011,5,0.6142,0.2165,0.1899,1.038
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2012,5,0.5366,0.2182,0.109,0.9642
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2013,5,0.3979,0.2322,-0.05719,0.8529
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2014,5,0.1491,0.2932,-0.4256,0.7237
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2015,5,-0.0005732,0.3381,-0.6632,0.662
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2016,5,-0.04521,0.3502,-0.7316,0.6411
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2017,5,0.005112,0.3314,-0.6444,0.6546
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2018,5,0.1434,0.2846,-0.4145,0.7013
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2019,5,0.2819,0.2531,-0.2141,0.7779
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2020,5,0.434,0.2312,-0.01905,0.8871
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2021,5,0.6199,0.2181,0.1923,1.047
