analysis,centre_winter,duration,estimate,se,lcl,ucl
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2004.5,10,-0.07654,0.0561,-0.1865,0.03342
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2005.5,10,-0.06259,0.05411,-0.1686,0.04345
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2006.5,10,-0.01037,0.04897,-0.1064,0.08562
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2007.5,10,0.01023,0.04956,-0.08691,0.1074
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2008.5,10,0.005336,0.04914,-0.09098,0.1017
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2009.5,10,-0.006031,0.04978,-0.1036,0.09154
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2010.5,10,-0.03959,0.05225,-0.142,0.06282
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2011.5,10,-0.07068,0.05776,-0.1839,0.04253
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2012.5,10,-0.09422,0.06297,-0.2176,0.0292
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2013.5,10,-0.1056,0.06566,-0.2343,0.02309
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2014.5,10,-0.08056,0.05805,-0.1943,0.03323
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2015.5,10,-0.04948,0.05177,-0.1509,0.05199
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2016.5,10,0.01411,0.0496,-0.08311,0.1113
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2017.5,10,0.06519,0.05559,-0.04377,0.1741
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2018.5,10,0.1159,0.06564,-0.01278,0.2445
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2019.5,10,0.1477,0.07544,-0.0001659,0.2956
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2005.5,12,-0.03375,0.04091,-0.1139,0.04642
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2006.5,12,-0.02216,0.03866,-0.09793,0.05362
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2007.5,12,-0.01703,0.03857,-0.09262,0.05856
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2008.5,12,-0.01895,0.03877,-0.09493,0.05703
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2009.5,12,-0.03634,0.04084,-0.1164,0.0437
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2010.5,12,-0.05099,0.04406,-0.1374,0.03538
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2011.5,12,-0.06338,0.04694,-0.1554,0.02863
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2012.5,12,-0.06585,0.04752,-0.159,0.02728
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2013.5,12,-0.05681,0.0448,-0.1446,0.03099
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2014.5,12,-0.04747,0.04242,-0.1306,0.03567
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2015.5,12,-0.02994,0.04072,-0.1097,0.04987
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2016.5,12,-0.007241,0.03969,-0.08503,0.07055
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2017.5,12,0.05267,0.04328,-0.03215,0.1375
5fe8abee954f8857d3e1fe52221aa5292d5478cb,2018.5,12,0.09388,0.05283,-0.00967,0.1974
