winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2001,November,1,1,1,1,1,1,1,1,1,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2002,December,2,2,2,2,2,2,2,2,2,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2002,NA,3,3,3,3,3,3,3,3,3,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2003,December,7,7,7,7,7,7,7,7,7,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2003,NA,2,2,2,2,2,2,2,2,2,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2004,November,8,8,8,8,8,8,8,8,8,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2004,December,38,38,38,38,38,38,38,38,38,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2005,October,2,2,2,2,2,2,2,2,2,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2005,NA,2,2,2,2,2,2,2,2,2,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2006,January,3,3,3,3,3,3,3,3,3,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2006,October,5,5,5,5,5,5,5,5,5,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2006,NA,2,2,2,2,2,2,2,2,2,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2007,January,15,15,15,15,15,15,15,15,15,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2007,October,37,37,37,37,37,37,37,37,37,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2007,December,3,3,3,3,3,3,3,3,3,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2008,October,3,3,3,3,3,3,3,3,3,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2008,November,34,34,34,34,34,34,34,34,34,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2010,October,2,2,2,2,2,2,2,2,2,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2011,October,11,11,11,11,11,11,11,11,11,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2012,November,2,2,2,2,2,2,2,2,2,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2013,January,13,13,13,13,13,13,13,13,13,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2013,October,21,21,21,21,21,21,21,21,21,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2013,November,3,3,3,3,3,3,3,3,3,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2014,October,9,9,9,9,9,9,9,9,9,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2014,November,39,39,39,39,39,39,39,39,39,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2015,January,3,3,3,3,3,3,3,3,3,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2015,March,3,3,3,3,3,3,3,3,3,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2015,October,22,22,22,22,22,22,22,22,22,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2015,November,18,18,18,18,18,18,18,18,18,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2015,December,14,14,14,14,14,14,14,14,14,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2015,NA,3,3,3,3,3,3,3,3,3,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2016,March,1,1,1,1,1,1,1,1,1,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2016,October,16,16,16,16,16,16,16,16,16,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2016,November,18,18,18,18,18,18,18,18,18,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2016,NA,8,8,8,8,8,8,8,8,8,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2017,October,30,30,30,30,30,30,30,30,30,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2017,November,15,15,15,15,15,15,15,15,15,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2017,December,2,2,2,2,2,2,2,2,2,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2018,January,14,14,14,14,14,14,14,14,14,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2018,March,16,16,16,16,16,16,16,16,16,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2018,October,38,38,38,38,38,38,38,38,38,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2018,November,28,28,28,28,28,28,28,28,28,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2018,December,17,17,17,17,17,17,17,17,17,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2019,March,7,7,7,7,7,7,7,7,7,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2019,October,25,25,25,25,25,25,25,25,25,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2019,November,8,8,8,8,8,8,8,8,8,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2019,December,10,10,10,10,10,10,10,10,10,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2019,NA,16,16,16,16,16,16,16,16,16,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2020,January,18,18,18,18,18,18,18,18,18,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
2020,October,22,22,22,22,22,22,22,22,22,a89440007e73a3e0dc4e9d8649d04df8b0d3080a
