winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1999,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2000,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2001,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2002,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2003,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2004,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2005,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2006,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2007,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2008,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2009,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2010,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2011,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2012,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2013,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2014,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2015,1,1,1,1,1,1,1,1,1,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2016,2,2,2,2,2,2,2,2,2,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2017,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2018,2,2,2,2,2,2,2,2,2,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2019,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2020,1,1,1,1,1,1,1,1,1,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2021,1,1,1,1,1,1,1,1,1,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2022,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2023,0,0,0,0,0,0,0,0,0,496fef1401e0a8639c931ed47d14e69a4ee6c01e
2024,1,1,1,1,1,1,1,1,1,496fef1401e0a8639c931ed47d14e69a4ee6c01e
