winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1993,January,0,0,0,0,0,0,0,0,0,2baeff7ab9082c227347917c1aed90bee1900114
1993,March,9,9,9,9,9,9,9,9,9,2baeff7ab9082c227347917c1aed90bee1900114
1993,October,4,4,4,4,4,4,4,4,5,2baeff7ab9082c227347917c1aed90bee1900114
1993,November,1,1,1,1,1,1,1,1,2,2baeff7ab9082c227347917c1aed90bee1900114
1993,December,2,2,2,2,2,2,2,2,3,2baeff7ab9082c227347917c1aed90bee1900114
1993,NA,0,0,0,0,0,0,0,0,0,2baeff7ab9082c227347917c1aed90bee1900114
1994,January,0,0,0,0,0,0,0,0,0,2baeff7ab9082c227347917c1aed90bee1900114
1994,March,4,4,4,4,4,4,4,4,4,2baeff7ab9082c227347917c1aed90bee1900114
1994,October,3,3,3,3,3,3,3,3.05,5,2baeff7ab9082c227347917c1aed90bee1900114
1994,November,0,0,0,0,0,0,0,0,1,2baeff7ab9082c227347917c1aed90bee1900114
1994,December,0,0,0,0,0,0,0,0,0,2baeff7ab9082c227347917c1aed90bee1900114
1994,NA,0,0,0,0,0,0,0,0,0,2baeff7ab9082c227347917c1aed90bee1900114
1995,January,2,2,2,2,2,2,2,2,2,2baeff7ab9082c227347917c1aed90bee1900114
1995,March,2,2,2,2,2,2,2,2,2,2baeff7ab9082c227347917c1aed90bee1900114
1995,October,21,21,21,21,21,21,21,21,21,2baeff7ab9082c227347917c1aed90bee1900114
1995,November,8,8,8,8,8,8,8,9,10,2baeff7ab9082c227347917c1aed90bee1900114
1995,December,5,5,5,5,5,5,5,5,5,2baeff7ab9082c227347917c1aed90bee1900114
1995,NA,2,2,2,2,2,2,2,2,2,2baeff7ab9082c227347917c1aed90bee1900114
1996,January,4,4,4,4,4,4,4,4,4,2baeff7ab9082c227347917c1aed90bee1900114
1996,March,2,2,2,2,2,2,2,2,2,2baeff7ab9082c227347917c1aed90bee1900114
1996,October,23,23,23,23,23,23,23,23,23,2baeff7ab9082c227347917c1aed90bee1900114
1996,November,6,6,6,6,6,6,6,6,6,2baeff7ab9082c227347917c1aed90bee1900114
1996,December,3,3,3,3,3,3,3,3,3,2baeff7ab9082c227347917c1aed90bee1900114
1996,NA,1,1,1,1,1,1,1,1,1,2baeff7ab9082c227347917c1aed90bee1900114
1997,January,8,8,8,8,8,8,8,8,8,2baeff7ab9082c227347917c1aed90bee1900114
1997,March,26,26,26,26,26,26,26,26,26,2baeff7ab9082c227347917c1aed90bee1900114
1997,October,19,19,19,19,19,19,19,19,19,2baeff7ab9082c227347917c1aed90bee1900114
1997,November,19,19,19,19,19,19,19,19,19,2baeff7ab9082c227347917c1aed90bee1900114
1997,December,4,4,4,4,4,4,4,4,4,2baeff7ab9082c227347917c1aed90bee1900114
1997,NA,0,0,0,0,0,0,1,4.05,12,2baeff7ab9082c227347917c1aed90bee1900114
1998,January,7,7,7,7,7,7,7,7.05,10,2baeff7ab9082c227347917c1aed90bee1900114
1998,March,29,29,29,29,29,29,32,40.05,46,2baeff7ab9082c227347917c1aed90bee1900114
1998,October,36,36,36,36,36,36,38,41,47,2baeff7ab9082c227347917c1aed90bee1900114
1998,November,29,29,29,29,29,29,30,32,35,2baeff7ab9082c227347917c1aed90bee1900114
1998,December,7,7,7,7,7,7,7,7,7,2baeff7ab9082c227347917c1aed90bee1900114
1998,NA,8,8,8,8,8,8,8,10,11,2baeff7ab9082c227347917c1aed90bee1900114
1999,January,4,4,4,4,4,4,4,4,4,2baeff7ab9082c227347917c1aed90bee1900114
1999,March,18,18,18,18,18,18,18,18,18,2baeff7ab9082c227347917c1aed90bee1900114
1999,October,37,37,37,37,37,38,39,46.05,56,2baeff7ab9082c227347917c1aed90bee1900114
1999,November,17,17,17,17,17,17,18,19.05,28,2baeff7ab9082c227347917c1aed90bee1900114
1999,December,9,9,9,9,9,9,9,9,9,2baeff7ab9082c227347917c1aed90bee1900114
1999,NA,18,18,18,18,18,18,18,18,18,2baeff7ab9082c227347917c1aed90bee1900114
2000,January,11,11,11,11,11,11,11,11,11,2baeff7ab9082c227347917c1aed90bee1900114
2000,March,95,95,95,95,95,95,95,95,95,2baeff7ab9082c227347917c1aed90bee1900114
2000,October,42,42,42,42,42,42,44,49.05,57,2baeff7ab9082c227347917c1aed90bee1900114
2000,November,18,18,18,18,18,18,18.2,20,25,2baeff7ab9082c227347917c1aed90bee1900114
2000,December,9,9,9,9,9,9,9,9,9,2baeff7ab9082c227347917c1aed90bee1900114
2000,NA,0,0,0,0,0,0,0,0,0,2baeff7ab9082c227347917c1aed90bee1900114
2001,January,9,9,9,9,9,9,9,9,9,2baeff7ab9082c227347917c1aed90bee1900114
2001,March,95,95,95,95,95,95,95,95,95,2baeff7ab9082c227347917c1aed90bee1900114
2001,October,33,33,33,33,33,33,33,33,33,2baeff7ab9082c227347917c1aed90bee1900114
2001,November,12,12,12,12,12,12,12,12,12,2baeff7ab9082c227347917c1aed90bee1900114
2001,December,14,14,14,14,14,14,14,14,14,2baeff7ab9082c227347917c1aed90bee1900114
2001,NA,10,10,10,10,10,10,10,10,10,2baeff7ab9082c227347917c1aed90bee1900114
2002,January,17,17,17,17,17,17,17,19,20,2baeff7ab9082c227347917c1aed90bee1900114
2002,March,55,54,54,54,54,56.35,59,66,71,2baeff7ab9082c227347917c1aed90bee1900114
2002,October,57,57,57,57,57,58,58,60,62,2baeff7ab9082c227347917c1aed90bee1900114
2002,November,23,23,23,23,23,23,24,25,30,2baeff7ab9082c227347917c1aed90bee1900114
2002,December,5,5,5,5,5,5,5,6.05,7,2baeff7ab9082c227347917c1aed90bee1900114
2002,NA,21,21,21,21,21,21,22,24,32,2baeff7ab9082c227347917c1aed90bee1900114
2003,January,8,8,8,8,8,8,8,9,10,2baeff7ab9082c227347917c1aed90bee1900114
2003,March,30,30,30,30,30,30,31,37.15,44,2baeff7ab9082c227347917c1aed90bee1900114
2003,October,22,22,22,22,22,22,22,22,22,2baeff7ab9082c227347917c1aed90bee1900114
2003,November,9,9,9,9,9,9,9,9,9,2baeff7ab9082c227347917c1aed90bee1900114
2003,December,7,7,7,7,7,7,7,7,7,2baeff7ab9082c227347917c1aed90bee1900114
2003,NA,14,14,14,14,14,14,14,15,18,2baeff7ab9082c227347917c1aed90bee1900114
2004,January,14,14,14,14,14,14,14,15,16,2baeff7ab9082c227347917c1aed90bee1900114
2004,March,30,30,30,30,30,30,30,30,30,2baeff7ab9082c227347917c1aed90bee1900114
2004,October,16,16,16,16,16,16,16,16,16,2baeff7ab9082c227347917c1aed90bee1900114
2004,November,16,16,16,16,16,16,17,18,21,2baeff7ab9082c227347917c1aed90bee1900114
2004,December,9,9,9,9,9,9,9,10,12,2baeff7ab9082c227347917c1aed90bee1900114
2004,NA,16,16,16,16,16,16.35,17,19.05,21,2baeff7ab9082c227347917c1aed90bee1900114
2005,January,23,23,23,23,23,23,23,25.05,30,2baeff7ab9082c227347917c1aed90bee1900114
2005,March,20,20,20,20,20,20,20,20,20,2baeff7ab9082c227347917c1aed90bee1900114
2005,October,23,22,22,22,22,23,25.2,29,42,2baeff7ab9082c227347917c1aed90bee1900114
2005,November,15,15,15,15,15,16,16,18.05,22,2baeff7ab9082c227347917c1aed90bee1900114
2005,December,8,8,8,8,8,8,8,9,13,2baeff7ab9082c227347917c1aed90bee1900114
2005,NA,21,21,21,21,21,21,22,23,26,2baeff7ab9082c227347917c1aed90bee1900114
2006,January,9,9,9,9,9,9,9,10,13,2baeff7ab9082c227347917c1aed90bee1900114
2006,March,69,69,69,69,69,69,69,69,69,2baeff7ab9082c227347917c1aed90bee1900114
2006,October,27,27,27,27,27,27,27,27,27,2baeff7ab9082c227347917c1aed90bee1900114
2006,November,20,20,20,20,20,20,20,20,20,2baeff7ab9082c227347917c1aed90bee1900114
2006,December,13,13,13,13,13,13,13,13,13,2baeff7ab9082c227347917c1aed90bee1900114
2006,NA,14,14,14,14,14,14,15,17,19,2baeff7ab9082c227347917c1aed90bee1900114
2007,January,12,12,12,12,12,12,12,13.05,21,2baeff7ab9082c227347917c1aed90bee1900114
2007,March,123,123,123,123,123,123,123,123,123,2baeff7ab9082c227347917c1aed90bee1900114
2007,October,22,22,22,22,22,22,22,22,22,2baeff7ab9082c227347917c1aed90bee1900114
2007,November,15,15,15,15,15,15,15,15,15,2baeff7ab9082c227347917c1aed90bee1900114
2007,December,13,13,13,13,13,13,13,13,13,2baeff7ab9082c227347917c1aed90bee1900114
2007,NA,10,10,10,10,10,10,10,12.05,23,2baeff7ab9082c227347917c1aed90bee1900114
2008,January,9,9,9,9,9,9,9,11,15,2baeff7ab9082c227347917c1aed90bee1900114
2008,March,108,108,108,108,108,110,114,122,128,2baeff7ab9082c227347917c1aed90bee1900114
2008,October,15,15,15,15,15,15,17,21,29,2baeff7ab9082c227347917c1aed90bee1900114
2008,November,13,13,13,13,13,13,13,13,13,2baeff7ab9082c227347917c1aed90bee1900114
2008,December,17,17,17,17,17,17,17,17,20,2baeff7ab9082c227347917c1aed90bee1900114
2008,NA,8,8,8,8,8,8,8,8,8,2baeff7ab9082c227347917c1aed90bee1900114
2009,January,7,7,7,7,7,7,7,8,10,2baeff7ab9082c227347917c1aed90bee1900114
2009,March,89,89,89,89,89,89,90,92,96,2baeff7ab9082c227347917c1aed90bee1900114
2009,October,14,14,14,14,14,14,14,14,14,2baeff7ab9082c227347917c1aed90bee1900114
2009,November,12,12,12,12,12,12,12,12,12,2baeff7ab9082c227347917c1aed90bee1900114
2009,December,11,11,11,11,11,11,11,11,11,2baeff7ab9082c227347917c1aed90bee1900114
2009,NA,5,5,5,5,5,5,5,7,9,2baeff7ab9082c227347917c1aed90bee1900114
2010,January,5,5,5,5,5,5,5,5,5,2baeff7ab9082c227347917c1aed90bee1900114
2010,March,53,50,50,50,51,56,64,76.15,96,2baeff7ab9082c227347917c1aed90bee1900114
2010,October,8,6,6,6,7,10,12.2,18,34,2baeff7ab9082c227347917c1aed90bee1900114
2010,November,12,12,12,12,12,12,13,14,19,2baeff7ab9082c227347917c1aed90bee1900114
2010,December,3,3,3,3,3,3,3,4,6,2baeff7ab9082c227347917c1aed90bee1900114
2010,NA,15,15,15,15,15,15,15,15,15,2baeff7ab9082c227347917c1aed90bee1900114
2011,January,6,6,6,6,6,6,6,7,12,2baeff7ab9082c227347917c1aed90bee1900114
2011,March,66,60,60,61,63,70,73,89.15,97,2baeff7ab9082c227347917c1aed90bee1900114
2011,October,23,22,22,22,22,24,25,29.05,44,2baeff7ab9082c227347917c1aed90bee1900114
2011,November,10,10,10,10,10,10,10,12,13,2baeff7ab9082c227347917c1aed90bee1900114
2011,December,6,6,6,6,6,6,7,8,13,2baeff7ab9082c227347917c1aed90bee1900114
2011,NA,9,9,9,9,9,9,9,11.05,22,2baeff7ab9082c227347917c1aed90bee1900114
2012,January,10,7,7,7,8,12.35,20,29.05,55,2baeff7ab9082c227347917c1aed90bee1900114
2012,March,221,219,219,219,219,223,227,234.1,261,2baeff7ab9082c227347917c1aed90bee1900114
2012,October,40,40,40,40,40,40,41,43,45,2baeff7ab9082c227347917c1aed90bee1900114
2012,November,10,9,9,9,9,10,11,14,22,2baeff7ab9082c227347917c1aed90bee1900114
2012,December,7,4,4,5,5,8,11,18.15,32,2baeff7ab9082c227347917c1aed90bee1900114
2012,NA,0,0,0,0,0,0,0,1,3,2baeff7ab9082c227347917c1aed90bee1900114
2013,January,4,4,4,4,4,4,4,4,4,2baeff7ab9082c227347917c1aed90bee1900114
2013,March,40,40,40,40,40,40,40,40,40,2baeff7ab9082c227347917c1aed90bee1900114
2013,October,58,58,58,58,58,58,58,58,58,2baeff7ab9082c227347917c1aed90bee1900114
2013,November,12.5,8,8,9,10,15,21,34.05,61,2baeff7ab9082c227347917c1aed90bee1900114
2013,December,5,5,5,5,5,5,5,5,5,2baeff7ab9082c227347917c1aed90bee1900114
2013,NA,10.5,6,6,6,7,14,21,41.25,134,2baeff7ab9082c227347917c1aed90bee1900114
2014,January,9,5,5,6,7,11.35,18.2,35.05,62,2baeff7ab9082c227347917c1aed90bee1900114
2014,March,144,144,144,144,144,144,146,150.2,163,2baeff7ab9082c227347917c1aed90bee1900114
2014,October,69,68,68,68,68,70,71,77,88,2baeff7ab9082c227347917c1aed90bee1900114
2014,November,19,14,14,15,16,23.35,29,47.3,73,2baeff7ab9082c227347917c1aed90bee1900114
2014,December,8,3,3,4,5,12,16.2,26.35,41,2baeff7ab9082c227347917c1aed90bee1900114
2014,NA,6,6,6,6,6,6,7,8.05,16,2baeff7ab9082c227347917c1aed90bee1900114
2015,January,8,8,8,8,8,9,11,15,21,2baeff7ab9082c227347917c1aed90bee1900114
2015,March,116,116,116,116,116,116,118,122.2,146,2baeff7ab9082c227347917c1aed90bee1900114
2015,October,84,84,84,84,84,84,85.2,88.05,99,2baeff7ab9082c227347917c1aed90bee1900114
2015,November,13,13,13,13,13,13,13,13,13,2baeff7ab9082c227347917c1aed90bee1900114
2015,December,11,11,11,11,11,12,13,15.05,20,2baeff7ab9082c227347917c1aed90bee1900114
2015,NA,11,11,11,11,11,11,12,16,24,2baeff7ab9082c227347917c1aed90bee1900114
2016,January,16,13,13,13,14,18.35,26.4,44.15,70,2baeff7ab9082c227347917c1aed90bee1900114
2016,March,87,87,87,87,87,88,89,93.05,109,2baeff7ab9082c227347917c1aed90bee1900114
2016,October,51,50,50,50,50,53,56,66.05,75,2baeff7ab9082c227347917c1aed90bee1900114
2016,November,31,27,27,27,29,36,41,70.05,124,2baeff7ab9082c227347917c1aed90bee1900114
2016,December,9,6,6,6,7,12,16,26.2,53,2baeff7ab9082c227347917c1aed90bee1900114
2016,NA,9,6,6,6,7,14,21,51.05,77,2baeff7ab9082c227347917c1aed90bee1900114
2017,January,3,3,3,3,3,3,3,5,9,2baeff7ab9082c227347917c1aed90bee1900114
2017,March,277,276,276,276,276,278,281,289.2,302,2baeff7ab9082c227347917c1aed90bee1900114
2017,October,105,105,105,105,105,106,108.2,112,138,2baeff7ab9082c227347917c1aed90bee1900114
2017,November,25,25,25,25,25,25,26,27,31,2baeff7ab9082c227347917c1aed90bee1900114
2017,December,7,7,7,7,7,7,7,8,9,2baeff7ab9082c227347917c1aed90bee1900114
2017,NA,16,16,16,16,16,17,19,23,26,2baeff7ab9082c227347917c1aed90bee1900114
2018,January,13,13,13,13,13,13,13,13,13,2baeff7ab9082c227347917c1aed90bee1900114
2018,March,130,130,130,130,130,130,130,130,130,2baeff7ab9082c227347917c1aed90bee1900114
2018,October,41,41,41,41,41,41,41,41,41,2baeff7ab9082c227347917c1aed90bee1900114
2018,November,20,20,20,20,20,20,20,20,20,2baeff7ab9082c227347917c1aed90bee1900114
2018,December,9,9,9,9,9,9,9,9,9,2baeff7ab9082c227347917c1aed90bee1900114
2018,NA,12,12,12,12,12,12,12,12,12,2baeff7ab9082c227347917c1aed90bee1900114
2019,January,10,10,10,10,10,10,10,10,10,2baeff7ab9082c227347917c1aed90bee1900114
2019,March,135,135,135,135,135,135,135,135,135,2baeff7ab9082c227347917c1aed90bee1900114
2019,October,111,111,111,111,111,111,111,111,111,2baeff7ab9082c227347917c1aed90bee1900114
2019,November,19,19,19,19,19,19,19,19,19,2baeff7ab9082c227347917c1aed90bee1900114
2019,December,7,7,7,7,7,7,8,9,17,2baeff7ab9082c227347917c1aed90bee1900114
2019,NA,49,49,49,49,49,49,49,49,49,2baeff7ab9082c227347917c1aed90bee1900114
2020,January,8,8,8,8,8,8,8,8,8,2baeff7ab9082c227347917c1aed90bee1900114
2020,March,185,185,185,185,185,185,185,185,185,2baeff7ab9082c227347917c1aed90bee1900114
2020,October,79,79,79,79,79,79,79,79,79,2baeff7ab9082c227347917c1aed90bee1900114
2020,November,16,16,16,16,16,16,16,16,16,2baeff7ab9082c227347917c1aed90bee1900114
2020,December,7,7,7,7,7,7,7,7,7,2baeff7ab9082c227347917c1aed90bee1900114
2020,NA,10,10,10,10,10,10,10,10,10,2baeff7ab9082c227347917c1aed90bee1900114
2021,January,2,2,2,2,2,2,3,5,7,2baeff7ab9082c227347917c1aed90bee1900114
2021,March,82,82,82,82,82,82,82,82,82,2baeff7ab9082c227347917c1aed90bee1900114
2021,October,31,31,31,31,31,33,35,44.05,55,2baeff7ab9082c227347917c1aed90bee1900114
2021,November,13,13,13,13,13,14,16,20.05,24,2baeff7ab9082c227347917c1aed90bee1900114
2021,December,4,4,4,4,4,4,4.2,7,13,2baeff7ab9082c227347917c1aed90bee1900114
2021,NA,3,3,3,3,3,3,4,10,14,2baeff7ab9082c227347917c1aed90bee1900114
2022,January,19,19,19,19,19,19,19,19,19,2baeff7ab9082c227347917c1aed90bee1900114
2022,March,147,147,147,147,147,147,147,147,147,2baeff7ab9082c227347917c1aed90bee1900114
2022,October,52,51,51,51,51,53,57.2,66.05,86,2baeff7ab9082c227347917c1aed90bee1900114
2022,November,26,26,26,26,26,26,26,26,26,2baeff7ab9082c227347917c1aed90bee1900114
2022,December,11,11,11,11,11,11,11.2,14.05,22,2baeff7ab9082c227347917c1aed90bee1900114
2022,NA,24,24,24,24,24,24,25,30.1,38,2baeff7ab9082c227347917c1aed90bee1900114
2023,January,4,4,4,4,4,4,4,4,4,2baeff7ab9082c227347917c1aed90bee1900114
2023,March,151,149,149,149,149,154.4,163,197.4,282,2baeff7ab9082c227347917c1aed90bee1900114
2023,October,62,62,62,62,62,62,62,62,62,2baeff7ab9082c227347917c1aed90bee1900114
