analysis,winter,estimate,se,lcl,ucl
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,1992,8.285,0.2469,7.801,8.769
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,1993,8.302,0.2145,7.882,8.723
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,1994,8.363,0.199,7.973,8.753
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,1995,8.44,0.1931,8.061,8.818
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,1996,8.589,0.1783,8.24,8.938
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,1997,8.596,0.1902,8.223,8.969
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,1998,8.666,0.1952,8.283,9.049
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,1999,8.841,0.1837,8.481,9.201
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,2000,9.013,0.1782,8.664,9.362
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,2001,9.114,0.1812,8.759,9.469
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,2002,9.226,0.1803,8.873,9.58
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,2003,9.315,0.1795,8.963,9.667
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,2004,9.383,0.1814,9.027,9.738
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,2005,9.488,0.1778,9.14,9.837
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,2006,9.556,0.1768,9.209,9.902
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,2007,9.542,0.1867,9.176,9.908
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,2008,9.615,0.1849,9.253,9.978
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,2009,9.697,0.1886,9.327,10.07
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,2010,9.888,0.1767,9.542,10.23
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,2011,9.986,0.1788,9.635,10.34
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,2012,10.07,0.181,9.714,10.42
43f60f73a50f59a38823e46c9bdc0e49fa69dc5a,2013,10.14,0.1842,9.779,10.5
