winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,474,203,233.7,327.2,389.9,568.1,670.8,1291,1927,9f23946be6ca3e2541af4d95fb2cdd78f4443614
1993,265,155,155,179.6,227,331.5,426.6,750.7,1202,9f23946be6ca3e2541af4d95fb2cdd78f4443614
1994,1786,1747,1747,1754,1768,1815,1847,2056,2233,9f23946be6ca3e2541af4d95fb2cdd78f4443614
1995,686.5,546,578.6,622,653.3,715.7,760.8,841.6,1039,9f23946be6ca3e2541af4d95fb2cdd78f4443614
1996,1200,986,1036,1088,1135,1290,1363,1534,1907,9f23946be6ca3e2541af4d95fb2cdd78f4443614
1997,2026,1839,1881,1951,1993,2094,2170,2364,2562,9f23946be6ca3e2541af4d95fb2cdd78f4443614
1998,2675,2358,2448,2538,2613,2788,2886,3091,3839,9f23946be6ca3e2541af4d95fb2cdd78f4443614
1999,2316,1917,2048,2124,2226,2407,2580,2834,3657,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2000,3988,3529,3643,3799,3878,4090,4250,4595,5157,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2001,5922,5153,5362,5553,5720,6128,6282,6763,7669,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2002,6930,5982,6236,6513,6700,7107,7383,8035,8736,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2003,9044,8027,8240,8613,8766,9218,9499,10400,11260,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2004,8428,7486,7731,8012,8248,8662,8850,9532,10370,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2005,9686,8519,8788,9164,9393,9994,10380,11350,11960,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2006,10390,8866,9440,9787,10030,10560,10920,11730,12700,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2007,11360,10070,10380,10900,11150,11650,12030,12800,13760,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2008,10510,9697,9924,10140,10330,10710,11020,11460,13190,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2009,11370,10280,10640,11020,11170,11600,11700,12490,13670,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2010,13620,12300,12500,12940,13370,13920,14230,14790,14990,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2011,13220,11940,12230,12650,12960,13460,13780,14400,15580,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2012,12370,11470,11820,12090,12200,12520,12720,13360,13610,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2013,14990,12980,13410,14060,14500,15480,15790,16530,17880,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2014,15130,13760,14300,14720,14890,15290,15640,16300,17010,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2015,12360,11070,11460,11910,12170,12640,12910,13990,15860,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2016,11380,10100,10580,10930,11200,11620,11920,12740,14480,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2017,12600,11180,11610,12030,12340,13000,13330,14310,17310,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2018,11890,11030,11220,11430,11690,12080,12480,12970,13870,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2019,13260,11710,12190,12530,12890,13470,13980,15160,15670,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2020,13320,12040,12380,12760,13110,13610,14030,14960,16110,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2021,13200,12000,12220,12560,12890,13450,13820,14760,15330,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2022,12040,11300,11580,11760,11930,12150,12570,12810,13180,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2023,10600,9708,9883,10190,10420,10790,11060,11640,12380,9f23946be6ca3e2541af4d95fb2cdd78f4443614
2024,11340,10740,10860,11040,11140,11480,11720,12220,13500,9f23946be6ca3e2541af4d95fb2cdd78f4443614
