analysis,centre_winter,duration,estimate,se,lcl,ucl
3b77e109d7f8bd24de452294e17826313f082660,1994,5,9.667,0.03368,9.601,9.733
3b77e109d7f8bd24de452294e17826313f082660,1995,5,9.714,0.03215,9.651,9.777
3b77e109d7f8bd24de452294e17826313f082660,1996,5,9.731,0.03217,9.668,9.794
3b77e109d7f8bd24de452294e17826313f082660,1997,5,9.811,0.03167,9.749,9.873
3b77e109d7f8bd24de452294e17826313f082660,1998,5,9.855,0.03184,9.792,9.917
3b77e109d7f8bd24de452294e17826313f082660,1999,5,9.94,0.03195,9.877,10
3b77e109d7f8bd24de452294e17826313f082660,2000,5,10.1,0.03167,10.04,10.16
3b77e109d7f8bd24de452294e17826313f082660,2001,5,10.23,0.03198,10.17,10.29
3b77e109d7f8bd24de452294e17826313f082660,2002,5,10.22,0.03172,10.15,10.28
3b77e109d7f8bd24de452294e17826313f082660,2003,5,10.21,0.03162,10.15,10.27
3b77e109d7f8bd24de452294e17826313f082660,2004,5,10.18,0.0316,10.12,10.24
3b77e109d7f8bd24de452294e17826313f082660,2005,5,10.07,0.03144,10.01,10.13
3b77e109d7f8bd24de452294e17826313f082660,2006,5,9.934,0.03151,9.872,9.996
3b77e109d7f8bd24de452294e17826313f082660,2007,5,9.825,0.03152,9.763,9.886
3b77e109d7f8bd24de452294e17826313f082660,2008,5,9.698,0.03184,9.636,9.761
3b77e109d7f8bd24de452294e17826313f082660,2009,5,9.538,0.03195,9.476,9.601
3b77e109d7f8bd24de452294e17826313f082660,2010,5,9.412,0.0322,9.349,9.475
3b77e109d7f8bd24de452294e17826313f082660,2011,5,9.366,0.03191,9.304,9.429
3b77e109d7f8bd24de452294e17826313f082660,2012,5,9.337,0.032,9.274,9.399
3b77e109d7f8bd24de452294e17826313f082660,2013,5,9.351,0.03175,9.288,9.413
3b77e109d7f8bd24de452294e17826313f082660,2014,5,9.379,0.03164,9.317,9.441
3b77e109d7f8bd24de452294e17826313f082660,2015,5,9.409,0.03158,9.348,9.471
3b77e109d7f8bd24de452294e17826313f082660,2016,5,9.408,0.03161,9.346,9.47
3b77e109d7f8bd24de452294e17826313f082660,2017,5,9.366,0.03166,9.304,9.428
3b77e109d7f8bd24de452294e17826313f082660,2018,5,9.299,0.03182,9.236,9.361
3b77e109d7f8bd24de452294e17826313f082660,2019,5,9.271,0.03185,9.209,9.333
3b77e109d7f8bd24de452294e17826313f082660,2020,5,9.277,0.03181,9.214,9.339
3b77e109d7f8bd24de452294e17826313f082660,2021,5,9.276,0.03216,9.212,9.339
3b77e109d7f8bd24de452294e17826313f082660,2022,5,9.36,0.03217,9.297,9.423
3b77e109d7f8bd24de452294e17826313f082660,1996.5,10,9.803,0.02342,9.758,9.849
3b77e109d7f8bd24de452294e17826313f082660,1997.5,10,9.908,0.02281,9.863,9.953
3b77e109d7f8bd24de452294e17826313f082660,1998.5,10,9.981,0.02279,9.936,10.03
3b77e109d7f8bd24de452294e17826313f082660,1999.5,10,10.01,0.02269,9.97,10.06
3b77e109d7f8bd24de452294e17826313f082660,2000.5,10,10.03,0.02274,9.987,10.08
3b77e109d7f8bd24de452294e17826313f082660,2001.5,10,10.06,0.02269,10.02,10.1
3b77e109d7f8bd24de452294e17826313f082660,2002.5,10,10.09,0.02266,10.04,10.13
3b77e109d7f8bd24de452294e17826313f082660,2003.5,10,10.08,0.02275,10.04,10.13
3b77e109d7f8bd24de452294e17826313f082660,2004.5,10,10.02,0.02267,9.976,10.07
3b77e109d7f8bd24de452294e17826313f082660,2005.5,10,9.953,0.02278,9.909,9.998
3b77e109d7f8bd24de452294e17826313f082660,2006.5,10,9.859,0.02276,9.815,9.904
3b77e109d7f8bd24de452294e17826313f082660,2007.5,10,9.741,0.0228,9.696,9.786
3b77e109d7f8bd24de452294e17826313f082660,2008.5,10,9.65,0.02277,9.605,9.695
3b77e109d7f8bd24de452294e17826313f082660,2009.5,10,9.581,0.02276,9.536,9.625
3b77e109d7f8bd24de452294e17826313f082660,2010.5,10,9.524,0.02274,9.48,9.569
3b77e109d7f8bd24de452294e17826313f082660,2011.5,10,9.459,0.02281,9.414,9.503
3b77e109d7f8bd24de452294e17826313f082660,2012.5,10,9.411,0.02281,9.366,9.455
3b77e109d7f8bd24de452294e17826313f082660,2013.5,10,9.387,0.02276,9.343,9.432
3b77e109d7f8bd24de452294e17826313f082660,2014.5,10,9.351,0.02284,9.307,9.396
3b77e109d7f8bd24de452294e17826313f082660,2015.5,10,9.325,0.02284,9.28,9.369
3b77e109d7f8bd24de452294e17826313f082660,2016.5,10,9.325,0.0228,9.28,9.37
3b77e109d7f8bd24de452294e17826313f082660,2017.5,10,9.343,0.02276,9.298,9.388
