analysis,centre_winter,duration,estimate,se,lcl,ucl
930ea460faba9e618a5e4b7d58464e50b4c27925,1996.5,10,-0.05018,0.02346,-0.09616,-0.004201
930ea460faba9e618a5e4b7d58464e50b4c27925,1997.5,10,-0.04884,0.02176,-0.09149,-0.006196
930ea460faba9e618a5e4b7d58464e50b4c27925,1998.5,10,-0.04623,0.02141,-0.08819,-0.004279
930ea460faba9e618a5e4b7d58464e50b4c27925,1999.5,10,-0.04652,0.02185,-0.08935,-0.003689
930ea460faba9e618a5e4b7d58464e50b4c27925,2000.5,10,-0.03863,0.02169,-0.08114,0.003872
930ea460faba9e618a5e4b7d58464e50b4c27925,2001.5,10,-0.0258,0.02283,-0.07055,0.01895
930ea460faba9e618a5e4b7d58464e50b4c27925,2002.5,10,-0.01033,0.02531,-0.05994,0.03928
930ea460faba9e618a5e4b7d58464e50b4c27925,2003.5,10,0.007991,0.02765,-0.0462,0.06218
930ea460faba9e618a5e4b7d58464e50b4c27925,2004.5,10,0.02458,0.0296,-0.03342,0.08259
930ea460faba9e618a5e4b7d58464e50b4c27925,2005.5,10,0.01459,0.02612,-0.03661,0.0658
930ea460faba9e618a5e4b7d58464e50b4c27925,2006.5,10,-0.01324,0.0236,-0.0595,0.03302
930ea460faba9e618a5e4b7d58464e50b4c27925,2007.5,10,-0.03824,0.02371,-0.08471,0.008243
930ea460faba9e618a5e4b7d58464e50b4c27925,2008.5,10,-0.05853,0.02419,-0.106,-0.01111
930ea460faba9e618a5e4b7d58464e50b4c27925,2009.5,10,-0.08312,0.02727,-0.1366,-0.02967
930ea460faba9e618a5e4b7d58464e50b4c27925,2010.5,10,-0.09964,0.03019,-0.1588,-0.04047
930ea460faba9e618a5e4b7d58464e50b4c27925,2011.5,10,-0.1089,0.03189,-0.1714,-0.04636
930ea460faba9e618a5e4b7d58464e50b4c27925,2012.5,10,-0.1055,0.03064,-0.1656,-0.04545
930ea460faba9e618a5e4b7d58464e50b4c27925,2013.5,10,-0.08755,0.02729,-0.141,-0.03407
930ea460faba9e618a5e4b7d58464e50b4c27925,2014.5,10,-0.0611,0.0262,-0.1125,-0.009736
930ea460faba9e618a5e4b7d58464e50b4c27925,2015.5,10,-0.04024,0.02516,-0.08956,0.009077
930ea460faba9e618a5e4b7d58464e50b4c27925,2016.5,10,-0.02352,0.02204,-0.06671,0.01968
930ea460faba9e618a5e4b7d58464e50b4c27925,2017.5,10,-0.007917,0.02257,-0.05215,0.03632
930ea460faba9e618a5e4b7d58464e50b4c27925,2018.5,10,0.006733,0.02505,-0.04236,0.05582
930ea460faba9e618a5e4b7d58464e50b4c27925,2019.5,10,0.01547,0.02719,-0.03782,0.06876
930ea460faba9e618a5e4b7d58464e50b4c27925,1997.5,12,-0.04803,0.01865,-0.08459,-0.01147
930ea460faba9e618a5e4b7d58464e50b4c27925,1998.5,12,-0.04191,0.01709,-0.07541,-0.008402
930ea460faba9e618a5e4b7d58464e50b4c27925,1999.5,12,-0.03615,0.01692,-0.06931,-0.00298
930ea460faba9e618a5e4b7d58464e50b4c27925,2000.5,12,-0.03232,0.01828,-0.06814,0.003499
930ea460faba9e618a5e4b7d58464e50b4c27925,2001.5,12,-0.02273,0.01992,-0.06176,0.01631
930ea460faba9e618a5e4b7d58464e50b4c27925,2002.5,12,-0.009313,0.02089,-0.05025,0.03163
930ea460faba9e618a5e4b7d58464e50b4c27925,2003.5,12,0.004153,0.02149,-0.03796,0.04627
930ea460faba9e618a5e4b7d58464e50b4c27925,2004.5,12,0.002579,0.02019,-0.037,0.04215
930ea460faba9e618a5e4b7d58464e50b4c27925,2005.5,12,-0.007784,0.01959,-0.04619,0.03062
930ea460faba9e618a5e4b7d58464e50b4c27925,2006.5,12,-0.02073,0.01884,-0.05765,0.0162
930ea460faba9e618a5e4b7d58464e50b4c27925,2007.5,12,-0.03682,0.01773,-0.07157,-0.002079
930ea460faba9e618a5e4b7d58464e50b4c27925,2008.5,12,-0.05696,0.0184,-0.09303,-0.0209
930ea460faba9e618a5e4b7d58464e50b4c27925,2009.5,12,-0.07244,0.02026,-0.1121,-0.03272
930ea460faba9e618a5e4b7d58464e50b4c27925,2010.5,12,-0.08508,0.02371,-0.1315,-0.03862
930ea460faba9e618a5e4b7d58464e50b4c27925,2011.5,12,-0.09158,0.02565,-0.1419,-0.04131
930ea460faba9e618a5e4b7d58464e50b4c27925,2012.5,12,-0.09135,0.02419,-0.1388,-0.04393
930ea460faba9e618a5e4b7d58464e50b4c27925,2013.5,12,-0.08658,0.02316,-0.132,-0.04119
930ea460faba9e618a5e4b7d58464e50b4c27925,2014.5,12,-0.06835,0.02042,-0.1084,-0.02832
930ea460faba9e618a5e4b7d58464e50b4c27925,2015.5,12,-0.03963,0.01989,-0.07861,-0.0006503
930ea460faba9e618a5e4b7d58464e50b4c27925,2016.5,12,-0.02205,0.01992,-0.06109,0.01699
930ea460faba9e618a5e4b7d58464e50b4c27925,2017.5,12,-0.01265,0.01819,-0.0483,0.023
930ea460faba9e618a5e4b7d58464e50b4c27925,2018.5,12,0.000108,0.01964,-0.03839,0.03861
930ea460faba9e618a5e4b7d58464e50b4c27925,2008,33,-0.03781,0.004983,-0.04757,-0.02804
f86b526d5b02d94749f92b9588df690edef8d7bd,1996.5,10,-0.03446,0.01974,-0.07316,0.004238
f86b526d5b02d94749f92b9588df690edef8d7bd,1997.5,10,-0.03438,0.0179,-0.06947,0.0007013
f86b526d5b02d94749f92b9588df690edef8d7bd,1998.5,10,-0.03134,0.01767,-0.06596,0.003288
f86b526d5b02d94749f92b9588df690edef8d7bd,1999.5,10,-0.02867,0.01794,-0.06384,0.006488
f86b526d5b02d94749f92b9588df690edef8d7bd,2000.5,10,-0.02721,0.018,-0.06248,0.008067
f86b526d5b02d94749f92b9588df690edef8d7bd,2001.5,10,-0.03041,0.01957,-0.06876,0.007947
f86b526d5b02d94749f92b9588df690edef8d7bd,2002.5,10,-0.03137,0.02124,-0.07299,0.01025
f86b526d5b02d94749f92b9588df690edef8d7bd,2003.5,10,-0.02918,0.0216,-0.07151,0.01315
f86b526d5b02d94749f92b9588df690edef8d7bd,2004.5,10,-0.02417,0.02024,-0.06384,0.0155
f86b526d5b02d94749f92b9588df690edef8d7bd,2005.5,10,-0.03355,0.01858,-0.06997,0.00287
f86b526d5b02d94749f92b9588df690edef8d7bd,2006.5,10,-0.05849,0.01898,-0.09569,-0.02128
f86b526d5b02d94749f92b9588df690edef8d7bd,2007.5,10,-0.07747,0.01982,-0.1163,-0.03862
f86b526d5b02d94749f92b9588df690edef8d7bd,2008.5,10,-0.09004,0.02024,-0.1297,-0.05037
f86b526d5b02d94749f92b9588df690edef8d7bd,2009.5,10,-0.09593,0.02101,-0.1371,-0.05476
f86b526d5b02d94749f92b9588df690edef8d7bd,2010.5,10,-0.09365,0.02152,-0.1358,-0.05147
f86b526d5b02d94749f92b9588df690edef8d7bd,2011.5,10,-0.0947,0.02166,-0.1372,-0.05224
f86b526d5b02d94749f92b9588df690edef8d7bd,2012.5,10,-0.08924,0.02085,-0.1301,-0.04839
f86b526d5b02d94749f92b9588df690edef8d7bd,2013.5,10,-0.06802,0.01925,-0.1057,-0.0303
f86b526d5b02d94749f92b9588df690edef8d7bd,2014.5,10,-0.04184,0.01965,-0.08036,-0.003328
f86b526d5b02d94749f92b9588df690edef8d7bd,2015.5,10,-0.01748,0.01974,-0.05618,0.02122
f86b526d5b02d94749f92b9588df690edef8d7bd,2016.5,10,0.002241,0.0178,-0.03265,0.03713
f86b526d5b02d94749f92b9588df690edef8d7bd,2017.5,10,0.01795,0.01759,-0.01652,0.05242
f86b526d5b02d94749f92b9588df690edef8d7bd,2018.5,10,0.02821,0.01809,-0.007241,0.06366
f86b526d5b02d94749f92b9588df690edef8d7bd,2019.5,10,0.03679,0.01935,-0.00114,0.07472
f86b526d5b02d94749f92b9588df690edef8d7bd,1997.5,12,-0.03405,0.01534,-0.06411,-0.003986
f86b526d5b02d94749f92b9588df690edef8d7bd,1998.5,12,-0.03067,0.01391,-0.05794,-0.003411
f86b526d5b02d94749f92b9588df690edef8d7bd,1999.5,12,-0.02767,0.0139,-0.05491,-0.0004393
f86b526d5b02d94749f92b9588df690edef8d7bd,2000.5,12,-0.0294,0.01496,-0.05871,-8.427e-05
f86b526d5b02d94749f92b9588df690edef8d7bd,2001.5,12,-0.03075,0.01632,-0.06273,0.001226
f86b526d5b02d94749f92b9588df690edef8d7bd,2002.5,12,-0.02934,0.01728,-0.06321,0.004541
f86b526d5b02d94749f92b9588df690edef8d7bd,2003.5,12,-0.02684,0.0166,-0.05937,0.005688
f86b526d5b02d94749f92b9588df690edef8d7bd,2004.5,12,-0.03467,0.01526,-0.06458,-0.004759
f86b526d5b02d94749f92b9588df690edef8d7bd,2005.5,12,-0.04951,0.01515,-0.07921,-0.0198
f86b526d5b02d94749f92b9588df690edef8d7bd,2006.5,12,-0.06075,0.01501,-0.09016,-0.03134
f86b526d5b02d94749f92b9588df690edef8d7bd,2007.5,12,-0.07268,0.0148,-0.1017,-0.04368
f86b526d5b02d94749f92b9588df690edef8d7bd,2008.5,12,-0.08235,0.01501,-0.1118,-0.05294
f86b526d5b02d94749f92b9588df690edef8d7bd,2009.5,12,-0.08547,0.01531,-0.1155,-0.05546
f86b526d5b02d94749f92b9588df690edef8d7bd,2010.5,12,-0.08674,0.01662,-0.1193,-0.05417
f86b526d5b02d94749f92b9588df690edef8d7bd,2011.5,12,-0.08429,0.01769,-0.119,-0.04961
f86b526d5b02d94749f92b9588df690edef8d7bd,2012.5,12,-0.07766,0.01693,-0.1109,-0.04447
f86b526d5b02d94749f92b9588df690edef8d7bd,2013.5,12,-0.06897,0.01599,-0.1003,-0.03763
f86b526d5b02d94749f92b9588df690edef8d7bd,2014.5,12,-0.04842,0.01481,-0.07745,-0.0194
f86b526d5b02d94749f92b9588df690edef8d7bd,2015.5,12,-0.01676,0.01554,-0.04722,0.0137
f86b526d5b02d94749f92b9588df690edef8d7bd,2016.5,12,0.004123,0.01607,-0.02737,0.03562
f86b526d5b02d94749f92b9588df690edef8d7bd,2017.5,12,0.01297,0.01433,-0.0151,0.04105
f86b526d5b02d94749f92b9588df690edef8d7bd,2018.5,12,0.02295,0.01474,-0.005932,0.05184
f86b526d5b02d94749f92b9588df690edef8d7bd,2008,33,-0.04044,0.003818,-0.04793,-0.03296
