analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2000,1,0.1675,0.2673,-0.3564,0.6915
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2001,1,0.4129,0.3581,-0.289,1.115
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2002,1,0.8104,0.4785,-0.1275,1.748
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2003,1,1.003,0.5427,-0.06076,2.067
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2004,1,0.638,0.4261,-0.1972,1.473
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2005,1,0.4625,0.3999,-0.3213,1.246
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2006,1,0.4132,0.3973,-0.3656,1.192
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2007,1,0.492,0.403,-0.2979,1.282
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2008,1,0.7046,0.4379,-0.1536,1.563
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2009,1,0.7559,0.4311,-0.08902,1.601
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2010,1,0.9514,0.4706,0.02894,1.874
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2011,1,1.107,0.5135,0.1009,2.114
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2012,1,0.9451,0.4617,0.04011,1.85
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2013,1,0.8729,0.453,-0.01489,1.761
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2014,1,0.7385,0.4276,-0.09953,1.577
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2015,1,0.7557,0.4418,-0.1103,1.622
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2016,1,0.7337,0.4464,-0.1413,1.609
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2017,1,0.701,0.4497,-0.1805,1.582
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2018,1,0.6198,0.438,-0.2387,1.478
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2019,1,0.5009,0.4217,-0.3255,1.327
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2020,1,0.3196,0.3944,-0.4533,1.093
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2021,1,0.3629,0.4008,-0.4227,1.149
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2022,1,0.4952,0.4209,-0.3296,1.32
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2023,1,0.6139,0.4399,-0.2484,1.476
37f2a922e8e1a6e554545c5502739741d8703c4e,1999,2024,1,0.8311,0.5056,-0.1598,1.822
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2001,1,0.2454,0.2602,-0.2646,0.7553
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2002,1,0.643,0.3937,-0.1287,1.415
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2003,1,0.8354,0.4623,-0.07073,1.742
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2004,1,0.4706,0.3588,-0.2327,1.174
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2005,1,0.2951,0.3445,-0.3802,0.9704
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2006,1,0.2458,0.3466,-0.4337,0.9252
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2007,1,0.3246,0.3479,-0.3573,1.007
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2008,1,0.5372,0.3718,-0.1915,1.266
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2009,1,0.5886,0.3655,-0.1278,1.305
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2010,1,0.7841,0.3987,0.002624,1.565
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2011,1,0.9401,0.4382,0.08126,1.799
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2012,1,0.7778,0.3915,0.01041,1.545
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2013,1,0.7056,0.3838,-0.0466,1.458
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2014,1,0.5712,0.3637,-0.1417,1.284
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2015,1,0.5884,0.3751,-0.1468,1.324
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2016,1,0.5663,0.3794,-0.1772,1.31
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2017,1,0.5337,0.3824,-0.2159,1.283
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2018,1,0.4525,0.3723,-0.2772,1.182
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2019,1,0.3336,0.3607,-0.3733,1.04
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2020,1,0.1522,0.3468,-0.5275,0.8319
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2021,1,0.1955,0.3492,-0.4889,0.8799
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2022,1,0.3279,0.3607,-0.3792,1.035
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2023,1,0.4466,0.3755,-0.2895,1.183
37f2a922e8e1a6e554545c5502739741d8703c4e,2000,2024,1,0.6638,0.4349,-0.1886,1.516
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2002,1,0.3978,0.2867,-0.1641,0.9597
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2003,1,0.5904,0.3683,-0.1314,1.312
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2004,1,0.2254,0.2989,-0.3604,0.8111
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2005,1,0.04987,0.3084,-0.5545,0.6542
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2006,1,0.0004988,0.3195,-0.6256,0.6266
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2007,1,0.07939,0.3149,-0.5379,0.6967
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2008,1,0.2921,0.3143,-0.3238,0.908
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2009,1,0.3435,0.3098,-0.2637,0.9506
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2010,1,0.5391,0.3276,-0.103,1.181
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2011,1,0.6952,0.3574,-0.005271,1.396
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2012,1,0.5328,0.3242,-0.1027,1.168
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2013,1,0.4606,0.3202,-0.1669,1.088
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2014,1,0.3261,0.3117,-0.2849,0.9371
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2015,1,0.3433,0.3169,-0.2778,0.9644
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2016,1,0.3212,0.32,-0.306,0.9485
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2017,1,0.2886,0.3233,-0.3451,0.9222
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2018,1,0.2073,0.3185,-0.4169,0.8315
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2019,1,0.08837,0.3173,-0.5336,0.7103
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2020,1,-0.093,0.3269,-0.7337,0.5478
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2021,1,-0.0497,0.3223,-0.6813,0.5819
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2022,1,0.08272,0.3171,-0.5387,0.7042
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2023,1,0.2015,0.3218,-0.4293,0.8322
37f2a922e8e1a6e554545c5502739741d8703c4e,2001,2024,1,0.4189,0.3644,-0.2953,1.133
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2003,1,0.1928,0.2268,-0.2517,0.6373
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2004,1,-0.1722,0.2852,-0.7312,0.3868
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2005,1,-0.3477,0.3435,-1.021,0.3256
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2006,1,-0.3969,0.3678,-1.118,0.324
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2007,1,-0.318,0.3515,-1.007,0.371
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2008,1,-0.1053,0.3017,-0.6967,0.486
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2009,1,-0.05392,0.3042,-0.6501,0.5423
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2010,1,0.1418,0.2794,-0.4057,0.6893
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2011,1,0.298,0.2736,-0.2383,0.8344
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2012,1,0.1355,0.2873,-0.4276,0.6986
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2013,1,0.06328,0.2919,-0.5087,0.6353
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2014,1,-0.07127,0.3136,-0.686,0.5434
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2015,1,-0.05408,0.3022,-0.6463,0.5381
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2016,1,-0.0761,0.302,-0.6679,0.5157
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2017,1,-0.1088,0.3023,-0.7014,0.4838
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2018,1,-0.19,0.3108,-0.7992,0.4192
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2019,1,-0.3089,0.3319,-0.9594,0.3416
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2020,1,-0.4901,0.3834,-1.242,0.2613
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2021,1,-0.4469,0.3667,-1.166,0.2719
37f2a922e8e1a6e554545c5502739741d8703c4e,2002,2022,1,-0.3145,0.3321,-0.9654,0.3363
