analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
01116fb4975e484fc425f7c058625927e3eca96f,1992,1993,1,0.1323,0.04669,0.04075,0.2238
01116fb4975e484fc425f7c058625927e3eca96f,1992,1994,1,0.2134,0.05894,0.09784,0.3289
01116fb4975e484fc425f7c058625927e3eca96f,1992,1995,1,0.3571,0.06685,0.2261,0.4882
01116fb4975e484fc425f7c058625927e3eca96f,1992,1996,1,0.455,0.06992,0.318,0.592
01116fb4975e484fc425f7c058625927e3eca96f,1992,1997,1,0.3935,0.07051,0.2553,0.5316
01116fb4975e484fc425f7c058625927e3eca96f,1992,1998,1,0.4195,0.07255,0.2773,0.5617
01116fb4975e484fc425f7c058625927e3eca96f,1992,1999,1,0.6151,0.07674,0.4647,0.7655
01116fb4975e484fc425f7c058625927e3eca96f,1992,2000,1,0.7052,0.07614,0.556,0.8544
01116fb4975e484fc425f7c058625927e3eca96f,1992,2001,1,0.8353,0.07516,0.688,0.9827
01116fb4975e484fc425f7c058625927e3eca96f,1992,2002,1,0.9168,0.07449,0.7707,1.063
01116fb4975e484fc425f7c058625927e3eca96f,1992,2003,1,0.9891,0.07315,0.8457,1.132
01116fb4975e484fc425f7c058625927e3eca96f,1992,2004,1,0.9194,0.07384,0.7747,1.064
01116fb4975e484fc425f7c058625927e3eca96f,1992,2005,1,0.9712,0.07376,0.8266,1.116
01116fb4975e484fc425f7c058625927e3eca96f,1992,2006,1,0.9914,0.07216,0.85,1.133
01116fb4975e484fc425f7c058625927e3eca96f,1992,2007,1,0.9202,0.07227,0.7786,1.062
01116fb4975e484fc425f7c058625927e3eca96f,1992,2008,1,0.8761,0.07217,0.7346,1.018
01116fb4975e484fc425f7c058625927e3eca96f,1992,2009,1,0.8315,0.07228,0.6898,0.9731
01116fb4975e484fc425f7c058625927e3eca96f,1992,2010,1,0.8595,0.07274,0.7169,1.002
01116fb4975e484fc425f7c058625927e3eca96f,1992,2011,1,0.8278,0.07341,0.6839,0.9717
01116fb4975e484fc425f7c058625927e3eca96f,1992,2012,1,0.8154,0.07322,0.6719,0.9589
01116fb4975e484fc425f7c058625927e3eca96f,1992,2013,1,0.8369,0.0728,0.6942,0.9796
01116fb4975e484fc425f7c058625927e3eca96f,1992,2014,1,0.8476,0.0727,0.7051,0.99
01116fb4975e484fc425f7c058625927e3eca96f,1992,2015,1,0.8794,0.07268,0.7369,1.022
01116fb4975e484fc425f7c058625927e3eca96f,1992,2016,1,0.8516,0.07247,0.7095,0.9936
01116fb4975e484fc425f7c058625927e3eca96f,1992,2017,1,0.7873,0.07208,0.646,0.9285
01116fb4975e484fc425f7c058625927e3eca96f,1992,2018,1,0.7797,0.07247,0.6377,0.9218
01116fb4975e484fc425f7c058625927e3eca96f,1992,2019,1,0.7247,0.07252,0.5826,0.8669
01116fb4975e484fc425f7c058625927e3eca96f,1992,2020,1,0.7623,0.07276,0.6197,0.9049
01116fb4975e484fc425f7c058625927e3eca96f,1992,2021,1,0.8531,0.07316,0.7097,0.9965
01116fb4975e484fc425f7c058625927e3eca96f,1992,2022,1,0.8589,0.07396,0.714,1.004
01116fb4975e484fc425f7c058625927e3eca96f,1992,2023,1,0.8514,0.07488,0.7046,0.9981
01116fb4975e484fc425f7c058625927e3eca96f,1992,2024,1,0.942,0.07878,0.7876,1.096
01116fb4975e484fc425f7c058625927e3eca96f,1993,1994,1,0.08112,0.04222,-0.001623,0.1639
01116fb4975e484fc425f7c058625927e3eca96f,1993,1995,1,0.2249,0.05298,0.1211,0.3287
01116fb4975e484fc425f7c058625927e3eca96f,1993,1996,1,0.3228,0.05795,0.2092,0.4364
01116fb4975e484fc425f7c058625927e3eca96f,1993,1997,1,0.2612,0.06006,0.1435,0.3789
01116fb4975e484fc425f7c058625927e3eca96f,1993,1998,1,0.2873,0.06218,0.1654,0.4091
01116fb4975e484fc425f7c058625927e3eca96f,1993,1999,1,0.4829,0.06563,0.3542,0.6115
01116fb4975e484fc425f7c058625927e3eca96f,1993,2000,1,0.5729,0.0647,0.4461,0.6998
01116fb4975e484fc425f7c058625927e3eca96f,1993,2001,1,0.7031,0.06427,0.5771,0.8291
01116fb4975e484fc425f7c058625927e3eca96f,1993,2002,1,0.7845,0.06416,0.6588,0.9103
01116fb4975e484fc425f7c058625927e3eca96f,1993,2003,1,0.8568,0.06262,0.7341,0.9796
01116fb4975e484fc425f7c058625927e3eca96f,1993,2004,1,0.7872,0.06342,0.6629,0.9115
01116fb4975e484fc425f7c058625927e3eca96f,1993,2005,1,0.8389,0.06315,0.7152,0.9627
01116fb4975e484fc425f7c058625927e3eca96f,1993,2006,1,0.8592,0.06156,0.7385,0.9798
01116fb4975e484fc425f7c058625927e3eca96f,1993,2007,1,0.788,0.06173,0.667,0.909
01116fb4975e484fc425f7c058625927e3eca96f,1993,2008,1,0.7439,0.0618,0.6227,0.865
01116fb4975e484fc425f7c058625927e3eca96f,1993,2009,1,0.6992,0.06276,0.5762,0.8222
01116fb4975e484fc425f7c058625927e3eca96f,1993,2010,1,0.7273,0.06247,0.6048,0.8497
01116fb4975e484fc425f7c058625927e3eca96f,1993,2011,1,0.6956,0.06312,0.5719,0.8193
01116fb4975e484fc425f7c058625927e3eca96f,1993,2012,1,0.6832,0.06282,0.5601,0.8063
01116fb4975e484fc425f7c058625927e3eca96f,1993,2013,1,0.7047,0.06241,0.5823,0.827
01116fb4975e484fc425f7c058625927e3eca96f,1993,2014,1,0.7153,0.06213,0.5935,0.8371
01116fb4975e484fc425f7c058625927e3eca96f,1993,2015,1,0.7472,0.06188,0.6259,0.8684
01116fb4975e484fc425f7c058625927e3eca96f,1993,2016,1,0.7193,0.06206,0.5977,0.841
01116fb4975e484fc425f7c058625927e3eca96f,1993,2017,1,0.655,0.06226,0.533,0.7771
01116fb4975e484fc425f7c058625927e3eca96f,1993,2018,1,0.6475,0.06274,0.5245,0.7704
01116fb4975e484fc425f7c058625927e3eca96f,1993,2019,1,0.5925,0.0631,0.4688,0.7161
01116fb4975e484fc425f7c058625927e3eca96f,1993,2020,1,0.63,0.0629,0.5068,0.7533
01116fb4975e484fc425f7c058625927e3eca96f,1993,2021,1,0.7208,0.06299,0.5974,0.8443
01116fb4975e484fc425f7c058625927e3eca96f,1993,2022,1,0.7267,0.06372,0.6018,0.8516
01116fb4975e484fc425f7c058625927e3eca96f,1993,2023,1,0.7192,0.06505,0.5916,0.8467
01116fb4975e484fc425f7c058625927e3eca96f,1993,2024,1,0.8098,0.06875,0.6751,0.9446
01116fb4975e484fc425f7c058625927e3eca96f,1994,1995,1,0.1438,0.04239,0.0607,0.2269
01116fb4975e484fc425f7c058625927e3eca96f,1994,1996,1,0.2417,0.05122,0.1413,0.3421
01116fb4975e484fc425f7c058625927e3eca96f,1994,1997,1,0.1801,0.05491,0.07248,0.2877
01116fb4975e484fc425f7c058625927e3eca96f,1994,1998,1,0.2062,0.05764,0.09319,0.3191
01116fb4975e484fc425f7c058625927e3eca96f,1994,1999,1,0.4018,0.06114,0.2819,0.5216
01116fb4975e484fc425f7c058625927e3eca96f,1994,2000,1,0.4919,0.06059,0.3731,0.6106
01116fb4975e484fc425f7c058625927e3eca96f,1994,2001,1,0.622,0.06046,0.5035,0.7405
01116fb4975e484fc425f7c058625927e3eca96f,1994,2002,1,0.7034,0.06062,0.5846,0.8222
01116fb4975e484fc425f7c058625927e3eca96f,1994,2003,1,0.7757,0.0595,0.6591,0.8923
01116fb4975e484fc425f7c058625927e3eca96f,1994,2004,1,0.7061,0.06031,0.5879,0.8243
01116fb4975e484fc425f7c058625927e3eca96f,1994,2005,1,0.7578,0.06025,0.6398,0.8759
01116fb4975e484fc425f7c058625927e3eca96f,1994,2006,1,0.7781,0.05873,0.663,0.8932
01116fb4975e484fc425f7c058625927e3eca96f,1994,2007,1,0.7069,0.05889,0.5915,0.8223
01116fb4975e484fc425f7c058625927e3eca96f,1994,2008,1,0.6628,0.05886,0.5474,0.7781
01116fb4975e484fc425f7c058625927e3eca96f,1994,2009,1,0.6181,0.05968,0.5012,0.7351
01116fb4975e484fc425f7c058625927e3eca96f,1994,2010,1,0.6462,0.05922,0.5301,0.7622
01116fb4975e484fc425f7c058625927e3eca96f,1994,2011,1,0.6145,0.05982,0.4972,0.7317
01116fb4975e484fc425f7c058625927e3eca96f,1994,2012,1,0.6021,0.05965,0.4852,0.719
01116fb4975e484fc425f7c058625927e3eca96f,1994,2013,1,0.6236,0.05939,0.5072,0.7399
01116fb4975e484fc425f7c058625927e3eca96f,1994,2014,1,0.6342,0.0592,0.5182,0.7502
01116fb4975e484fc425f7c058625927e3eca96f,1994,2015,1,0.6661,0.05905,0.5503,0.7818
01116fb4975e484fc425f7c058625927e3eca96f,1994,2016,1,0.6382,0.05923,0.5221,0.7543
01116fb4975e484fc425f7c058625927e3eca96f,1994,2017,1,0.5739,0.05938,0.4576,0.6903
01116fb4975e484fc425f7c058625927e3eca96f,1994,2018,1,0.5664,0.05984,0.4491,0.6837
01116fb4975e484fc425f7c058625927e3eca96f,1994,2019,1,0.5114,0.06033,0.3931,0.6296
01116fb4975e484fc425f7c058625927e3eca96f,1994,2020,1,0.5489,0.06015,0.431,0.6668
01116fb4975e484fc425f7c058625927e3eca96f,1994,2021,1,0.6397,0.05993,0.5223,0.7572
01116fb4975e484fc425f7c058625927e3eca96f,1994,2022,1,0.6456,0.0606,0.5268,0.7644
01116fb4975e484fc425f7c058625927e3eca96f,1994,2023,1,0.638,0.06204,0.5164,0.7597
01116fb4975e484fc425f7c058625927e3eca96f,1994,2024,1,0.7287,0.0659,0.5995,0.8579
01116fb4975e484fc425f7c058625927e3eca96f,1995,1996,1,0.09789,0.0425,0.0146,0.1812
01116fb4975e484fc425f7c058625927e3eca96f,1995,1997,1,0.03634,0.05153,-0.06466,0.1373
01116fb4975e484fc425f7c058625927e3eca96f,1995,1998,1,0.06239,0.05555,-0.04649,0.1713
01116fb4975e484fc425f7c058625927e3eca96f,1995,1999,1,0.258,0.05862,0.1431,0.3729
01116fb4975e484fc425f7c058625927e3eca96f,1995,2000,1,0.3481,0.05777,0.2349,0.4613
01116fb4975e484fc425f7c058625927e3eca96f,1995,2001,1,0.4783,0.05856,0.3635,0.593
01116fb4975e484fc425f7c058625927e3eca96f,1995,2002,1,0.5597,0.05977,0.4425,0.6768
01116fb4975e484fc425f7c058625927e3eca96f,1995,2003,1,0.632,0.05908,0.5162,0.7478
01116fb4975e484fc425f7c058625927e3eca96f,1995,2004,1,0.5623,0.05967,0.4454,0.6793
01116fb4975e484fc425f7c058625927e3eca96f,1995,2005,1,0.6141,0.05932,0.4978,0.7303
01116fb4975e484fc425f7c058625927e3eca96f,1995,2006,1,0.6343,0.05777,0.5211,0.7475
01116fb4975e484fc425f7c058625927e3eca96f,1995,2007,1,0.5631,0.05789,0.4497,0.6766
01116fb4975e484fc425f7c058625927e3eca96f,1995,2008,1,0.519,0.05784,0.4056,0.6324
01116fb4975e484fc425f7c058625927e3eca96f,1995,2009,1,0.4744,0.05947,0.3578,0.5909
01116fb4975e484fc425f7c058625927e3eca96f,1995,2010,1,0.5024,0.05832,0.3881,0.6167
01116fb4975e484fc425f7c058625927e3eca96f,1995,2011,1,0.4707,0.05876,0.3556,0.5859
01116fb4975e484fc425f7c058625927e3eca96f,1995,2012,1,0.4583,0.05875,0.3432,0.5735
01116fb4975e484fc425f7c058625927e3eca96f,1995,2013,1,0.4798,0.05847,0.3652,0.5944
01116fb4975e484fc425f7c058625927e3eca96f,1995,2014,1,0.4905,0.05831,0.3762,0.6048
01116fb4975e484fc425f7c058625927e3eca96f,1995,2015,1,0.5223,0.058,0.4086,0.636
01116fb4975e484fc425f7c058625927e3eca96f,1995,2016,1,0.4945,0.05868,0.3795,0.6095
01116fb4975e484fc425f7c058625927e3eca96f,1995,2017,1,0.4302,0.05962,0.3133,0.547
01116fb4975e484fc425f7c058625927e3eca96f,1995,2018,1,0.4226,0.06002,0.305,0.5402
01116fb4975e484fc425f7c058625927e3eca96f,1995,2019,1,0.3676,0.06061,0.2488,0.4864
01116fb4975e484fc425f7c058625927e3eca96f,1995,2020,1,0.4052,0.05999,0.2876,0.5228
01116fb4975e484fc425f7c058625927e3eca96f,1995,2021,1,0.496,0.05935,0.3797,0.6123
01116fb4975e484fc425f7c058625927e3eca96f,1995,2022,1,0.5018,0.05991,0.3844,0.6193
01116fb4975e484fc425f7c058625927e3eca96f,1995,2023,1,0.4943,0.06146,0.3738,0.6148
01116fb4975e484fc425f7c058625927e3eca96f,1995,2024,1,0.5849,0.0648,0.4579,0.712
01116fb4975e484fc425f7c058625927e3eca96f,1996,1997,1,-0.06156,0.04135,-0.1426,0.01949
01116fb4975e484fc425f7c058625927e3eca96f,1996,1998,1,-0.0355,0.05056,-0.1346,0.06359
01116fb4975e484fc425f7c058625927e3eca96f,1996,1999,1,0.1601,0.05562,0.05111,0.2691
01116fb4975e484fc425f7c058625927e3eca96f,1996,2000,1,0.2502,0.0568,0.1389,0.3615
01116fb4975e484fc425f7c058625927e3eca96f,1996,2001,1,0.3804,0.05707,0.2685,0.4922
01116fb4975e484fc425f7c058625927e3eca96f,1996,2002,1,0.4618,0.05787,0.3484,0.5752
01116fb4975e484fc425f7c058625927e3eca96f,1996,2003,1,0.5341,0.05718,0.422,0.6462
01116fb4975e484fc425f7c058625927e3eca96f,1996,2004,1,0.4645,0.05871,0.3494,0.5795
