winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1993,March,1,1,1,1,1,1,1,1,1,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1993,October,3,3,3,3,3,3,3,3,3,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1993,November,1,1,1,1,1,1,1,1,1,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1993,December,1,1,1,1,1,1,1,1,1,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1994,March,4,4,4,4,4,4,4,4,4,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1994,October,2,2,2,2,2,2,2,2,2,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1995,January,1,1,1,1,1,1,1,1,1,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1995,March,1,1,1,1,1,1,1,1,1,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1995,October,12,12,12,12,12,12,12,12,12,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1995,November,7,7,7,7,7,7,7,7,7,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1995,December,5,5,5,5,5,5,5,5,5,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1995,NA,2,2,2,2,2,2,2,2,2,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1996,January,2,2,2,2,2,2,2,2,2,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1996,March,2,2,2,2,2,2,2,2,2,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1996,October,15,15,15,15,15,15,15,15,15,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1996,November,4,4,4,4,4,4,4,4,4,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1996,December,2,2,2,2,2,2,2,2,2,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1996,NA,1,1,1,1,1,1,1,1,1,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1997,January,7,7,7,7,7,7,7,7,7,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1997,March,7,7,7,7,7,7,7,7,7,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1997,October,14,14,14,14,14,14,14,14,14,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1997,November,18,18,18,18,18,18,18,18,18,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1997,December,3,3,3,3,3,3,3,3,3,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1998,January,5,5,5,5,5,5,5,5,5,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1998,March,8,8,8,8,8,8,8,8,8,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1998,October,20,20,20,20,20,20,20,20,20,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1998,November,25,25,25,25,25,25,25,25,25,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1998,December,7,7,7,7,7,7,7,7,7,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1998,NA,8,8,8,8,8,8,8,8,8,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1999,January,4,4,4,4,4,4,4,4,4,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
1999,March,13,13,13,13,13,13,13,13,13,0b9ce2851badcef04f9d45ed9c1a5cf9fb116f1a
