analysis,centre_winter,duration,estimate,se,lcl,ucl
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2011.5,10,0.172,0.03922,0.09509,0.2488
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2012.5,10,0.2234,0.03946,0.1461,0.3008
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2013.5,10,0.2819,0.04314,0.1973,0.3665
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2014.5,10,0.28,0.04215,0.1974,0.3626
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2015.5,10,0.2568,0.03867,0.181,0.3326
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2016.5,10,0.2121,0.03638,0.1408,0.2834
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2017.5,10,0.1948,0.03486,0.1265,0.2632
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2018.5,10,0.1524,0.03339,0.08698,0.2179
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2019.5,10,0.1669,0.0327,0.1028,0.231
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2012.5,12,0.2009,0.03058,0.141,0.2608
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2013.5,12,0.2277,0.03094,0.1671,0.2883
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2014.5,12,0.2601,0.03347,0.1945,0.3257
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2015.5,12,0.2442,0.03209,0.1813,0.3071
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2016.5,12,0.2207,0.02957,0.1628,0.2787
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2017.5,12,0.1941,0.02807,0.1391,0.2491
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2018.5,12,0.1961,0.02708,0.143,0.2492
0c77e179049b6b4fc66d0bdca27372dd60a46e84,2015.5,18,0.1965,0.01802,0.1612,0.2319
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2011.5,10,0.04609,0.0446,-0.04133,0.1335
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2012.5,10,0.07221,0.04289,-0.01185,0.1563
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2013.5,10,0.1173,0.04561,0.0279,0.2067
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2014.5,10,0.1365,0.04603,0.0463,0.2267
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2015.5,10,0.1426,0.04302,0.05828,0.2269
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2016.5,10,0.1397,0.04129,0.05874,0.2206
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2017.5,10,0.1386,0.04125,0.05779,0.2195
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2018.5,10,0.1287,0.04187,0.04666,0.2108
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2019.5,10,0.1484,0.04342,0.06335,0.2335
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2012.5,12,0.07561,0.03458,0.007835,0.1434
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2013.5,12,0.09723,0.03379,0.03101,0.1634
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2014.5,12,0.1295,0.03732,0.05635,0.2026
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2015.5,12,0.1404,0.03728,0.06729,0.2134
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2016.5,12,0.1342,0.03376,0.068,0.2004
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2017.5,12,0.1296,0.03381,0.06329,0.1958
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2018.5,12,0.1449,0.03509,0.07613,0.2137
92d67b38ec279e9d5f8fa3ec1838aca100a7dfc9,2015.5,18,0.1103,0.02171,0.06772,0.1528
