analysis,centre_winter,duration,estimate,se,lcl,ucl
57109d7739dafe8900c3dc497d1e021219221fbc,1995,5,3.373,0.1301,3.118,3.628
57109d7739dafe8900c3dc497d1e021219221fbc,1996,5,3.884,0.09942,3.689,4.079
57109d7739dafe8900c3dc497d1e021219221fbc,1997,5,4.272,0.0858,4.104,4.44
57109d7739dafe8900c3dc497d1e021219221fbc,1998,5,4.651,0.07508,4.504,4.798
57109d7739dafe8900c3dc497d1e021219221fbc,1999,5,5.037,0.07025,4.899,5.175
57109d7739dafe8900c3dc497d1e021219221fbc,2000,5,5.427,0.06816,5.293,5.561
57109d7739dafe8900c3dc497d1e021219221fbc,2001,5,5.737,0.06813,5.604,5.871
57109d7739dafe8900c3dc497d1e021219221fbc,2002,5,5.95,0.06886,5.815,6.085
57109d7739dafe8900c3dc497d1e021219221fbc,2003,5,6.073,0.06913,5.938,6.209
57109d7739dafe8900c3dc497d1e021219221fbc,2004,5,6.145,0.06628,6.015,6.275
57109d7739dafe8900c3dc497d1e021219221fbc,2005,5,6.176,0.0656,6.048,6.305
57109d7739dafe8900c3dc497d1e021219221fbc,2006,5,6.235,0.06474,6.108,6.362
57109d7739dafe8900c3dc497d1e021219221fbc,2007,5,6.303,0.06455,6.176,6.429
57109d7739dafe8900c3dc497d1e021219221fbc,2008,5,6.432,0.06345,6.307,6.556
57109d7739dafe8900c3dc497d1e021219221fbc,2009,5,6.547,0.06313,6.423,6.67
57109d7739dafe8900c3dc497d1e021219221fbc,2010,5,6.631,0.06412,6.506,6.757
57109d7739dafe8900c3dc497d1e021219221fbc,2011,5,6.672,0.06497,6.545,6.799
57109d7739dafe8900c3dc497d1e021219221fbc,2012,5,6.75,0.06554,6.621,6.878
57109d7739dafe8900c3dc497d1e021219221fbc,2013,5,6.786,0.0652,6.658,6.914
57109d7739dafe8900c3dc497d1e021219221fbc,2014,5,6.815,0.06587,6.686,6.944
57109d7739dafe8900c3dc497d1e021219221fbc,2015,5,6.848,0.06512,6.72,6.976
57109d7739dafe8900c3dc497d1e021219221fbc,2016,5,6.876,0.06451,6.749,7.002
57109d7739dafe8900c3dc497d1e021219221fbc,2017,5,6.94,0.06285,6.817,7.063
57109d7739dafe8900c3dc497d1e021219221fbc,2018,5,6.952,0.06288,6.829,7.075
57109d7739dafe8900c3dc497d1e021219221fbc,2019,5,6.976,0.06202,6.854,7.097
57109d7739dafe8900c3dc497d1e021219221fbc,2020,5,6.978,0.06162,6.858,7.099
57109d7739dafe8900c3dc497d1e021219221fbc,2021,5,6.986,0.06135,6.866,7.106
57109d7739dafe8900c3dc497d1e021219221fbc,2022,5,6.95,0.06258,6.827,7.073
57109d7739dafe8900c3dc497d1e021219221fbc,1997.5,10,4.4,0.07379,4.255,4.545
57109d7739dafe8900c3dc497d1e021219221fbc,1998.5,10,4.811,0.06127,4.691,4.931
57109d7739dafe8900c3dc497d1e021219221fbc,1999.5,10,5.111,0.05556,5.002,5.22
57109d7739dafe8900c3dc497d1e021219221fbc,2000.5,10,5.362,0.05172,5.261,5.464
57109d7739dafe8900c3dc497d1e021219221fbc,2001.5,10,5.591,0.04964,5.494,5.688
57109d7739dafe8900c3dc497d1e021219221fbc,2002.5,10,5.802,0.0486,5.706,5.897
57109d7739dafe8900c3dc497d1e021219221fbc,2003.5,10,5.986,0.04802,5.892,6.08
57109d7739dafe8900c3dc497d1e021219221fbc,2004.5,10,6.126,0.04771,6.033,6.22
57109d7739dafe8900c3dc497d1e021219221fbc,2005.5,10,6.252,0.04768,6.159,6.346
57109d7739dafe8900c3dc497d1e021219221fbc,2006.5,10,6.346,0.04659,6.254,6.437
57109d7739dafe8900c3dc497d1e021219221fbc,2007.5,10,6.404,0.04675,6.312,6.495
57109d7739dafe8900c3dc497d1e021219221fbc,2008.5,10,6.454,0.04684,6.362,6.545
57109d7739dafe8900c3dc497d1e021219221fbc,2009.5,10,6.526,0.04717,6.434,6.619
57109d7739dafe8900c3dc497d1e021219221fbc,2010.5,10,6.609,0.0471,6.516,6.701
57109d7739dafe8900c3dc497d1e021219221fbc,2011.5,10,6.681,0.04741,6.588,6.774
57109d7739dafe8900c3dc497d1e021219221fbc,2012.5,10,6.74,0.0476,6.646,6.833
57109d7739dafe8900c3dc497d1e021219221fbc,2013.5,10,6.774,0.04769,6.68,6.867
57109d7739dafe8900c3dc497d1e021219221fbc,2014.5,10,6.845,0.04719,6.752,6.937
57109d7739dafe8900c3dc497d1e021219221fbc,2015.5,10,6.869,0.04695,6.777,6.961
57109d7739dafe8900c3dc497d1e021219221fbc,2016.5,10,6.895,0.04658,6.804,6.987
57109d7739dafe8900c3dc497d1e021219221fbc,2017.5,10,6.913,0.04605,6.823,7.003
57109d7739dafe8900c3dc497d1e021219221fbc,2018.5,10,6.931,0.04567,6.842,7.021
57109d7739dafe8900c3dc497d1e021219221fbc,2019.5,10,6.945,0.04546,6.856,7.034
baff4831301505708b51ca4994fb564ba7a0da86,1995,5,4.043,0.1745,3.701,4.385
baff4831301505708b51ca4994fb564ba7a0da86,1996,5,4.443,0.132,4.184,4.701
baff4831301505708b51ca4994fb564ba7a0da86,1997,5,4.83,0.1172,4.601,5.06
baff4831301505708b51ca4994fb564ba7a0da86,1998,5,5.173,0.1086,4.96,5.386
baff4831301505708b51ca4994fb564ba7a0da86,1999,5,5.54,0.09996,5.344,5.736
baff4831301505708b51ca4994fb564ba7a0da86,2000,5,5.923,0.09498,5.737,6.11
baff4831301505708b51ca4994fb564ba7a0da86,2001,5,6.21,0.09242,6.029,6.391
baff4831301505708b51ca4994fb564ba7a0da86,2002,5,6.356,0.09141,6.177,6.535
baff4831301505708b51ca4994fb564ba7a0da86,2003,5,6.499,0.09138,6.32,6.678
baff4831301505708b51ca4994fb564ba7a0da86,2004,5,6.594,0.08679,6.424,6.764
baff4831301505708b51ca4994fb564ba7a0da86,2005,5,6.595,0.08939,6.42,6.77
baff4831301505708b51ca4994fb564ba7a0da86,2006,5,6.682,0.08514,6.515,6.849
baff4831301505708b51ca4994fb564ba7a0da86,2007,5,6.765,0.08341,6.601,6.928
baff4831301505708b51ca4994fb564ba7a0da86,2008,5,6.9,0.07882,6.746,7.055
baff4831301505708b51ca4994fb564ba7a0da86,2009,5,6.967,0.08093,6.809,7.126
baff4831301505708b51ca4994fb564ba7a0da86,2010,5,7.103,0.08079,6.945,7.261
baff4831301505708b51ca4994fb564ba7a0da86,2011,5,7.127,0.08508,6.96,7.294
baff4831301505708b51ca4994fb564ba7a0da86,2012,5,7.196,0.08801,7.023,7.368
baff4831301505708b51ca4994fb564ba7a0da86,2013,5,7.253,0.08766,7.081,7.424
baff4831301505708b51ca4994fb564ba7a0da86,2014,5,7.364,0.08428,7.199,7.529
baff4831301505708b51ca4994fb564ba7a0da86,2015,5,7.425,0.08412,7.26,7.59
baff4831301505708b51ca4994fb564ba7a0da86,2016,5,7.522,0.08145,7.362,7.681
baff4831301505708b51ca4994fb564ba7a0da86,2017,5,7.655,0.07754,7.503,7.807
baff4831301505708b51ca4994fb564ba7a0da86,2018,5,7.663,0.07716,7.512,7.814
baff4831301505708b51ca4994fb564ba7a0da86,2019,5,7.654,0.07736,7.502,7.806
baff4831301505708b51ca4994fb564ba7a0da86,2020,5,7.586,0.07869,7.432,7.74
baff4831301505708b51ca4994fb564ba7a0da86,2021,5,7.575,0.07732,7.424,7.727
baff4831301505708b51ca4994fb564ba7a0da86,2022,5,7.518,0.0794,7.363,7.674
baff4831301505708b51ca4994fb564ba7a0da86,1997.5,10,4.983,0.09964,4.788,5.179
baff4831301505708b51ca4994fb564ba7a0da86,1998.5,10,5.326,0.08156,5.167,5.486
