analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
19564f1448fe546f4e23ed5202de8359312b6082,2000,2001,1,-0.09432,0.1642,-0.4161,0.2275
19564f1448fe546f4e23ed5202de8359312b6082,2000,2002,1,-0.3633,0.2117,-0.7783,0.05174
19564f1448fe546f4e23ed5202de8359312b6082,2000,2003,1,-0.2302,0.196,-0.6144,0.1539
19564f1448fe546f4e23ed5202de8359312b6082,2000,2004,1,-0.3012,0.2011,-0.6954,0.09295
19564f1448fe546f4e23ed5202de8359312b6082,2000,2005,1,-0.4682,0.2161,-0.8919,-0.04461
19564f1448fe546f4e23ed5202de8359312b6082,2000,2006,1,-0.4122,0.2028,-0.8097,-0.01469
19564f1448fe546f4e23ed5202de8359312b6082,2000,2007,1,-0.4979,0.2072,-0.9041,-0.09177
19564f1448fe546f4e23ed5202de8359312b6082,2000,2008,1,-0.6567,0.214,-1.076,-0.2373
19564f1448fe546f4e23ed5202de8359312b6082,2000,2009,1,-0.6126,0.1968,-0.9983,-0.227
19564f1448fe546f4e23ed5202de8359312b6082,2000,2010,1,-0.8437,0.2206,-1.276,-0.4113
19564f1448fe546f4e23ed5202de8359312b6082,2000,2011,1,-1.051,0.2281,-1.499,-0.6044
19564f1448fe546f4e23ed5202de8359312b6082,2000,2012,1,-1.124,0.2449,-1.604,-0.6444
19564f1448fe546f4e23ed5202de8359312b6082,2000,2013,1,-0.831,0.2034,-1.23,-0.4324
19564f1448fe546f4e23ed5202de8359312b6082,2000,2014,1,-0.6922,0.2156,-1.115,-0.2695
19564f1448fe546f4e23ed5202de8359312b6082,2000,2015,1,-0.6247,0.2097,-1.036,-0.2137
19564f1448fe546f4e23ed5202de8359312b6082,2000,2016,1,-0.6852,0.2174,-1.111,-0.259
19564f1448fe546f4e23ed5202de8359312b6082,2000,2017,1,-0.6389,0.2163,-1.063,-0.215
19564f1448fe546f4e23ed5202de8359312b6082,2000,2018,1,-0.4879,0.2077,-0.895,-0.08073
19564f1448fe546f4e23ed5202de8359312b6082,2000,2019,1,-0.4454,0.2061,-0.8493,-0.0414
19564f1448fe546f4e23ed5202de8359312b6082,2000,2020,1,-0.4618,0.2101,-0.8737,-0.04995
19564f1448fe546f4e23ed5202de8359312b6082,2000,2021,1,-0.4652,0.2111,-0.8789,-0.0515
19564f1448fe546f4e23ed5202de8359312b6082,2000,2022,1,-0.4869,0.2021,-0.8831,-0.09066
19564f1448fe546f4e23ed5202de8359312b6082,2000,2023,1,-0.8606,0.2347,-1.321,-0.4005
19564f1448fe546f4e23ed5202de8359312b6082,2000,2024,1,-1.024,0.262,-1.538,-0.5107
19564f1448fe546f4e23ed5202de8359312b6082,2001,2002,1,-0.269,0.1814,-0.6244,0.08645
19564f1448fe546f4e23ed5202de8359312b6082,2001,2003,1,-0.1359,0.1824,-0.4934,0.2216
19564f1448fe546f4e23ed5202de8359312b6082,2001,2004,1,-0.2069,0.1921,-0.5835,0.1697
19564f1448fe546f4e23ed5202de8359312b6082,2001,2005,1,-0.3739,0.2065,-0.7786,0.03071
19564f1448fe546f4e23ed5202de8359312b6082,2001,2006,1,-0.3179,0.1951,-0.7002,0.06443
19564f1448fe546f4e23ed5202de8359312b6082,2001,2007,1,-0.4036,0.2,-0.7956,-0.01169
19564f1448fe546f4e23ed5202de8359312b6082,2001,2008,1,-0.5624,0.2052,-0.9646,-0.1602
19564f1448fe546f4e23ed5202de8359312b6082,2001,2009,1,-0.5183,0.1897,-0.8902,-0.1465
19564f1448fe546f4e23ed5202de8359312b6082,2001,2010,1,-0.7494,0.2114,-1.164,-0.3351
19564f1448fe546f4e23ed5202de8359312b6082,2001,2011,1,-0.9572,0.2188,-1.386,-0.5284
19564f1448fe546f4e23ed5202de8359312b6082,2001,2012,1,-1.03,0.2335,-1.488,-0.5725
19564f1448fe546f4e23ed5202de8359312b6082,2001,2013,1,-0.7367,0.1948,-1.118,-0.3549
19564f1448fe546f4e23ed5202de8359312b6082,2001,2014,1,-0.5979,0.2094,-1.008,-0.1874
19564f1448fe546f4e23ed5202de8359312b6082,2001,2015,1,-0.5304,0.2041,-0.9304,-0.1305
19564f1448fe546f4e23ed5202de8359312b6082,2001,2016,1,-0.5909,0.2113,-1.005,-0.1769
19564f1448fe546f4e23ed5202de8359312b6082,2001,2017,1,-0.5446,0.2108,-0.9577,-0.1314
19564f1448fe546f4e23ed5202de8359312b6082,2001,2018,1,-0.3936,0.2031,-0.7916,0.004478
19564f1448fe546f4e23ed5202de8359312b6082,2001,2019,1,-0.3511,0.2014,-0.7458,0.04369
19564f1448fe546f4e23ed5202de8359312b6082,2001,2020,1,-0.3675,0.2034,-0.7661,0.03107
19564f1448fe546f4e23ed5202de8359312b6082,2001,2021,1,-0.3709,0.203,-0.7688,0.02708
19564f1448fe546f4e23ed5202de8359312b6082,2001,2022,1,-0.3925,0.1958,-0.7763,-0.008809
19564f1448fe546f4e23ed5202de8359312b6082,2001,2023,1,-0.7663,0.2253,-1.208,-0.3247
19564f1448fe546f4e23ed5202de8359312b6082,2001,2024,1,-0.9299,0.2534,-1.427,-0.4332
19564f1448fe546f4e23ed5202de8359312b6082,2002,2003,1,0.1331,0.1795,-0.2188,0.485
19564f1448fe546f4e23ed5202de8359312b6082,2002,2004,1,0.06207,0.201,-0.3318,0.4559
19564f1448fe546f4e23ed5202de8359312b6082,2002,2005,1,-0.105,0.2032,-0.5033,0.2934
19564f1448fe546f4e23ed5202de8359312b6082,2002,2006,1,-0.04894,0.2132,-0.4668,0.3689
19564f1448fe546f4e23ed5202de8359312b6082,2002,2007,1,-0.1347,0.2155,-0.557,0.2877
19564f1448fe546f4e23ed5202de8359312b6082,2002,2008,1,-0.2935,0.2084,-0.7019,0.115
19564f1448fe546f4e23ed5202de8359312b6082,2002,2009,1,-0.2494,0.2133,-0.6675,0.1687
19564f1448fe546f4e23ed5202de8359312b6082,2002,2010,1,-0.4804,0.2166,-0.9051,-0.05584
19564f1448fe546f4e23ed5202de8359312b6082,2002,2011,1,-0.6883,0.2064,-1.093,-0.2836
19564f1448fe546f4e23ed5202de8359312b6082,2002,2012,1,-0.7613,0.2118,-1.176,-0.3461
19564f1448fe546f4e23ed5202de8359312b6082,2002,2013,1,-0.4677,0.2072,-0.8738,-0.06164
