winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,191,165,175.9,182,186.6,196.7,206,222.1,242,5038101df4f0f9facefc9f0992662dce73677d5d
1993,222,199,203.9,210.8,217,226,231.4,248,274,5038101df4f0f9facefc9f0992662dce73677d5d
1994,235,216,221,227,230.6,239,246,258.2,275,5038101df4f0f9facefc9f0992662dce73677d5d
1995,214,201,202,207,210.6,218.4,226,238,241,5038101df4f0f9facefc9f0992662dce73677d5d
1996,270,245,252,259,264,277,284,298,335,5038101df4f0f9facefc9f0992662dce73677d5d
1997,210,190,197,202,206.6,214.4,219,235,246,5038101df4f0f9facefc9f0992662dce73677d5d
1998,247,231,234,239.8,243,251,261,274.1,293,5038101df4f0f9facefc9f0992662dce73677d5d
1999,214,193,198,203.8,207,218,226,235,250,5038101df4f0f9facefc9f0992662dce73677d5d
2000,384.5,355,369,376,379,391,398.2,420.2,438,5038101df4f0f9facefc9f0992662dce73677d5d
2001,278.5,245,257.8,265.8,273,284,296,310.1,340,5038101df4f0f9facefc9f0992662dce73677d5d
2002,374,340,351,359,365,378.4,386.2,400.2,426,5038101df4f0f9facefc9f0992662dce73677d5d
2003,330,301,307,316,321.6,336.4,347,371,406,5038101df4f0f9facefc9f0992662dce73677d5d
2004,404.5,393,395,399,402,408,411,421,434,5038101df4f0f9facefc9f0992662dce73677d5d
2005,323.5,300,306,313,317,328.4,337.2,355.1,382,5038101df4f0f9facefc9f0992662dce73677d5d
2006,347.5,321,328,335,341,352,359.2,375,384,5038101df4f0f9facefc9f0992662dce73677d5d
2007,385,354,364,373,379,391.4,403.2,411,437,5038101df4f0f9facefc9f0992662dce73677d5d
2008,491,455,470,478,485,499,508,520.2,556,5038101df4f0f9facefc9f0992662dce73677d5d
2009,413.5,394,398,403,409,418,422,432.2,465,5038101df4f0f9facefc9f0992662dce73677d5d
2010,269,251,254,261,267,274,279.2,296,335,5038101df4f0f9facefc9f0992662dce73677d5d
2011,257,229,239,248.8,253.6,263,272,284,291,5038101df4f0f9facefc9f0992662dce73677d5d
2012,339,308,317,322.8,331.3,346.4,352.4,376,390,5038101df4f0f9facefc9f0992662dce73677d5d
2013,227,209,213,216.8,221.6,232,241.4,256,270,5038101df4f0f9facefc9f0992662dce73677d5d
2014,413,381,391.9,397,404.6,418.4,429.2,446.2,468,5038101df4f0f9facefc9f0992662dce73677d5d
2015,345,319,326.9,334,339.6,350,356.2,371,376,5038101df4f0f9facefc9f0992662dce73677d5d
2016,325,307,311,318,321.6,330.4,337,346.1,357,5038101df4f0f9facefc9f0992662dce73677d5d
2017,471.5,442,452,460,465.6,477.4,484,508,523,5038101df4f0f9facefc9f0992662dce73677d5d
2018,331,322,323,327,329,333,336,342,350,5038101df4f0f9facefc9f0992662dce73677d5d
2019,335,326,327,330,332.6,339,344,351,368,5038101df4f0f9facefc9f0992662dce73677d5d
2020,438,430,431,433,435,441,449,457,475,5038101df4f0f9facefc9f0992662dce73677d5d
2021,247,237,238,241,243.6,253,257,270.1,339,5038101df4f0f9facefc9f0992662dce73677d5d
2022,352,341,344,346,348,355,360,366,384,5038101df4f0f9facefc9f0992662dce73677d5d
2023,316.5,306,308,311,313.6,319,322,329,343,5038101df4f0f9facefc9f0992662dce73677d5d
2024,302,289,290,296,299,305,309,312,321,5038101df4f0f9facefc9f0992662dce73677d5d
