analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,1993,1,0.08372,0.1329,-0.1768,0.3443
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,1994,1,0.1506,0.168,-0.1785,0.4798
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,1995,1,0.1505,0.2151,-0.2712,0.5722
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,1996,1,0.3426,0.2322,-0.1125,0.7977
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,1997,1,0.425,0.2213,-0.008751,0.8587
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,1998,1,0.4292,0.2403,-0.04172,0.9002
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,1999,1,0.6408,0.2377,0.175,1.107
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2000,1,0.9185,0.2212,0.485,1.352
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2001,1,1.167,0.2157,0.7446,1.59
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2002,1,1.337,0.2178,0.9102,1.764
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2003,1,1.552,0.2048,1.15,1.953
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2004,1,1.503,0.2157,1.08,1.926
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2005,1,1.551,0.2103,1.139,1.963
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2006,1,1.616,0.2042,1.216,2.016
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2007,1,1.542,0.2143,1.122,1.962
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2008,1,1.594,0.2137,1.175,2.013
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2009,1,1.667,0.2149,1.246,2.088
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2010,1,1.859,0.2112,1.445,2.273
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2011,1,1.864,0.2151,1.443,2.286
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2012,1,1.896,0.2131,1.478,2.313
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2013,1,1.94,0.2137,1.521,2.359
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2014,1,1.999,0.2091,1.589,2.408
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2015,1,2.096,0.2083,1.688,2.504
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2016,1,2.125,0.2089,1.715,2.534
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2017,1,2.071,0.2084,1.663,2.48
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2018,1,1.988,0.2168,1.563,2.413
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2019,1,2.032,0.2122,1.617,2.448
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2020,1,2.066,0.2119,1.651,2.481
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2021,1,2.164,0.2128,1.747,2.582
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2022,1,2.129,0.2147,1.708,2.55
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2023,1,2.138,0.2185,1.71,2.566
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1992,2024,1,2.164,0.2275,1.718,2.61
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1993,1994,1,0.06691,0.1243,-0.1767,0.3105
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1993,1995,1,0.0668,0.1821,-0.2901,0.4237
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1993,1996,1,0.2589,0.2031,-0.1392,0.6569
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1993,1997,1,0.3413,0.1944,-0.03975,0.7223
f5eac5a287cc9e040285ca45c19b86c3a75fde0e,1993,1998,1,0.3455,0.2149,-0.07569,0.7667
