analysis,centre_winter,duration,estimate,se,lcl,ucl
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,1996.5,10,0.004987,0.01438,-0.0232,0.03318
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,1997.5,10,0.0136,0.01347,-0.01281,0.04001
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,1998.5,10,0.0217,0.01409,-0.005923,0.04932
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,1999.5,10,0.02263,0.01381,-0.004427,0.0497
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,2000.5,10,0.01912,0.013,-0.006351,0.04459
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,2001.5,10,0.01544,0.01252,-0.0091,0.03999
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,2002.5,10,0.01159,0.0124,-0.01271,0.03589
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,2003.5,10,0.004406,0.01202,-0.01915,0.02796
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,2004.5,10,-0.0007665,0.01209,-0.02446,0.02293
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,2005.5,10,-0.006326,0.01216,-0.03015,0.0175
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,2006.5,10,-0.01212,0.01223,-0.03609,0.01185
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,2007.5,10,-0.01543,0.01205,-0.03906,0.008192
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,2008.5,10,-0.01519,0.01201,-0.03873,0.008363
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,2009.5,10,-0.0192,0.01193,-0.04258,0.004185
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,2010.5,10,-0.02533,0.01191,-0.04867,-0.002
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,2011.5,10,-0.02993,0.01196,-0.05338,-0.006485
199a369c479ccdec2fa9518ff5afbfb4ab91e4d1,2012.5,10,-0.03598,0.0121,-0.05969,-0.01226
