winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,62,25,35.95,46.6,52,71,84.6,128,159,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
1993,71.5,24,45.95,57.8,66.65,78.35,89,134.1,218,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
1994,71,36,41.95,53.8,62,82,100,130.1,141,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
1995,31,29,29,29,29,33.35,37.2,47.05,54,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
1996,79,77,77,77,78,81.35,85,91.1,104,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
1997,86,83,83,83,84,89,94.2,102,108,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
1998,66,56,56,60,63,72,78,89.05,123,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
1999,61,57,57,57,58,65,69.2,82.1,103,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2000,61,60,60,60,60,63,65,70.1,75,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2001,76,54,59.95,67,72,83,90,112.1,134,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2002,71,44,48.95,57,64,75.35,83.8,107,188,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2003,92,83,83,84,87,95.35,101.4,113.3,135,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2004,67,66,66,66,66,68,70,74,86,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2005,65,65,65,65,65,65,65,65,65,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2006,102,92,92,92,95.65,109,123.6,139.2,199,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2007,52,52,52,52,52,52,52,52,52,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2008,84,82,82,82,82,86,88,93.05,106,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2009,129,129,129,129,129,129,129,129,129,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2010,102,90,90,90,97,109,115.2,133.1,182,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2011,93,82,82,84,89,99,107.2,126.6,183,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2012,95,95,95,95,95,95,95,102,106,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2013,86.5,75,77,81.8,83,90,94,108.2,124,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2014,67,60,60,63,64.65,70,74.2,87,115,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2015,101,87,91.95,95.8,98,107,115,126,170,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2016,65,59,59,60,63.65,68,74,88,134,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2017,52,44,44,47,50,56,62,75.1,95,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2018,68,62,62,62,65,71,78.2,88.05,101,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2019,72,62,62.95,65,68,76.35,83,94.45,127,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2020,41,41,41,41,41,42,44,47.05,50,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2021,56,56,56,56,56,57,58,60.1,64,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2022,51,51,51,51,51,51,52,54,58,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2023,17,17,17,17,17,18,20,25,40,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
2024,22,22,22,22,22,22,22,31.1,55,79bc2cde275cdd76570cfb38b78fa5f0fef90a23
