analysis,centre_winter,duration,estimate,se,lcl,ucl
356fdb54a9acac1a4abd76c972f4620d680f00a3,1994,5,4.846,0.1647,4.523,5.168
356fdb54a9acac1a4abd76c972f4620d680f00a3,1995,5,5.143,0.1303,4.887,5.398
356fdb54a9acac1a4abd76c972f4620d680f00a3,1996,5,5.296,0.114,5.073,5.519
356fdb54a9acac1a4abd76c972f4620d680f00a3,1997,5,5.344,0.1059,5.137,5.552
356fdb54a9acac1a4abd76c972f4620d680f00a3,1998,5,5.27,0.1057,5.063,5.477
356fdb54a9acac1a4abd76c972f4620d680f00a3,1999,5,5.067,0.1113,4.849,5.285
356fdb54a9acac1a4abd76c972f4620d680f00a3,2000,5,4.878,0.1207,4.642,5.115
356fdb54a9acac1a4abd76c972f4620d680f00a3,2001,5,4.85,0.1178,4.62,5.081
356fdb54a9acac1a4abd76c972f4620d680f00a3,2002,5,4.837,0.1173,4.607,5.067
356fdb54a9acac1a4abd76c972f4620d680f00a3,2003,5,4.871,0.113,4.649,5.092
356fdb54a9acac1a4abd76c972f4620d680f00a3,2004,5,4.922,0.1089,4.709,5.135
356fdb54a9acac1a4abd76c972f4620d680f00a3,2005,5,4.931,0.1088,4.718,5.145
356fdb54a9acac1a4abd76c972f4620d680f00a3,2006,5,4.894,0.1092,4.68,5.108
356fdb54a9acac1a4abd76c972f4620d680f00a3,2007,5,4.905,0.1077,4.694,5.116
356fdb54a9acac1a4abd76c972f4620d680f00a3,2008,5,4.943,0.1069,4.733,5.152
356fdb54a9acac1a4abd76c972f4620d680f00a3,2009,5,4.999,0.1068,4.79,5.209
356fdb54a9acac1a4abd76c972f4620d680f00a3,2010,5,5.038,0.1106,4.821,5.254
356fdb54a9acac1a4abd76c972f4620d680f00a3,2011,5,5.029,0.1167,4.801,5.258
356fdb54a9acac1a4abd76c972f4620d680f00a3,2012,5,4.993,0.1224,4.753,5.233
356fdb54a9acac1a4abd76c972f4620d680f00a3,2013,5,4.926,0.1225,4.686,5.166
356fdb54a9acac1a4abd76c972f4620d680f00a3,2014,5,4.829,0.1215,4.591,5.067
356fdb54a9acac1a4abd76c972f4620d680f00a3,2015,5,4.774,0.1191,4.541,5.008
