analysis,winter,estimate,se,lcl,ucl
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,1993,-2.031,0.4611,-2.935,-1.127
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,1994,-2.087,0.4354,-2.941,-1.234
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,1995,-2.115,0.4258,-2.95,-1.281
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,1996,-2.116,0.4168,-2.933,-1.299
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,1997,-2.148,0.4152,-2.961,-1.334
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,1998,-2.179,0.4204,-3.003,-1.356
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,1999,-2.189,0.4186,-3.009,-1.368
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2000,-2.175,0.4091,-2.977,-1.374
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2001,-2.2,0.4144,-3.012,-1.388
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2002,-2.202,0.4117,-3.009,-1.395
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2003,-2.182,0.4017,-2.969,-1.395
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2004,-2.214,0.413,-3.024,-1.405
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2005,-2.25,0.4356,-3.104,-1.396
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2006,-2.267,0.4508,-3.15,-1.383
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2007,-2.266,0.4538,-3.155,-1.376
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2008,-2.246,0.4437,-3.116,-1.377
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2009,-2.208,0.4227,-3.037,-1.38
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2010,-2.176,0.4113,-2.982,-1.37
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2011,-2.122,0.3947,-2.896,-1.348
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2012,-2.042,0.3936,-2.814,-1.271
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2013,-2.047,0.3927,-2.817,-1.277
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2014,-2.022,0.3988,-2.804,-1.24
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2015,-2.029,0.4002,-2.813,-1.245
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2016,-2.04,0.4032,-2.83,-1.25
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2017,-2.053,0.4097,-2.855,-1.25
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2018,-2.038,0.414,-2.849,-1.226
9ed07fa138d82b89fc3fe5ab1550b708f10a341e,2019,-1.995,0.4238,-2.825,-1.164
