winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,January,204,189,190,194,197.6,213,230.2,259.6,438,a66a1194661d0e62095e9f9e3437a54928282af1
2000,November,141.5,23,50.7,86.6,112.6,201.4,298.4,602.2,1120,a66a1194661d0e62095e9f9e3437a54928282af1
2000,December,149,71,80,106.4,129.3,173.8,245,333.3,887,a66a1194661d0e62095e9f9e3437a54928282af1
2000,NA,123,25,47.85,67.8,92.65,159.7,233,392.9,1285,a66a1194661d0e62095e9f9e3437a54928282af1
2001,January,377.5,314,326,343,360.6,400.8,446.6,555,1331,a66a1194661d0e62095e9f9e3437a54928282af1
2001,November,305,134,162.2,212,251.9,362.3,468.8,620.5,910,a66a1194661d0e62095e9f9e3437a54928282af1
2001,December,242,106,129.8,166,209.6,281,355.6,535.4,701,a66a1194661d0e62095e9f9e3437a54928282af1
2001,NA,154.5,21,47.9,78.8,111.3,195.4,244.6,448.3,839,a66a1194661d0e62095e9f9e3437a54928282af1
2002,January,139,69,81.95,103.8,121.6,160.7,218.2,328.3,458,a66a1194661d0e62095e9f9e3437a54928282af1
2002,November,290,105,130.6,189.6,246,340.7,425.4,608.7,901,a66a1194661d0e62095e9f9e3437a54928282af1
2002,December,194,52,73.95,124.2,160.6,228.1,307.6,516.8,693,a66a1194661d0e62095e9f9e3437a54928282af1
2002,NA,174.5,29,66.8,110,147.3,223,305,464.7,883,a66a1194661d0e62095e9f9e3437a54928282af1
2003,January,174,81,101,124.8,149.9,202.4,227.2,311.3,538,a66a1194661d0e62095e9f9e3437a54928282af1
2003,November,362.5,151,215.6,266.2,321,422.7,484.6,650.9,1224,a66a1194661d0e62095e9f9e3437a54928282af1
2003,December,174,60,100,124.6,146.6,214.4,270.2,327.6,628,a66a1194661d0e62095e9f9e3437a54928282af1
2003,NA,172,60,79.95,118.8,150.2,197,238.2,320.2,527,a66a1194661d0e62095e9f9e3437a54928282af1
2004,January,143,88,95.95,115,128,160.4,191.4,273.2,589,a66a1194661d0e62095e9f9e3437a54928282af1
2004,November,179.5,57,81.6,116.8,137,226.2,296.4,403.6,568,a66a1194661d0e62095e9f9e3437a54928282af1
2004,December,133,54,64.8,83.8,115.6,155,198.6,345.9,478,a66a1194661d0e62095e9f9e3437a54928282af1
2004,NA,174,84,102.8,127.8,150,201,243.2,319,620,a66a1194661d0e62095e9f9e3437a54928282af1
2005,January,282,268,268,271.8,276,292.4,307.6,368.5,394,a66a1194661d0e62095e9f9e3437a54928282af1
2005,November,287,139,150,195,233.6,355,418.4,514.7,774,a66a1194661d0e62095e9f9e3437a54928282af1
2005,December,167,93,102.9,121.8,143.6,194.4,228.2,304.4,419,a66a1194661d0e62095e9f9e3437a54928282af1
2005,NA,181.5,109,122,149.8,161.3,228.4,281.6,387.4,877,a66a1194661d0e62095e9f9e3437a54928282af1
2006,January,211,192,194,198,204,220.1,240.2,270.2,352,a66a1194661d0e62095e9f9e3437a54928282af1
2006,November,315,205,217,242.4,289.3,395.4,493.4,661.3,1052,a66a1194661d0e62095e9f9e3437a54928282af1
2006,December,194.5,93,103.9,141,168.6,229.7,279.2,400,672,a66a1194661d0e62095e9f9e3437a54928282af1
2006,NA,109,27,55.85,70.8,90.65,136,186.8,244.8,323,a66a1194661d0e62095e9f9e3437a54928282af1
2007,January,279,261,263,268,273,285,293.8,341,410,a66a1194661d0e62095e9f9e3437a54928282af1
2007,November,253.5,157,175,193.6,221.6,295.4,367,526,1541,a66a1194661d0e62095e9f9e3437a54928282af1
2007,December,218,153,161.9,187.8,206,241.4,306.2,403,705,a66a1194661d0e62095e9f9e3437a54928282af1
2007,NA,116.5,63,75.95,89.8,102.6,143,169.4,314.5,586,a66a1194661d0e62095e9f9e3437a54928282af1
2008,January,157,157,157,157,157,157,157,157,157,a66a1194661d0e62095e9f9e3437a54928282af1
2008,November,237,152,160,188.2,209.6,281.4,331,534.6,882,a66a1194661d0e62095e9f9e3437a54928282af1
2008,December,183.5,132,135,146.8,165,219,252,351.4,416,a66a1194661d0e62095e9f9e3437a54928282af1
2008,NA,132,82,88.9,106.8,118.6,157.4,195,326.1,551,a66a1194661d0e62095e9f9e3437a54928282af1
2009,January,90,87,87,87,88.65,93,95.2,108.2,127,a66a1194661d0e62095e9f9e3437a54928282af1
2009,November,285,215,228.9,249,270.6,325,388.2,484,544,a66a1194661d0e62095e9f9e3437a54928282af1
2009,December,109,69,74.95,87.8,99.3,125.4,150,272.4,360,a66a1194661d0e62095e9f9e3437a54928282af1
2009,NA,124,89,95.95,105,114,139.4,163,240,404,a66a1194661d0e62095e9f9e3437a54928282af1
2010,January,118,115,115,116,117,120,121,131,135,a66a1194661d0e62095e9f9e3437a54928282af1
2010,November,184,94,107.9,141.8,162,214.7,247.2,345.1,606,a66a1194661d0e62095e9f9e3437a54928282af1
2010,December,112,68,73.95,85.6,95.65,127.5,156,226.6,410,a66a1194661d0e62095e9f9e3437a54928282af1
2010,NA,79.5,36,49.95,57,69.65,94,128.6,175,186,a66a1194661d0e62095e9f9e3437a54928282af1
2011,January,91.5,70,70.95,75.8,82.65,102,114,144,227,a66a1194661d0e62095e9f9e3437a54928282af1
2011,November,152,75,85.95,109.8,131,180.8,212.2,285.4,494,a66a1194661d0e62095e9f9e3437a54928282af1
2011,December,67.5,15,25.9,42.8,56.3,86.7,106,180.8,245,a66a1194661d0e62095e9f9e3437a54928282af1
2011,NA,59,23,27.95,38.8,48,72,91.2,145,195,a66a1194661d0e62095e9f9e3437a54928282af1
2012,January,148,137,137,139,141.6,155,166,209.2,354,a66a1194661d0e62095e9f9e3437a54928282af1
2012,November,230.5,111,120,173.6,196.6,255,309.8,457.1,677,a66a1194661d0e62095e9f9e3437a54928282af1
2012,December,108,48,57.95,72.6,95,134,165.4,239.6,507,a66a1194661d0e62095e9f9e3437a54928282af1
2012,NA,72,16,22,36.6,49.65,92.7,123,183.6,328,a66a1194661d0e62095e9f9e3437a54928282af1
2013,January,159.5,133,135,143.6,151.6,168.4,185.4,236.2,281,a66a1194661d0e62095e9f9e3437a54928282af1
2013,November,166,67,80.85,107.8,128,199.4,268.4,325.4,642,a66a1194661d0e62095e9f9e3437a54928282af1
2013,December,117,52,68,86.6,103.6,134.4,152.2,228.3,409,a66a1194661d0e62095e9f9e3437a54928282af1
2013,NA,137.5,77,91.8,105,116.6,150,175.2,273.6,393,a66a1194661d0e62095e9f9e3437a54928282af1
2014,January,180.5,154,159,165,172.6,189,201,246,287,a66a1194661d0e62095e9f9e3437a54928282af1
2014,November,160.5,113,119,135.8,146,186,220.4,290.3,528,a66a1194661d0e62095e9f9e3437a54928282af1
2014,December,121,80,90,100,111.6,135.4,156.4,226.2,375,a66a1194661d0e62095e9f9e3437a54928282af1
2014,NA,116,59,69,87.8,99.65,137,155.2,234.1,333,a66a1194661d0e62095e9f9e3437a54928282af1
2015,January,204,128,136,149.6,167.6,223.1,271,423.2,576,a66a1194661d0e62095e9f9e3437a54928282af1
2015,November,228,205,209,215,222,241.7,259.2,306,363,a66a1194661d0e62095e9f9e3437a54928282af1
2015,December,319,259,262,283.8,294.6,342.1,379,472.2,581,a66a1194661d0e62095e9f9e3437a54928282af1
2015,NA,146,106,107,116,130.3,172.4,190,299.8,613,a66a1194661d0e62095e9f9e3437a54928282af1
2016,January,208.5,192,193,197,202.6,217,230,263,327,a66a1194661d0e62095e9f9e3437a54928282af1
2016,November,167.5,60,72.95,107.8,139,189.7,263.2,489.4,656,a66a1194661d0e62095e9f9e3437a54928282af1
2016,December,187.5,136,141.9,160.4,172,197.7,227.4,276.2,335,a66a1194661d0e62095e9f9e3437a54928282af1
2016,NA,152,100,105,126,137.6,173.4,209.2,337.3,754,a66a1194661d0e62095e9f9e3437a54928282af1
2017,January,94.5,66,69.95,78.8,89,108.7,120.4,159.7,253,a66a1194661d0e62095e9f9e3437a54928282af1
2017,November,150,103,108,121.8,137,167,187.8,224.1,437,a66a1194661d0e62095e9f9e3437a54928282af1
2017,December,147,115,120,131.6,139.6,158,175.2,212.1,278,a66a1194661d0e62095e9f9e3437a54928282af1
2017,NA,117,77,80,99.4,110,133,158.2,254.2,492,a66a1194661d0e62095e9f9e3437a54928282af1
2018,January,112,82,85,95.8,100,120.4,144.2,195,258,a66a1194661d0e62095e9f9e3437a54928282af1
2018,November,169,90,105.9,120.8,140.6,191.4,241.4,419.8,572,a66a1194661d0e62095e9f9e3437a54928282af1
2018,December,162,135,139,148,156,181,201.2,241.5,430,a66a1194661d0e62095e9f9e3437a54928282af1
2018,NA,103.5,57,60,72.4,92.65,122.4,147.4,244.6,427,a66a1194661d0e62095e9f9e3437a54928282af1
2019,January,103,81,83.95,90,96,107,119.4,163.2,278,a66a1194661d0e62095e9f9e3437a54928282af1
2019,November,134,74,82.95,101.8,118.6,150.4,203.2,293.2,457,a66a1194661d0e62095e9f9e3437a54928282af1
2019,December,75,27,36.9,49.8,64.65,98.35,119.2,205.3,312,a66a1194661d0e62095e9f9e3437a54928282af1
2019,NA,52,9,13.9,30.6,41,72,92.4,184,478,a66a1194661d0e62095e9f9e3437a54928282af1
2020,January,339,303,311,322,328.6,348.4,363,429.6,599,a66a1194661d0e62095e9f9e3437a54928282af1
2020,November,214,108,134,158.8,190,242.2,286,558,755,a66a1194661d0e62095e9f9e3437a54928282af1
2020,December,106,26,43.95,66.8,89.3,132.7,171,257.5,427,a66a1194661d0e62095e9f9e3437a54928282af1
2020,NA,125,59,72.95,91,108.3,150.7,193.2,288.4,480,a66a1194661d0e62095e9f9e3437a54928282af1
2021,January,115,102,102,104.8,108,122.4,141,176.2,242,a66a1194661d0e62095e9f9e3437a54928282af1
2021,November,275.5,251,253,257,262.6,287.4,298.2,358.2,436,a66a1194661d0e62095e9f9e3437a54928282af1
2021,December,164.5,149,149,153.8,158,170,186.2,238.2,297,a66a1194661d0e62095e9f9e3437a54928282af1
2021,NA,134,124,124,127,130,142.7,160.2,209.4,252,a66a1194661d0e62095e9f9e3437a54928282af1
2022,January,217,216,216,216,216,219,225,238,281,a66a1194661d0e62095e9f9e3437a54928282af1
2022,November,354,352,352,352,352,358,362.2,372.2,406,a66a1194661d0e62095e9f9e3437a54928282af1
2022,December,298.5,290,290,291,295,310,327,377.2,435,a66a1194661d0e62095e9f9e3437a54928282af1
2022,NA,108.5,99,99,100,103,117.1,130.2,193,253,a66a1194661d0e62095e9f9e3437a54928282af1
2023,January,144,135,135,136,139,149.4,160.4,190.3,287,a66a1194661d0e62095e9f9e3437a54928282af1
2023,November,267,266,266,266,266,269,276,291.5,320,a66a1194661d0e62095e9f9e3437a54928282af1
2023,December,20,18,18,18,18,23,26,36.2,59,a66a1194661d0e62095e9f9e3437a54928282af1
2023,NA,187.5,150,155,164.8,172.6,199,222.2,291.7,385,a66a1194661d0e62095e9f9e3437a54928282af1
2024,January,166,166,166,166,166,166,166,166,166,a66a1194661d0e62095e9f9e3437a54928282af1
2024,November,364,363,363,363,363,367.4,372.2,394.1,479,a66a1194661d0e62095e9f9e3437a54928282af1
2024,December,214,214,214,214,214,214,216.2,250,365,a66a1194661d0e62095e9f9e3437a54928282af1
2024,NA,248,248,248,248,248,249.4,253,272,331,a66a1194661d0e62095e9f9e3437a54928282af1
2000,January,189,189,189,189,189,189,189,189,189,db979e8c590dc3ec9bfbaa6f3748384349cb658a
