winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,January,21,21,21,21,21,22,25.2,36,53,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1992,November,3,0,0,0,0,5,9,18.05,26,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1992,December,9,0,0,3,5.65,13,19.2,34,81,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1992,NA,6,0,0,1,4.65,10,15.2,38.05,65,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1993,January,12,8,8,9,10,16.35,22,41.05,54,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1993,November,4,0,0,0,1,7,12,26.05,46,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1993,December,6,0,0,1,3,10,19.2,47.15,73,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1993,NA,5,0,0,1,2,10,15.2,28.15,61,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1994,January,10,0,0,2,5.65,16.35,25.2,39.05,143,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1994,November,5.5,0,0,0,3,9,13.2,25.4,50,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1994,December,7.5,0,0,0,3,13,21,40.1,77,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1994,NA,7.5,0,0,1,4,13.35,21,36.1,66,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1995,January,13,13,13,13,13,17,27,54.15,104,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1995,November,60,60,60,60,60,60,62,78,104,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1995,December,39,39,39,39,39,39,46,70.3,98,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1995,NA,64,64,64,64,64,65.35,70,83.25,108,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1996,January,123,123,123,123,123,123,123,123,123,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1996,November,17,17,17,17,17,17,17,17,17,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1996,December,58,58,58,58,58,58,58,58,58,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1996,NA,2.5,0,0,0,0,6.35,16.2,40.2,131,8049033b40af8d530a3d2d2de2c07d52079fa4a6
1997,January,6,6,6,6,6,10,17,59.65,178,8049033b40af8d530a3d2d2de2c07d52079fa4a6
