analysis,centre_winter,duration,estimate,se,lcl,ucl
7d7dabff364c6d243fbc7e111ff878a57dd70688,2004.5,10,-0.06765,0.09354,-0.251,0.1157
7d7dabff364c6d243fbc7e111ff878a57dd70688,2005.5,10,-0.0623,0.08474,-0.2284,0.1038
7d7dabff364c6d243fbc7e111ff878a57dd70688,2006.5,10,-0.08495,0.0981,-0.2772,0.1073
7d7dabff364c6d243fbc7e111ff878a57dd70688,2007.5,10,-0.1691,0.1211,-0.4064,0.06817
7d7dabff364c6d243fbc7e111ff878a57dd70688,2008.5,10,-0.2802,0.159,-0.5918,0.03144
7d7dabff364c6d243fbc7e111ff878a57dd70688,2009.5,10,-0.3535,0.185,-0.7162,0.009138
7d7dabff364c6d243fbc7e111ff878a57dd70688,2010.5,10,-0.4308,0.2101,-0.8425,-0.01904
7d7dabff364c6d243fbc7e111ff878a57dd70688,2011.5,10,-0.469,0.2259,-0.9118,-0.02616
7d7dabff364c6d243fbc7e111ff878a57dd70688,2012.5,10,-0.387,0.1939,-0.7671,-0.006946
7d7dabff364c6d243fbc7e111ff878a57dd70688,2013.5,10,-0.2837,0.1595,-0.5963,0.02888
7d7dabff364c6d243fbc7e111ff878a57dd70688,2014.5,10,-0.05385,0.1306,-0.3098,0.2021
7d7dabff364c6d243fbc7e111ff878a57dd70688,2015.5,10,0.08797,0.1719,-0.249,0.4249
7d7dabff364c6d243fbc7e111ff878a57dd70688,2016.5,10,0.1109,0.1924,-0.2661,0.488
7d7dabff364c6d243fbc7e111ff878a57dd70688,2017.5,10,0.06928,0.2002,-0.3231,0.4616
7d7dabff364c6d243fbc7e111ff878a57dd70688,2018.5,10,-0.001999,0.2109,-0.4153,0.4113
7d7dabff364c6d243fbc7e111ff878a57dd70688,2005.5,12,-0.1119,0.07588,-0.2606,0.03686
7d7dabff364c6d243fbc7e111ff878a57dd70688,2006.5,12,-0.184,0.0947,-0.3696,0.001591
7d7dabff364c6d243fbc7e111ff878a57dd70688,2007.5,12,-0.2208,0.1167,-0.4495,0.007991
7d7dabff364c6d243fbc7e111ff878a57dd70688,2008.5,12,-0.2724,0.14,-0.5468,0.00201
7d7dabff364c6d243fbc7e111ff878a57dd70688,2009.5,12,-0.3273,0.1607,-0.6423,-0.01233
7d7dabff364c6d243fbc7e111ff878a57dd70688,2010.5,12,-0.3422,0.1636,-0.6628,-0.02154
7d7dabff364c6d243fbc7e111ff878a57dd70688,2011.5,12,-0.3502,0.1615,-0.6668,-0.03362
7d7dabff364c6d243fbc7e111ff878a57dd70688,2012.5,12,-0.3193,0.1459,-0.6053,-0.03338
7d7dabff364c6d243fbc7e111ff878a57dd70688,2013.5,12,-0.1787,0.1012,-0.3771,0.01963
7d7dabff364c6d243fbc7e111ff878a57dd70688,2014.5,12,-0.1193,0.0953,-0.3061,0.06746
7d7dabff364c6d243fbc7e111ff878a57dd70688,2015.5,12,-0.05315,0.1123,-0.2732,0.1669
7d7dabff364c6d243fbc7e111ff878a57dd70688,2016.5,12,0.0002996,0.1415,-0.277,0.2776
7d7dabff364c6d243fbc7e111ff878a57dd70688,2017.5,12,0.0001247,0.1641,-0.3216,0.3218
7d7dabff364c6d243fbc7e111ff878a57dd70688,2011.5,24,-0.1739,0.06012,-0.2918,-0.05611
cd12f478235b4b1f5f4526e07538eae085cdf508,2004.5,10,-0.04128,0.08638,-0.2106,0.128
cd12f478235b4b1f5f4526e07538eae085cdf508,2005.5,10,-0.06458,0.08496,-0.2311,0.1019
cd12f478235b4b1f5f4526e07538eae085cdf508,2006.5,10,-0.1074,0.1024,-0.3081,0.09323
cd12f478235b4b1f5f4526e07538eae085cdf508,2007.5,10,-0.1748,0.1453,-0.4596,0.11
cd12f478235b4b1f5f4526e07538eae085cdf508,2008.5,10,-0.2403,0.2019,-0.6359,0.1554
cd12f478235b4b1f5f4526e07538eae085cdf508,2009.5,10,-0.2585,0.2222,-0.694,0.177
cd12f478235b4b1f5f4526e07538eae085cdf508,2010.5,10,-0.2832,0.2494,-0.772,0.2057
cd12f478235b4b1f5f4526e07538eae085cdf508,2011.5,10,-0.2837,0.2631,-0.7993,0.232
cd12f478235b4b1f5f4526e07538eae085cdf508,2012.5,10,-0.2006,0.204,-0.6005,0.1994
cd12f478235b4b1f5f4526e07538eae085cdf508,2013.5,10,-0.116,0.151,-0.4119,0.18
cd12f478235b4b1f5f4526e07538eae085cdf508,2014.5,10,0.03718,0.114,-0.1862,0.2606
cd12f478235b4b1f5f4526e07538eae085cdf508,2015.5,10,0.1178,0.1725,-0.2203,0.456
cd12f478235b4b1f5f4526e07538eae085cdf508,2016.5,10,0.1216,0.1867,-0.2444,0.4875
cd12f478235b4b1f5f4526e07538eae085cdf508,2017.5,10,0.08134,0.1774,-0.2663,0.4289
cd12f478235b4b1f5f4526e07538eae085cdf508,2018.5,10,0.01999,0.1744,-0.3218,0.3618
cd12f478235b4b1f5f4526e07538eae085cdf508,2005.5,12,-0.08809,0.08402,-0.2528,0.07659
cd12f478235b4b1f5f4526e07538eae085cdf508,2006.5,12,-0.1399,0.1154,-0.3661,0.08636
cd12f478235b4b1f5f4526e07538eae085cdf508,2007.5,12,-0.1771,0.1446,-0.4605,0.1063
cd12f478235b4b1f5f4526e07538eae085cdf508,2008.5,12,-0.2161,0.1784,-0.5659,0.1336
cd12f478235b4b1f5f4526e07538eae085cdf508,2009.5,12,-0.2435,0.2059,-0.6471,0.1601
cd12f478235b4b1f5f4526e07538eae085cdf508,2010.5,12,-0.2294,0.1973,-0.6162,0.1574
cd12f478235b4b1f5f4526e07538eae085cdf508,2011.5,12,-0.2131,0.1883,-0.5821,0.156
cd12f478235b4b1f5f4526e07538eae085cdf508,2012.5,12,-0.172,0.1615,-0.4884,0.1445
cd12f478235b4b1f5f4526e07538eae085cdf508,2013.5,12,-0.05513,0.08271,-0.2172,0.107
cd12f478235b4b1f5f4526e07538eae085cdf508,2014.5,12,-0.009966,0.07793,-0.1627,0.1428
cd12f478235b4b1f5f4526e07538eae085cdf508,2015.5,12,0.0225,0.09644,-0.1665,0.2115
cd12f478235b4b1f5f4526e07538eae085cdf508,2016.5,12,0.0421,0.123,-0.199,0.2832
cd12f478235b4b1f5f4526e07538eae085cdf508,2017.5,12,0.03015,0.1384,-0.2411,0.3014
cd12f478235b4b1f5f4526e07538eae085cdf508,2011.5,24,-0.09892,0.07554,-0.247,0.04914
