analysis,centre_winter,duration,estimate,se,lcl,ucl
044c2441317b3fc19cb9bab57c7129a097ef1003,1994,5,0.7084,0.4783,-0.229,1.646
044c2441317b3fc19cb9bab57c7129a097ef1003,1995,5,1.117,0.3411,0.4481,1.785
044c2441317b3fc19cb9bab57c7129a097ef1003,1996,5,1.42,0.2504,0.9293,1.911
044c2441317b3fc19cb9bab57c7129a097ef1003,1997,5,1.666,0.1944,1.284,2.047
044c2441317b3fc19cb9bab57c7129a097ef1003,1998,5,1.848,0.1877,1.48,2.216
044c2441317b3fc19cb9bab57c7129a097ef1003,1999,5,1.792,0.1959,1.408,2.176
044c2441317b3fc19cb9bab57c7129a097ef1003,2000,5,1.674,0.2114,1.26,2.088
044c2441317b3fc19cb9bab57c7129a097ef1003,2001,5,1.681,0.2114,1.267,2.096
044c2441317b3fc19cb9bab57c7129a097ef1003,2002,5,1.635,0.2199,1.204,2.066
044c2441317b3fc19cb9bab57c7129a097ef1003,2003,5,1.607,0.2259,1.164,2.05
044c2441317b3fc19cb9bab57c7129a097ef1003,2004,5,1.636,0.2168,1.211,2.061
044c2441317b3fc19cb9bab57c7129a097ef1003,2005,5,1.682,0.2111,1.268,2.095
044c2441317b3fc19cb9bab57c7129a097ef1003,2006,5,1.709,0.2058,1.305,2.112
044c2441317b3fc19cb9bab57c7129a097ef1003,2007,5,1.704,0.1965,1.318,2.089
044c2441317b3fc19cb9bab57c7129a097ef1003,2008,5,1.705,0.1916,1.329,2.08
044c2441317b3fc19cb9bab57c7129a097ef1003,2009,5,1.73,0.1916,1.354,2.105
044c2441317b3fc19cb9bab57c7129a097ef1003,2010,5,1.746,0.1913,1.372,2.121
044c2441317b3fc19cb9bab57c7129a097ef1003,2011,5,1.641,0.1918,1.265,2.016
044c2441317b3fc19cb9bab57c7129a097ef1003,2012,5,1.539,0.1943,1.159,1.92
044c2441317b3fc19cb9bab57c7129a097ef1003,2013,5,1.422,0.2034,1.023,1.82
044c2441317b3fc19cb9bab57c7129a097ef1003,2014,5,1.224,0.227,0.779,1.669
044c2441317b3fc19cb9bab57c7129a097ef1003,2015,5,0.9969,0.2526,0.5018,1.492
044c2441317b3fc19cb9bab57c7129a097ef1003,2016,5,0.8324,0.2657,0.3116,1.353
044c2441317b3fc19cb9bab57c7129a097ef1003,2017,5,0.6578,0.2723,0.1242,1.191
044c2441317b3fc19cb9bab57c7129a097ef1003,2018,5,0.3831,0.2889,-0.1832,0.9494
044c2441317b3fc19cb9bab57c7129a097ef1003,2019,5,0.1281,0.3099,-0.4792,0.7355
044c2441317b3fc19cb9bab57c7129a097ef1003,2020,5,-0.01305,0.3101,-0.6208,0.5947
044c2441317b3fc19cb9bab57c7129a097ef1003,2021,5,-0.1143,0.3141,-0.7299,0.5014
044c2441317b3fc19cb9bab57c7129a097ef1003,2022,5,-0.09467,0.3013,-0.6853,0.4959
044c2441317b3fc19cb9bab57c7129a097ef1003,1996.5,10,1.25,0.2603,0.7399,1.76
044c2441317b3fc19cb9bab57c7129a097ef1003,1997.5,10,1.395,0.2124,0.979,1.812
044c2441317b3fc19cb9bab57c7129a097ef1003,1998.5,10,1.551,0.1733,1.211,1.89
044c2441317b3fc19cb9bab57c7129a097ef1003,1999.5,10,1.65,0.1582,1.34,1.96
044c2441317b3fc19cb9bab57c7129a097ef1003,2000.5,10,1.728,0.1567,1.42,2.035
044c2441317b3fc19cb9bab57c7129a097ef1003,2001.5,10,1.714,0.1602,1.4,2.028
044c2441317b3fc19cb9bab57c7129a097ef1003,2002.5,10,1.678,0.1638,1.357,1.999
044c2441317b3fc19cb9bab57c7129a097ef1003,2003.5,10,1.695,0.1612,1.379,2.011
044c2441317b3fc19cb9bab57c7129a097ef1003,2004.5,10,1.669,0.1622,1.352,1.987
044c2441317b3fc19cb9bab57c7129a097ef1003,2005.5,10,1.656,0.1614,1.34,1.972
044c2441317b3fc19cb9bab57c7129a097ef1003,2006.5,10,1.683,0.1555,1.378,1.988
044c2441317b3fc19cb9bab57c7129a097ef1003,2007.5,10,1.714,0.1521,1.416,2.012
044c2441317b3fc19cb9bab57c7129a097ef1003,2008.5,10,1.675,0.1508,1.379,1.97
044c2441317b3fc19cb9bab57c7129a097ef1003,2009.5,10,1.622,0.1487,1.33,1.913
044c2441317b3fc19cb9bab57c7129a097ef1003,2010.5,10,1.563,0.1502,1.269,1.858
044c2441317b3fc19cb9bab57c7129a097ef1003,2011.5,10,1.477,0.1589,1.165,1.788
044c2441317b3fc19cb9bab57c7129a097ef1003,2012.5,10,1.372,0.1685,1.041,1.702
044c2441317b3fc19cb9bab57c7129a097ef1003,2013.5,10,1.236,0.1772,0.8891,1.584
044c2441317b3fc19cb9bab57c7129a097ef1003,2014.5,10,1.099,0.1833,0.7394,1.458
044c2441317b3fc19cb9bab57c7129a097ef1003,2015.5,10,0.9023,0.1942,0.5218,1.283
044c2441317b3fc19cb9bab57c7129a097ef1003,2016.5,10,0.6761,0.2123,0.2599,1.092
044c2441317b3fc19cb9bab57c7129a097ef1003,2017.5,10,0.4919,0.2242,0.0525,0.9314
044c2441317b3fc19cb9bab57c7129a097ef1003,2018.5,10,0.3591,0.2303,-0.09227,0.8104
044c2441317b3fc19cb9bab57c7129a097ef1003,2019.5,10,0.2816,0.2297,-0.1687,0.7319
35a8c10beab7f40045295ecd299bd0f3036ac8d2,1994,5,2.285,0.4803,1.344,3.227
35a8c10beab7f40045295ecd299bd0f3036ac8d2,1995,5,2.613,0.3237,1.979,3.248
35a8c10beab7f40045295ecd299bd0f3036ac8d2,1996,5,2.871,0.2282,2.424,3.318
35a8c10beab7f40045295ecd299bd0f3036ac8d2,1997,5,3.078,0.1877,2.71,3.446
35a8c10beab7f40045295ecd299bd0f3036ac8d2,1998,5,3.183,0.1999,2.791,3.575
35a8c10beab7f40045295ecd299bd0f3036ac8d2,1999,5,3.075,0.1939,2.695,3.455
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2000,5,2.939,0.2114,2.525,3.353
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2001,5,2.886,0.2153,2.464,3.308
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2002,5,2.808,0.2321,2.353,3.263
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2003,5,2.788,0.233,2.331,3.244
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2004,5,2.816,0.2152,2.394,3.237
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2005,5,2.862,0.2035,2.463,3.26
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2006,5,2.856,0.201,2.462,3.25
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2007,5,2.857,0.1938,2.477,3.236
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2008,5,2.861,0.193,2.483,3.239
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2009,5,2.904,0.1912,2.529,3.279
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2010,5,3.02,0.1882,2.651,3.389
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2011,5,3.014,0.1874,2.647,3.381
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2012,5,2.957,0.1883,2.588,3.326
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2013,5,2.879,0.1955,2.496,3.262
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2014,5,2.715,0.2165,2.291,3.139
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2015,5,2.454,0.2561,1.952,2.956
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2016,5,2.307,0.2686,1.781,2.834
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2017,5,2.191,0.2748,1.653,2.73
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2018,5,2.004,0.302,1.412,2.596
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2019,5,1.832,0.334,1.178,2.487
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2020,5,1.764,0.3312,1.115,2.414
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2021,5,1.73,0.3277,1.088,2.373
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2022,5,1.739,0.3198,1.113,2.366
35a8c10beab7f40045295ecd299bd0f3036ac8d2,1996.5,10,2.68,0.26,2.17,3.19
35a8c10beab7f40045295ecd299bd0f3036ac8d2,1997.5,10,2.776,0.2123,2.36,3.192
35a8c10beab7f40045295ecd299bd0f3036ac8d2,1998.5,10,2.878,0.1722,2.541,3.216
35a8c10beab7f40045295ecd299bd0f3036ac8d2,1999.5,10,2.943,0.1571,2.635,3.251
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2000.5,10,2.986,0.1555,2.681,3.29
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2001.5,10,2.945,0.1597,2.632,3.258
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2002.5,10,2.9,0.1641,2.579,3.222
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2003.5,10,2.871,0.1655,2.546,3.195
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2004.5,10,2.832,0.1711,2.497,3.167
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2005.5,10,2.824,0.1707,2.49,3.159
35a8c10beab7f40045295ecd299bd0f3036ac8d2,2006.5,10,2.86,0.1599,2.546,3.173
