winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2001,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2002,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2003,1,1,1,1,1,1,1,1,1,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2004,1,1,1,1,1,1,1,1,1,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2005,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2006,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2007,2,2,2,2,2,2,2,2,2,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2008,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2009,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2010,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2011,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2012,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2013,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2014,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2015,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2016,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2017,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2018,1,1,1,1,1,1,1,1,1,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2019,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2020,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2021,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2022,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2023,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
2024,0,0,0,0,0,0,0,0,0,eb7dffb9dfb6df9c2d2179b7dbaf2603d558d022
