analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2001,1,-0.8716,0.6739,-2.192,0.4492
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2002,1,-1.065,0.6657,-2.37,0.2394
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2003,1,-1.519,0.8949,-3.273,0.2352
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2004,1,-1.426,0.8374,-3.067,0.2153
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2005,1,-0.8245,0.6089,-2.018,0.369
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2006,1,-1.32,0.7889,-2.866,0.226
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2007,1,-1.241,0.6998,-2.613,0.1301
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2008,1,-1.06,0.6211,-2.277,0.1574
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2009,1,-1.466,0.7159,-2.869,-0.06304
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2010,1,-1.488,0.6618,-2.785,-0.1912
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2011,1,-1.697,0.6451,-2.962,-0.4327
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2012,1,-2.281,0.7448,-3.74,-0.8209
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2013,1,-2.846,0.9592,-4.726,-0.9663
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2014,1,-3.03,0.9204,-4.834,-1.226
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2015,1,-3.059,0.8169,-4.66,-1.458
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2016,1,-3.073,0.8006,-4.642,-1.504
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2017,1,-2.974,0.733,-4.411,-1.537
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2018,1,-2.896,0.7097,-4.287,-1.505
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2019,1,-2.863,0.709,-4.253,-1.474
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2020,1,-2.812,0.6946,-4.173,-1.451
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2021,1,-2.709,0.66,-4.003,-1.416
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2022,1,-3.076,0.7957,-4.635,-1.516
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2023,1,-3.019,0.7757,-4.539,-1.498
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2000,2024,1,-2.772,0.7127,-4.169,-1.375
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2002,1,-0.1938,0.5207,-1.214,0.8268
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2003,1,-0.6454,0.6685,-1.956,0.6647
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2004,1,-0.553,0.6915,-1.908,0.8023
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2005,1,0.04768,0.7589,-1.44,1.535
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2006,1,-0.4476,0.7394,-1.897,1.002
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2007,1,-0.369,0.747,-1.833,1.095
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2008,1,-0.1876,0.7858,-1.728,1.353
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2009,1,-0.5937,0.7515,-2.067,0.8791
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2010,1,-0.6158,0.7785,-2.142,0.91
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2011,1,-0.8249,0.7673,-2.329,0.6791
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2012,1,-1.408,0.7481,-2.875,0.05777
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2013,1,-1.974,0.8307,-3.602,-0.3459
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2014,1,-2.158,0.8187,-3.763,-0.5533
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2015,1,-2.187,0.771,-3.698,-0.6754
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2016,1,-2.201,0.7744,-3.719,-0.683
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2017,1,-2.102,0.766,-3.603,-0.6006
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2018,1,-2.024,0.77,-3.533,-0.5146
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2019,1,-1.991,0.7717,-3.503,-0.4783
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2020,1,-1.94,0.7754,-3.459,-0.4198
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2021,1,-1.837,0.7921,-3.389,-0.2846
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2022,1,-2.203,0.7708,-3.714,-0.6924
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2023,1,-2.146,0.7907,-3.696,-0.5966
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2001,2024,1,-1.899,0.832,-3.53,-0.2687
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2002,2003,1,-0.4523,0.5563,-1.543,0.6381
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2002,2004,1,-0.3603,0.6088,-1.554,0.8329
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2002,2005,1,0.2407,0.6348,-1.004,1.485
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2002,2006,1,-0.255,0.6773,-1.583,1.073
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2002,2007,1,-0.1764,0.6599,-1.47,1.117
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2002,2008,1,0.005019,0.6804,-1.329,1.339
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2002,2009,1,-0.4012,0.6732,-1.721,0.9183
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2002,2010,1,-0.4232,0.6781,-1.752,0.9058
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2002,2011,1,-0.6322,0.6589,-1.924,0.6592
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2002,2012,1,-1.216,0.6736,-2.536,0.1043
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2002,2013,1,-1.782,0.8052,-3.36,-0.2034
0a27f47243e25f2480e23440cd0c33ceab7d5bee,2002,2014,1,-1.965,0.7799,-3.494,-0.4369
