analysis,centre_winter,duration,estimate,se,lcl,ucl
68cc3f39c0e9071ba17254cca85cb087fd40e876,1994,5,5.33,0.2881,4.765,5.894
68cc3f39c0e9071ba17254cca85cb087fd40e876,1995,5,5.66,0.209,5.251,6.07
68cc3f39c0e9071ba17254cca85cb087fd40e876,1996,5,5.882,0.1952,5.5,6.265
68cc3f39c0e9071ba17254cca85cb087fd40e876,1997,5,6.161,0.1786,5.811,6.511
68cc3f39c0e9071ba17254cca85cb087fd40e876,1998,5,6.345,0.1786,5.995,6.695
68cc3f39c0e9071ba17254cca85cb087fd40e876,1999,5,6.432,0.1798,6.08,6.785
68cc3f39c0e9071ba17254cca85cb087fd40e876,2000,5,6.462,0.1826,6.104,6.82
68cc3f39c0e9071ba17254cca85cb087fd40e876,2001,5,6.56,0.1815,6.205,6.916
68cc3f39c0e9071ba17254cca85cb087fd40e876,2002,5,6.625,0.1823,6.268,6.983
68cc3f39c0e9071ba17254cca85cb087fd40e876,2003,5,6.725,0.178,6.376,7.074
68cc3f39c0e9071ba17254cca85cb087fd40e876,2004,5,6.775,0.1752,6.431,7.118
68cc3f39c0e9071ba17254cca85cb087fd40e876,2005,5,6.752,0.1735,6.412,7.092
68cc3f39c0e9071ba17254cca85cb087fd40e876,2006,5,6.657,0.1788,6.306,7.007
68cc3f39c0e9071ba17254cca85cb087fd40e876,2007,5,6.587,0.1863,6.222,6.952
68cc3f39c0e9071ba17254cca85cb087fd40e876,2008,5,6.56,0.1885,6.191,6.93
68cc3f39c0e9071ba17254cca85cb087fd40e876,2009,5,6.579,0.1869,6.212,6.945
68cc3f39c0e9071ba17254cca85cb087fd40e876,2010,5,6.647,0.1817,6.291,7.003
68cc3f39c0e9071ba17254cca85cb087fd40e876,2011,5,6.736,0.179,6.385,7.087
68cc3f39c0e9071ba17254cca85cb087fd40e876,2012,5,6.767,0.179,6.416,7.118
68cc3f39c0e9071ba17254cca85cb087fd40e876,2013,5,6.737,0.175,6.394,7.08
68cc3f39c0e9071ba17254cca85cb087fd40e876,2014,5,6.697,0.17,6.364,7.031
68cc3f39c0e9071ba17254cca85cb087fd40e876,2015,5,6.655,0.1683,6.325,6.985
68cc3f39c0e9071ba17254cca85cb087fd40e876,2016,5,6.628,0.1684,6.298,6.958
68cc3f39c0e9071ba17254cca85cb087fd40e876,2017,5,6.659,0.1653,6.335,6.983
68cc3f39c0e9071ba17254cca85cb087fd40e876,2018,5,6.708,0.1629,6.389,7.027
68cc3f39c0e9071ba17254cca85cb087fd40e876,2019,5,6.775,0.161,6.459,7.09
68cc3f39c0e9071ba17254cca85cb087fd40e876,2020,5,6.836,0.1614,6.52,7.152
68cc3f39c0e9071ba17254cca85cb087fd40e876,2021,5,6.881,0.1646,6.559,7.204
68cc3f39c0e9071ba17254cca85cb087fd40e876,2022,5,6.906,0.1737,6.566,7.247
68cc3f39c0e9071ba17254cca85cb087fd40e876,1996.5,10,5.881,0.177,5.534,6.228
68cc3f39c0e9071ba17254cca85cb087fd40e876,1997.5,10,6.061,0.1534,5.76,6.362
68cc3f39c0e9071ba17254cca85cb087fd40e876,1998.5,10,6.221,0.1461,5.935,6.508
68cc3f39c0e9071ba17254cca85cb087fd40e876,1999.5,10,6.393,0.1409,6.117,6.67
68cc3f39c0e9071ba17254cca85cb087fd40e876,2000.5,10,6.535,0.1415,6.258,6.812
68cc3f39c0e9071ba17254cca85cb087fd40e876,2001.5,10,6.603,0.1401,6.329,6.878
68cc3f39c0e9071ba17254cca85cb087fd40e876,2002.5,10,6.607,0.137,6.338,6.875
68cc3f39c0e9071ba17254cca85cb087fd40e876,2003.5,10,6.608,0.1377,6.339,6.878
68cc3f39c0e9071ba17254cca85cb087fd40e876,2004.5,10,6.606,0.1395,6.333,6.879
68cc3f39c0e9071ba17254cca85cb087fd40e876,2005.5,10,6.643,0.1373,6.374,6.912
68cc3f39c0e9071ba17254cca85cb087fd40e876,2006.5,10,6.677,0.1366,6.409,6.944
68cc3f39c0e9071ba17254cca85cb087fd40e876,2007.5,10,6.699,0.1372,6.43,6.968
68cc3f39c0e9071ba17254cca85cb087fd40e876,2008.5,10,6.696,0.1373,6.427,6.965
68cc3f39c0e9071ba17254cca85cb087fd40e876,2009.5,10,6.677,0.1376,6.407,6.947
68cc3f39c0e9071ba17254cca85cb087fd40e876,2010.5,10,6.649,0.1382,6.378,6.919
