winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,January,0,0,0,0,0,0,0,0,68,5bad4525a4b303975db33baf41d0476ae4bda508
1992,March,0,0,0,0,0,0,0,0,23,5bad4525a4b303975db33baf41d0476ae4bda508
1992,October,0,0,0,0,0,0,0,0.4,34,5bad4525a4b303975db33baf41d0476ae4bda508
1992,November,0,0,0,0,0,0,0,0,73,5bad4525a4b303975db33baf41d0476ae4bda508
1992,December,0,0,0,0,0,0,0,0,15,5bad4525a4b303975db33baf41d0476ae4bda508
1992,NA,0,0,0,0,0,0,0,5.05,13,5bad4525a4b303975db33baf41d0476ae4bda508
1993,January,0,0,0,0,0,0,0,0,0,5bad4525a4b303975db33baf41d0476ae4bda508
1993,March,0,0,0,0,0,0,0,0,40,5bad4525a4b303975db33baf41d0476ae4bda508
1993,October,1,1,1,1,1,1,1,1,26,5bad4525a4b303975db33baf41d0476ae4bda508
1993,November,0,0,0,0,0,0,0,0,57,5bad4525a4b303975db33baf41d0476ae4bda508
1993,December,0,0,0,0,0,0,0,0,0,5bad4525a4b303975db33baf41d0476ae4bda508
1993,NA,0,0,0,0,0,0,0,0,8,5bad4525a4b303975db33baf41d0476ae4bda508
1994,January,125,125,125,125,125,125,125,125,129,5bad4525a4b303975db33baf41d0476ae4bda508
1994,March,48,48,48,48,48,48,50,60.05,84,5bad4525a4b303975db33baf41d0476ae4bda508
1994,October,128,128,128,128,128,128,128,130,247,5bad4525a4b303975db33baf41d0476ae4bda508
1994,November,118,118,118,118,118,118,118,118.2,145,5bad4525a4b303975db33baf41d0476ae4bda508
1994,December,112,112,112,112,112,112,112,114,150,5bad4525a4b303975db33baf41d0476ae4bda508
1994,NA,123,123,123,123,123,123,123.2,132,143,5bad4525a4b303975db33baf41d0476ae4bda508
1995,January,0,0,0,0,0,0,0,17.5,119,5bad4525a4b303975db33baf41d0476ae4bda508
1995,March,5,5,5,5,5,5,11.2,33.05,145,5bad4525a4b303975db33baf41d0476ae4bda508
1995,October,25,25,25,25,25,25,25,43.55,111,5bad4525a4b303975db33baf41d0476ae4bda508
