analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2001,1,-0.08533,0.3265,-0.7252,0.5546
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2002,1,-0.05989,0.4016,-0.8471,0.7273
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2003,1,0.07861,0.4328,-0.7697,0.9269
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2004,1,-0.1912,0.4728,-1.118,0.7355
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2005,1,-0.1519,0.4747,-1.082,0.7785
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2006,1,-0.1603,0.4892,-1.119,0.7986
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2007,1,-0.07156,0.48,-1.012,0.8693
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2008,1,-0.007478,0.4793,-0.9469,0.9319
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2009,1,-0.1789,0.5301,-1.218,0.8601
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2010,1,-0.05893,0.5522,-1.141,1.023
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2011,1,0.002562,0.5741,-1.123,1.128
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2012,1,0.1621,0.5676,-0.9504,1.275
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2013,1,0.6548,0.4803,-0.2866,1.596
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2014,1,1.324,0.4651,0.4125,2.235
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2015,1,1.056,0.4422,0.1891,1.922
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2016,1,0.9047,0.4495,0.02375,1.786
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2017,1,0.9487,0.4446,0.07736,1.82
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2018,1,0.9118,0.4449,0.03975,1.784
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2019,1,0.9152,0.4448,0.04349,1.787
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2020,1,0.6904,0.4686,-0.2281,1.609
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2021,1,0.8966,0.446,0.02245,1.771
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2022,1,0.9666,0.4463,0.09192,1.841
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2023,1,0.7133,0.4651,-0.1982,1.625
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2000,2024,1,0.641,0.4909,-0.3212,1.603
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2002,1,0.02546,0.3124,-0.5869,0.6378
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2003,1,0.164,0.3899,-0.6001,0.9281
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2004,1,-0.1058,0.4243,-0.9375,0.7259
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2005,1,-0.06653,0.4357,-0.9205,0.7874
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2006,1,-0.07492,0.4517,-0.9603,0.8105
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2007,1,0.0138,0.4469,-0.8621,0.8897
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2008,1,0.07788,0.4484,-0.8009,0.9567
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2009,1,-0.09355,0.4873,-1.049,0.8615
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2010,1,0.02642,0.5119,-0.9768,1.03
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2011,1,0.08791,0.5302,-0.9512,1.127
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2012,1,0.2474,0.5214,-0.7745,1.269
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2013,1,0.7402,0.4445,-0.1311,1.611
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2014,1,1.409,0.4569,0.5137,2.305
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2015,1,1.141,0.415,0.3278,1.954
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2016,1,0.99,0.4156,0.1756,1.805
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2017,1,1.034,0.4153,0.22,1.848
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2018,1,0.9971,0.4147,0.1843,1.81
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2019,1,1.001,0.417,0.1833,1.818
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2020,1,0.7757,0.4285,-0.06411,1.616
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2021,1,0.9819,0.4181,0.1624,1.801
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2022,1,1.052,0.4237,0.2215,1.882
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2023,1,0.7987,0.4305,-0.04499,1.642
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2001,2024,1,0.7263,0.4574,-0.1701,1.623
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2003,1,0.1384,0.3185,-0.4857,0.7626
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2004,1,-0.1312,0.3897,-0.8951,0.6326
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2005,1,-0.092,0.4127,-0.9008,0.7168
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2006,1,-0.1004,0.4355,-0.9539,0.7531
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2007,1,-0.01167,0.4325,-0.8594,0.836
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2008,1,0.05241,0.4353,-0.8008,0.9056
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2009,1,-0.119,0.4803,-1.06,0.8223
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2010,1,0.0009475,0.5056,-0.99,0.9919
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2011,1,0.06243,0.5259,-0.9683,1.093
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2012,1,0.2219,0.5177,-0.7927,1.237
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2013,1,0.7147,0.4351,-0.1381,1.567
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2014,1,1.384,0.4403,0.5208,2.247
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2015,1,1.116,0.4017,0.3284,1.903
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2016,1,0.9646,0.4042,0.1724,1.757
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2017,1,1.009,0.4025,0.2196,1.798
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2018,1,0.9716,0.4021,0.1836,1.76
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2019,1,0.9751,0.4038,0.1837,1.767
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2020,1,0.7503,0.4195,-0.07198,1.573
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2021,1,0.9564,0.405,0.1626,1.75
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2022,1,1.026,0.4094,0.2241,1.829
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2023,1,0.7732,0.4199,-0.04987,1.596
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2002,2024,1,0.7008,0.4478,-0.1768,1.578
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2004,1,-0.2697,0.3445,-0.945,0.4056
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2005,1,-0.2305,0.3885,-0.9919,0.5309
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2006,1,-0.2389,0.4278,-1.077,0.5995
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2007,1,-0.1502,0.4242,-0.9815,0.6812
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2008,1,-0.08609,0.4273,-0.9236,0.7514
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2009,1,-0.2575,0.5024,-1.242,0.7271
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2010,1,-0.1376,0.5266,-1.17,0.8946
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2011,1,-0.07608,0.556,-1.166,1.014
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2012,1,0.08339,0.5518,-0.9982,1.165
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2013,1,0.5762,0.4424,-0.291,1.443
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2014,1,1.245,0.3943,0.4726,2.018
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2015,1,0.9772,0.3886,0.2155,1.739
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2016,1,0.8261,0.4045,0.03329,1.619
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2017,1,0.8701,0.3932,0.09934,1.641
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2018,1,0.8332,0.3944,0.0602,1.606
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2019,1,0.8366,0.3916,0.06907,1.604
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2020,1,0.6118,0.4334,-0.2377,1.461
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2021,1,0.818,0.3933,0.04709,1.589
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2022,1,0.888,0.3877,0.1281,1.648
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2023,1,0.6347,0.4235,-0.1952,1.465
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2003,2024,1,0.5624,0.4523,-0.3241,1.449
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2005,1,0.03919,0.3151,-0.5784,0.6568
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2006,1,0.03085,0.3881,-0.7298,0.7915
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2007,1,0.1196,0.4142,-0.6922,0.9314
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2008,1,0.1837,0.4304,-0.66,1.027
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2009,1,0.01222,0.4595,-0.8884,0.9128
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2010,1,0.1322,0.489,-0.8263,1.091
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2011,1,0.1937,0.5042,-0.7946,1.182
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2012,1,0.3532,0.4943,-0.6155,1.322
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2013,1,0.8459,0.4346,-0.005799,1.698
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2014,1,1.515,0.4773,0.5797,2.451
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2015,1,1.247,0.4188,0.4261,2.068
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2016,1,1.096,0.4118,0.2887,1.903
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2017,1,1.14,0.4167,0.323,1.957
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2018,1,1.103,0.4151,0.2893,1.917
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2019,1,1.106,0.4198,0.2837,1.929
4def318dbdf8975d3ed1fbfc1e776f283f0c3764,2004,2020,1,0.8815,0.4166,0.06507,1.698
