analysis,winter,estimate,se,lcl,ucl
56bec996539ccf61715836e4ac81d671a11dfbcb,1992,4.46,0.2587,3.952,4.967
56bec996539ccf61715836e4ac81d671a11dfbcb,1993,4.427,0.2751,3.888,4.966
56bec996539ccf61715836e4ac81d671a11dfbcb,1994,4.508,0.2321,4.053,4.963
56bec996539ccf61715836e4ac81d671a11dfbcb,1995,4.659,0.2083,4.251,5.067
56bec996539ccf61715836e4ac81d671a11dfbcb,1996,4.68,0.2104,4.268,5.092
56bec996539ccf61715836e4ac81d671a11dfbcb,1997,4.592,0.1951,4.21,4.974
56bec996539ccf61715836e4ac81d671a11dfbcb,1998,4.547,0.2012,4.153,4.942
56bec996539ccf61715836e4ac81d671a11dfbcb,1999,4.585,0.1893,4.214,4.957
56bec996539ccf61715836e4ac81d671a11dfbcb,2000,4.519,0.1889,4.149,4.89
56bec996539ccf61715836e4ac81d671a11dfbcb,2001,4.432,0.2106,4.019,4.845
56bec996539ccf61715836e4ac81d671a11dfbcb,2002,4.41,0.21,3.998,4.821
56bec996539ccf61715836e4ac81d671a11dfbcb,2003,4.419,0.1995,4.028,4.81
56bec996539ccf61715836e4ac81d671a11dfbcb,2004,4.374,0.2233,3.936,4.811
56bec996539ccf61715836e4ac81d671a11dfbcb,2005,4.381,0.2211,3.948,4.815
56bec996539ccf61715836e4ac81d671a11dfbcb,2006,4.422,0.2069,4.016,4.828
56bec996539ccf61715836e4ac81d671a11dfbcb,2007,4.453,0.204,4.054,4.853
56bec996539ccf61715836e4ac81d671a11dfbcb,2008,4.524,0.1894,4.153,4.896
56bec996539ccf61715836e4ac81d671a11dfbcb,2009,4.62,0.1925,4.243,4.997
56bec996539ccf61715836e4ac81d671a11dfbcb,2010,4.556,0.2025,4.159,4.952
56bec996539ccf61715836e4ac81d671a11dfbcb,2011,4.555,0.2058,4.152,4.959
56bec996539ccf61715836e4ac81d671a11dfbcb,2012,4.601,0.1925,4.223,4.978
56bec996539ccf61715836e4ac81d671a11dfbcb,2013,4.658,0.1866,4.292,5.023
56bec996539ccf61715836e4ac81d671a11dfbcb,2014,4.625,0.1962,4.24,5.01
56bec996539ccf61715836e4ac81d671a11dfbcb,2015,4.651,0.1927,4.274,5.029
56bec996539ccf61715836e4ac81d671a11dfbcb,2016,4.68,0.188,4.312,5.049
56bec996539ccf61715836e4ac81d671a11dfbcb,2017,4.695,0.1933,4.317,5.074
56bec996539ccf61715836e4ac81d671a11dfbcb,2018,4.719,0.1998,4.327,5.11
56bec996539ccf61715836e4ac81d671a11dfbcb,2019,4.791,0.192,4.415,5.168
56bec996539ccf61715836e4ac81d671a11dfbcb,2020,4.868,0.1936,4.489,5.247
56bec996539ccf61715836e4ac81d671a11dfbcb,2021,4.944,0.2016,4.549,5.339
56bec996539ccf61715836e4ac81d671a11dfbcb,2022,4.984,0.2126,4.568,5.401
56bec996539ccf61715836e4ac81d671a11dfbcb,2023,5.068,0.2348,4.607,5.528
56bec996539ccf61715836e4ac81d671a11dfbcb,2024,5.172,0.2878,4.608,5.736
ad48a36544242b7574544cc353b25bc9cc67dce7,1992,3.22,0.2448,2.74,3.7
ad48a36544242b7574544cc353b25bc9cc67dce7,1993,3.324,0.1869,2.957,3.69
ad48a36544242b7574544cc353b25bc9cc67dce7,1994,3.433,0.1425,3.153,3.712
ad48a36544242b7574544cc353b25bc9cc67dce7,1995,3.538,0.122,3.299,3.777
ad48a36544242b7574544cc353b25bc9cc67dce7,1996,3.622,0.1246,3.378,3.866
ad48a36544242b7574544cc353b25bc9cc67dce7,1997,3.676,0.1292,3.422,3.929
ad48a36544242b7574544cc353b25bc9cc67dce7,1998,3.709,0.13,3.454,3.964
ad48a36544242b7574544cc353b25bc9cc67dce7,1999,3.723,0.1253,3.478,3.969
ad48a36544242b7574544cc353b25bc9cc67dce7,2000,3.707,0.111,3.489,3.925
ad48a36544242b7574544cc353b25bc9cc67dce7,2001,3.67,0.1015,3.471,3.869
ad48a36544242b7574544cc353b25bc9cc67dce7,2002,3.636,0.1055,3.429,3.843
ad48a36544242b7574544cc353b25bc9cc67dce7,2003,3.618,0.1114,3.399,3.836
ad48a36544242b7574544cc353b25bc9cc67dce7,2004,3.611,0.1167,3.383,3.84
ad48a36544242b7574544cc353b25bc9cc67dce7,2005,3.622,0.1173,3.393,3.852
ad48a36544242b7574544cc353b25bc9cc67dce7,2006,3.652,0.1124,3.431,3.872
ad48a36544242b7574544cc353b25bc9cc67dce7,2007,3.696,0.1053,3.489,3.902
ad48a36544242b7574544cc353b25bc9cc67dce7,2008,3.748,0.1019,3.548,3.948
ad48a36544242b7574544cc353b25bc9cc67dce7,2009,3.795,0.103,3.594,3.997
ad48a36544242b7574544cc353b25bc9cc67dce7,2010,3.834,0.1044,3.629,4.038
ad48a36544242b7574544cc353b25bc9cc67dce7,2011,3.874,0.1043,3.67,4.078
ad48a36544242b7574544cc353b25bc9cc67dce7,2012,3.919,0.103,3.717,4.121
ad48a36544242b7574544cc353b25bc9cc67dce7,2013,3.964,0.1015,3.766,4.163
ad48a36544242b7574544cc353b25bc9cc67dce7,2014,4.005,0.1012,3.807,4.203
ad48a36544242b7574544cc353b25bc9cc67dce7,2015,4.05,0.102,3.85,4.25
ad48a36544242b7574544cc353b25bc9cc67dce7,2016,4.104,0.1025,3.903,4.305
ad48a36544242b7574544cc353b25bc9cc67dce7,2017,4.168,0.1016,3.969,4.367
ad48a36544242b7574544cc353b25bc9cc67dce7,2018,4.242,0.09938,4.047,4.437
ad48a36544242b7574544cc353b25bc9cc67dce7,2019,4.323,0.09808,4.131,4.516
ad48a36544242b7574544cc353b25bc9cc67dce7,2020,4.403,0.09907,4.209,4.598
ad48a36544242b7574544cc353b25bc9cc67dce7,2021,4.482,0.1027,4.28,4.683
ad48a36544242b7574544cc353b25bc9cc67dce7,2022,4.561,0.1115,4.342,4.779
ad48a36544242b7574544cc353b25bc9cc67dce7,2023,4.644,0.1306,4.388,4.9
ad48a36544242b7574544cc353b25bc9cc67dce7,2024,4.733,0.1661,4.408,5.059
c21490dbe01b7de3c7d89168c938fb92f04e0dca,1992,3.191,0.2532,2.695,3.687
c21490dbe01b7de3c7d89168c938fb92f04e0dca,1993,2.954,0.2614,2.442,3.466
c21490dbe01b7de3c7d89168c938fb92f04e0dca,1994,3.199,0.2606,2.688,3.709
c21490dbe01b7de3c7d89168c938fb92f04e0dca,1995,3.68,0.1792,3.329,4.031
c21490dbe01b7de3c7d89168c938fb92f04e0dca,1996,3.882,0.1927,3.505,4.26
c21490dbe01b7de3c7d89168c938fb92f04e0dca,1997,3.599,0.2067,3.194,4.004
c21490dbe01b7de3c7d89168c938fb92f04e0dca,1998,3.543,0.2353,3.082,4.004
c21490dbe01b7de3c7d89168c938fb92f04e0dca,1999,4.032,0.1834,3.672,4.391
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2000,3.917,0.1795,3.565,4.269
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2001,3.436,0.2006,3.043,3.83
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2002,3.282,0.2168,2.857,3.707
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2003,3.575,0.1712,3.239,3.91
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2004,3.477,0.1808,3.123,3.831
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2005,3.472,0.1803,3.119,3.826
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2006,3.503,0.1945,3.122,3.884
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2007,3.607,0.1832,3.248,3.966
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2008,3.885,0.1746,3.542,4.227
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2009,4.007,0.1846,3.645,4.369
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2010,3.707,0.2289,3.258,4.156
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2011,3.764,0.1979,3.376,4.152
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2012,3.894,0.1869,3.528,4.261
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2013,4.149,0.1786,3.799,4.499
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2014,3.94,0.1844,3.579,4.302
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2015,3.982,0.179,3.631,4.333
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2016,4.031,0.1762,3.686,4.377
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2017,4.067,0.1793,3.716,4.419
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2018,4.178,0.1785,3.828,4.528
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2019,4.429,0.1752,4.085,4.772
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2020,4.488,0.1753,4.144,4.831
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2021,4.513,0.1737,4.173,4.853
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2022,4.512,0.1744,4.17,4.853
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2023,4.574,0.1779,4.225,4.922
c21490dbe01b7de3c7d89168c938fb92f04e0dca,2024,4.782,0.1929,4.403,5.16
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,1992,4.519,0.2664,3.996,5.041
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,1993,4.527,0.2285,4.079,4.975
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,1994,4.536,0.1999,4.144,4.928
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,1995,4.542,0.1803,4.189,4.895
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,1996,4.542,0.1669,4.215,4.869
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,1997,4.534,0.1564,4.228,4.841
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,1998,4.523,0.1481,4.232,4.813
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,1999,4.508,0.1421,4.23,4.786
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2000,4.491,0.1389,4.219,4.763
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2001,4.474,0.1392,4.201,4.747
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2002,4.46,0.142,4.182,4.738
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2003,4.451,0.1456,4.165,4.736
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2004,4.446,0.1488,4.155,4.738
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2005,4.449,0.1502,4.154,4.743
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2006,4.457,0.15,4.164,4.751
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2007,4.472,0.1488,4.18,4.763
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2008,4.49,0.1477,4.2,4.78
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2009,4.511,0.1474,4.222,4.8
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2010,4.531,0.148,4.241,4.821
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2011,4.553,0.1483,4.262,4.843
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2012,4.577,0.1481,4.287,4.868
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2013,4.604,0.1478,4.315,4.894
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2014,4.634,0.1478,4.344,4.923
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2015,4.667,0.1479,4.377,4.957
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2016,4.705,0.1478,4.416,4.995
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2017,4.749,0.1477,4.459,5.038
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2018,4.799,0.1475,4.51,5.088
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2019,4.856,0.1483,4.565,5.147
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2020,4.919,0.1523,4.621,5.218
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2021,4.988,0.1626,4.669,5.307
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2022,5.061,0.1819,4.704,5.417
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2023,5.137,0.2118,4.722,5.552
d86d79711c50aae9ed7409cbd63cb5ba94dc803a,2024,5.216,0.2525,4.721,5.711
