analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,1993,1,0.2085,0.2525,-0.2864,0.7034
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,1994,1,0.1345,0.2652,-0.3853,0.6542
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,1995,1,0.2879,0.3111,-0.3218,0.8976
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,1996,1,0.5525,0.363,-0.159,1.264
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,1997,1,0.7769,0.4049,-0.01679,1.571
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,1998,1,0.7744,0.3756,0.03836,1.511
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,1999,1,0.9192,0.3858,0.163,1.675
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2000,1,0.9125,0.3613,0.2044,1.621
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2001,1,0.9534,0.3585,0.2507,1.656
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2002,1,1.053,0.367,0.3336,1.772
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2003,1,1.188,0.3994,0.4049,1.97
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2004,1,1.22,0.3949,0.4464,1.995
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2005,1,1.295,0.4015,0.5084,2.082
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2006,1,1.215,0.3853,0.46,1.97
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2007,1,1.156,0.3669,0.4364,1.875
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2008,1,1.096,0.3623,0.3855,1.806
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2009,1,1.158,0.3747,0.4236,1.892
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2010,1,1.327,0.4032,0.5366,2.117
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2011,1,1.36,0.4045,0.5673,2.153
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2012,1,1.418,0.4039,0.6263,2.21
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2013,1,1.448,0.4063,0.6517,2.244
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2014,1,1.403,0.3861,0.6467,2.16
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2015,1,1.4,0.3839,0.6477,2.153
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2016,1,1.4,0.3807,0.654,2.146
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2017,1,1.427,0.3807,0.6813,2.173
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2018,1,1.47,0.3884,0.7087,2.231
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2019,1,1.559,0.3966,0.7816,2.336
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2020,1,1.632,0.3951,0.8575,2.406
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2021,1,1.721,0.3991,0.9388,2.503
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2022,1,1.723,0.3971,0.9451,2.502
11595bc6e1d2c8befc4be9838ee027d1dbb24f32,1992,2023,1,1.754,0.4013,0.968,2.541
