analysis,centre_winter,duration,estimate,se,lcl,ucl
3dcedeba08afae9bfa4b4be350045049cf335d27,2000,5,-0.4708,0.4574,-1.367,0.4257
3dcedeba08afae9bfa4b4be350045049cf335d27,2001,5,-0.5567,0.4191,-1.378,0.2647
3dcedeba08afae9bfa4b4be350045049cf335d27,2002,5,-0.6412,0.3983,-1.422,0.1395
3dcedeba08afae9bfa4b4be350045049cf335d27,2003,5,-0.7997,0.3877,-1.56,-0.0399
3dcedeba08afae9bfa4b4be350045049cf335d27,2004,5,-0.9538,0.3974,-1.733,-0.1748
3dcedeba08afae9bfa4b4be350045049cf335d27,2005,5,-1.123,0.4385,-1.982,-0.2635
3dcedeba08afae9bfa4b4be350045049cf335d27,2006,5,-1.254,0.4789,-2.193,-0.3153
3dcedeba08afae9bfa4b4be350045049cf335d27,2007,5,-1.341,0.5016,-2.324,-0.3582
3dcedeba08afae9bfa4b4be350045049cf335d27,2008,5,-1.344,0.4708,-2.267,-0.4217
3dcedeba08afae9bfa4b4be350045049cf335d27,2009,5,-1.29,0.4172,-2.108,-0.4723
3dcedeba08afae9bfa4b4be350045049cf335d27,2010,5,-1.255,0.3841,-2.008,-0.5021
3dcedeba08afae9bfa4b4be350045049cf335d27,2011,5,-1.288,0.3787,-2.031,-0.546
3dcedeba08afae9bfa4b4be350045049cf335d27,2012,5,-1.398,0.3956,-2.174,-0.6231
3dcedeba08afae9bfa4b4be350045049cf335d27,2013,5,-1.567,0.4435,-2.436,-0.6977
3dcedeba08afae9bfa4b4be350045049cf335d27,2014,5,-1.777,0.528,-2.811,-0.7418
3dcedeba08afae9bfa4b4be350045049cf335d27,2015,5,-1.949,0.6004,-3.126,-0.7722
3dcedeba08afae9bfa4b4be350045049cf335d27,2016,5,-2.072,0.6457,-3.338,-0.8067
3dcedeba08afae9bfa4b4be350045049cf335d27,2017,5,-2.145,0.6606,-3.44,-0.8503
3dcedeba08afae9bfa4b4be350045049cf335d27,2018,5,-2.171,0.6483,-3.441,-0.9001
3dcedeba08afae9bfa4b4be350045049cf335d27,2019,5,-2.149,0.6097,-3.344,-0.9536
3dcedeba08afae9bfa4b4be350045049cf335d27,2020,5,-2.155,0.6011,-3.333,-0.9767
3dcedeba08afae9bfa4b4be350045049cf335d27,2021,5,-2.156,0.6023,-3.337,-0.9759
3dcedeba08afae9bfa4b4be350045049cf335d27,2022,5,-2.152,0.6171,-3.362,-0.9426
3dcedeba08afae9bfa4b4be350045049cf335d27,2002.5,10,-0.7968,0.3527,-1.488,-0.1056
