analysis,winter,estimate,se,lcl,ucl
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2000,5.723,0.3294,5.078,6.369
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2001,5.985,0.2522,5.49,6.479
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2002,6.212,0.2144,5.792,6.632
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2003,6.534,0.1964,6.149,6.919
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2004,6.702,0.1965,6.317,7.088
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2005,6.748,0.1981,6.36,7.137
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2006,6.777,0.1987,6.388,7.167
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2007,6.684,0.1953,6.301,7.067
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2008,6.484,0.1918,6.108,6.86
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2009,6.154,0.204,5.754,6.553
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2010,5.985,0.2112,5.571,6.399
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2011,5.942,0.1907,5.568,6.316
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2012,5.741,0.1958,5.357,6.125
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2013,5.489,0.2166,5.065,5.914
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2014,5.497,0.2116,5.082,5.911
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2015,5.711,0.191,5.337,6.085
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2016,5.759,0.1912,5.384,6.134
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2017,5.533,0.2002,5.14,5.925
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2018,5.319,0.1994,4.928,5.71
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2019,5.028,0.216,4.605,5.452
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2020,4.969,0.2048,4.568,5.371
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2021,4.866,0.2045,4.465,5.266
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2022,4.833,0.2048,4.432,5.235
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2023,4.607,0.2239,4.168,5.046
06433d7c14ef5e20eb4bca58b7ced38b9fd1aaf6,2024,4.638,0.2372,4.173,5.103
450456d7d15329da6f53129a761be41f2d166edb,2000,7.192,0.4929,6.226,8.158
450456d7d15329da6f53129a761be41f2d166edb,2001,7.299,0.358,6.597,8
450456d7d15329da6f53129a761be41f2d166edb,2002,7.397,0.2502,6.907,7.887
450456d7d15329da6f53129a761be41f2d166edb,2003,7.474,0.1872,7.107,7.841
